* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:13:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Thousand Sound L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	90.107	42.3020
20.290907	90.116	42.0849
20.437943	90.126	41.7823
20.586044	90.134	41.4955
20.735220	90.140	41.2064
20.885475	90.145	40.9151
21.036821	90.148	40.6255
21.189262	90.150	40.3340
21.342808	90.153	40.0394
21.497467	90.156	39.7418
21.653246	90.159	39.4389
21.810154	90.161	39.1308
21.968201	90.162	38.8164
22.127390	90.163	38.4948
22.287735	90.163	38.1661
22.449242	90.163	37.8298
22.611917	90.162	37.4860
22.775772	90.161	37.1359
22.940815	90.160	36.7790
23.107054	90.158	36.4181
23.274498	90.156	36.0533
23.443153	90.154	35.6870
23.613033	90.151	35.3208
23.784142	90.150	34.9554
23.956491	90.151	34.5928
24.130091	90.153	34.2324
24.304947	90.156	33.8743
24.481071	90.161	33.5179
24.658470	90.168	33.1608
24.837156	90.175	32.8030
25.017136	90.184	32.4416
25.198421	90.194	32.0770
25.381020	90.204	31.7090
25.564941	90.214	31.3383
25.750195	90.223	30.9687
25.936790	90.233	30.6009
26.124741	90.241	30.2408
26.314051	90.249	29.8885
26.504732	90.257	29.5482
26.696796	90.265	29.2188
26.890253	90.271	28.9000
27.085112	90.278	28.5897
27.281382	90.285	28.2841
27.479073	90.293	27.9814
27.678198	90.301	27.6782
27.878765	90.309	27.3750
28.080786	90.317	27.0711
28.284271	90.324	26.7703
28.489231	90.331	26.4731
28.695675	90.336	26.1836
28.903616	90.342	25.9011
29.113064	90.347	25.6256
29.324028	90.353	25.3535
29.536524	90.360	25.0818
29.750557	90.368	24.8054
29.966141	90.375	24.5225
30.183289	90.382	24.2322
30.402010	90.387	23.9379
30.622314	90.391	23.6438
30.844217	90.392	23.3583
31.067726	90.391	23.0854
31.292856	90.389	22.8318
31.519617	90.388	22.5954
31.748020	90.388	22.3759
31.978081	90.390	22.1626
32.209808	90.395	21.9508
32.443211	90.402	21.7293
32.678310	90.409	21.4946
32.915108	90.416	21.2443
33.153625	90.421	20.9820
33.393871	90.424	20.7147
33.635857	90.426	20.4483
