* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:13:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Thousand Sound R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	90.531	40.7593
20.290907	90.539	40.5319
20.437943	90.547	40.2153
20.586044	90.554	39.9167
20.735220	90.559	39.6173
20.885475	90.563	39.3148
21.036821	90.566	39.0125
21.189262	90.567	38.7075
21.342808	90.570	38.3979
21.497467	90.572	38.0842
21.653246	90.573	37.7663
21.810154	90.573	37.4439
21.968201	90.573	37.1171
22.127390	90.571	36.7860
22.287735	90.569	36.4500
22.449242	90.567	36.1085
22.611917	90.564	35.7613
22.775772	90.562	35.4073
22.940815	90.559	35.0463
23.107054	90.556	34.6788
23.274498	90.553	34.3042
23.443153	90.550	33.9246
23.613033	90.547	33.5405
23.784142	90.544	33.1538
23.956491	90.543	32.7668
24.130091	90.542	32.3799
24.304947	90.542	31.9958
24.481071	90.542	31.6141
24.658470	90.543	31.2360
24.837156	90.545	30.8612
25.017136	90.548	30.4889
25.198421	90.551	30.1191
25.381020	90.556	29.7505
25.564941	90.562	29.3831
25.750195	90.568	29.0163
25.936790	90.574	28.6504
26.124741	90.581	28.2860
26.314051	90.588	27.9236
26.504732	90.595	27.5650
26.696796	90.600	27.2105
26.890253	90.604	26.8621
27.085112	90.607	26.5201
27.281382	90.609	26.1858
27.479073	90.612	25.8587
27.678198	90.615	25.5391
27.878765	90.618	25.2258
28.080786	90.621	24.9183
28.284271	90.625	24.6146
28.489231	90.630	24.3142
28.695675	90.634	24.0155
28.903616	90.639	23.7184
29.113064	90.643	23.4225
29.324028	90.647	23.1283
29.536524	90.651	22.8364
29.750557	90.655	22.5473
29.966141	90.659	22.2614
30.183289	90.663	21.9784
30.402010	90.668	21.6979
30.622314	90.673	21.4191
30.844217	90.678	21.1410
31.067726	90.683	20.8634
31.292856	90.687	20.5864
31.519617	90.690	20.3107
31.748020	90.693	20.0373
31.978081	90.695	19.7677
