* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 6:54:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.885	170.7765
20.600000	91.872	170.5197
20.900000	91.843	170.0606
21.200001	91.812	169.6195
21.400000	91.791	169.3275
21.799999	91.743	168.7188
22.000000	91.716	168.3969
22.400000	91.656	167.7363
22.700001	91.609	167.2411
23.000000	91.563	166.7507
23.299999	91.520	166.2614
23.600000	91.481	165.7657
24.000000	91.436	165.0842
24.299999	91.406	164.5568
24.700001	91.366	163.8456
25.000000	91.337	163.3235
25.400000	91.296	162.6643
25.799999	91.258	162.0577
26.200001	91.224	161.4960
26.500000	91.199	161.0937
26.900000	91.164	160.5733
27.200001	91.136	160.1951
27.600000	91.094	159.7147
28.000000	91.049	159.2708
28.500000	90.992	158.7626
29.000000	90.938	158.2681
29.500000	90.885	157.7414
30.000000	90.827	157.1705
30.400000	90.774	156.7044
30.700001	90.731	156.3653
31.100000	90.674	155.9382
31.500000	90.619	155.5324
32.000000	90.557	155.0206
32.500000	90.499	154.4693
33.000000	90.440	153.8881
33.500000	90.377	153.3262
34.000000	90.315	152.8248
34.500000	90.258	152.3775
35.000000	90.207	151.9486
35.500000	90.159	151.5118
36.000000	90.111	151.0692
36.500000	90.060	150.6322
37.000000	90.006	150.2035
37.500000	89.950	149.7832
38.200001	89.862	149.2308
38.700001	89.797	148.8788
39.500000	89.702	148.3522
40.000000	89.648	148.0010
40.599998	89.582	147.5476
41.200001	89.510	147.1038
41.799999	89.439	146.7041
42.500000	89.362	146.2663
43.099998	89.301	145.8734
43.700001	89.236	145.4809
44.400002	89.157	145.0735
45.000000	89.095	144.7513
45.500000	89.047	144.4564
46.200001	88.978	143.9842
46.799999	88.913	143.5600
47.500000	88.834	143.0721
48.200001	88.754	142.5849
48.700001	88.694	142.2550
49.400002	88.610	141.8599
50.000000	88.544	141.5787
50.799999	88.464	141.2474
51.500000	88.400	141.0026
52.200001	88.346	140.7799
53.000000	88.291	140.4604
53.799999	88.222	140.0722
54.500000	88.147	139.7734
55.200001	88.070	139.5425
56.000000	87.992	139.2935
57.000000	87.900	138.9128
58.000000	87.803	138.4721
59.000000	87.697	138.0702
60.000000	87.591	137.7549
60.799999	87.510	137.5548
61.500000	87.444	137.4176
62.200001	87.385	137.2900
63.000000	87.324	137.0979
64.000000	87.239	136.7778
65.000000	87.140	136.4808
66.000000	87.047	136.2453
67.000000	86.968	135.9406
68.000000	86.880	135.5577
69.000000	86.785	135.2435
70.000000	86.698	134.9911
71.000000	86.618	134.7435
72.000000	86.540	134.4951
73.000000	86.457	134.2514
74.000000	86.371	134.0539
75.000000	86.289	133.8873
76.199997	86.197	133.6585
77.500000	86.098	133.3431
78.800003	85.992	132.9678
80.000000	85.886	132.6665
81.199997	85.784	132.4560
82.500000	85.691	132.2952
83.800003	85.606	132.1022
85.000000	85.521	131.9471
86.199997	85.431	131.8279
87.500000	85.328	131.7589
88.500000	85.255	131.7296
90.000000	85.160	131.5250
91.199997	85.073	131.2573
92.500000	84.968	131.0494
93.800003	84.876	131.0015
95.000000	84.813	131.0122
96.199997	84.763	130.9313
97.500000	84.690	130.6929
98.800003	84.586	130.4949
100.000000	84.485	130.4219
101.500000	84.375	130.3736
103.000000	84.282	130.3073
104.400002	84.206	130.2448
106.000000	84.121	130.1323
107.500000	84.028	130.0783
109.000000	83.939	130.0737
110.599998	83.843	130.0083
112.000000	83.757	129.9403
113.800003	83.651	129.8330
115.000000	83.584	129.7572
117.199997	83.476	129.5766
118.000000	83.438	129.4754
120.599998	83.288	129.2901
122.000000	83.218	129.3383
124.099998	83.119	129.3690
125.000000	83.072	129.3824
126.500000	82.993	129.4203
128.000000	82.913	129.4668
131.500000	82.726	129.5210
132.000000	82.699	129.5308
134.000000	82.599	129.5429
136.000000	82.504	129.5060
138.000000	82.415	129.4814
140.000000	82.328	129.5149
143.000000	82.197	129.5724
145.000000	82.097	129.5962
147.500000	81.975	129.6931
150.000000	81.872	129.8230
152.500000	81.777	129.9071
155.000000	81.674	130.0078
157.500000	81.567	130.1074
160.000000	81.458	130.2048
162.500000	81.353	130.3835
165.000000	81.261	130.6457
167.500000	81.173	130.8768
170.000000	81.078	131.0377
172.500000	80.977	131.2388
175.000000	80.889	131.5274
177.500000	80.804	131.8284
180.000000	80.717	132.1162
182.500000	80.631	132.4034
185.000000	80.553	132.7648
187.500000	80.486	133.2515
190.000000	80.435	133.8119
192.500000	80.406	134.3524
195.000000	80.409	134.7932
197.500000	80.435	135.0477
200.000000	80.465	135.1537
203.000000	80.502	135.1202
206.000000	80.526	134.8659
209.000000	80.511	134.3961
212.000000	80.457	133.8424
214.000000	80.412	133.5020
218.000000	80.297	132.9379
220.000000	80.224	132.6879
224.000000	80.069	132.3731
227.000000	79.967	132.3288
230.000000	79.870	132.3188
233.000000	79.768	132.3492
236.000000	79.673	132.4434
240.000000	79.558	132.5472
243.000000	79.470	132.6341
247.000000	79.349	132.7861
250.000000	79.260	132.8920
254.000000	79.150	133.0489
258.000000	79.047	133.2625
262.000000	78.950	133.5231
265.000000	78.874	133.7080
269.000000	78.772	133.9527
272.000000	78.701	134.1326
276.000000	78.617	134.3649
280.000000	78.534	134.5980
285.000000	78.433	134.9000
290.000000	78.341	135.2148
295.000000	78.242	135.6123
300.000000	78.142	135.8967
304.000000	78.066	136.0404
307.000000	78.012	136.2385
311.000000	77.947	136.6267
315.000000	77.892	136.9738
320.000000	77.825	137.3007
325.000000	77.753	137.6098
330.000000	77.688	137.8972
335.000000	77.624	138.0988
340.000000	77.562	138.3284
345.000000	77.498	138.6229
350.000000	77.428	138.8887
355.000000	77.349	139.2370
360.000000	77.269	139.5602
365.000000	77.192	139.8210
370.000000	77.117	140.1163
375.000000	77.041	140.4629
382.000000	76.955	140.8497
387.000000	76.896	141.1255
395.000000	76.767	141.6845
400.000000	76.684	141.9982
406.000000	76.598	142.3724
412.000000	76.533	142.7590
418.000000	76.475	143.1554
425.000000	76.383	143.6439
431.000000	76.301	144.0820
437.000000	76.232	144.5726
444.000000	76.167	145.0741
450.000000	76.114	145.4870
455.000000	76.071	145.8416
462.000000	76.007	146.2588
468.000000	75.944	146.6616
475.000000	75.876	147.1868
482.000000	75.813	147.7014
487.000000	75.770	148.0671
494.000000	75.710	148.5807
500.000000	75.657	149.0524
508.000000	75.590	149.7058
515.000000	75.532	150.2550
522.000000	75.479	150.7602
530.000000	75.427	151.2414
538.000000	75.365	151.8131
545.000000	75.318	152.3765
552.000000	75.285	152.9435
560.000000	75.251	153.6235
570.000000	75.206	154.4996
580.000000	75.158	155.2700
590.000000	75.104	155.9691
600.000000	75.046	156.7756
608.000000	75.001	157.3725
615.000000	74.967	157.9110
622.000000	74.944	158.5079
630.000000	74.920	159.1945
640.000000	74.879	160.0508
650.000000	74.841	160.9667
660.000000	74.817	161.8702
670.000000	74.818	162.6427
680.000000	74.836	163.2382
690.000000	74.836	163.7572
700.000000	74.807	164.4280
710.000000	74.771	165.2170
720.000000	74.754	166.0159
730.000000	74.739	166.7688
740.000000	74.707	167.4796
750.000000	74.666	168.2460
762.000000	74.614	169.4332
775.000000	74.613	171.0939
788.000000	74.692	172.3882
800.000000	74.762	173.2882
812.000000	74.814	174.1213
825.000000	74.861	175.0144
838.000000	74.895	175.9787
850.000000	74.927	176.8990
862.000000	74.974	177.7408
875.000000	75.034	178.5549
885.000000	75.087	179.1299
900.000000	75.176	-179.9282
912.000000	75.248	-179.1044
925.000000	75.324	-178.2947
938.000000	75.396	-177.5149
950.000000	75.462	-176.8195
962.000000	75.534	-176.2129
975.000000	75.624	-175.6304
988.000000	75.718	-175.1568
1000.000000	75.809	-174.7234
1015.000000	75.927	-173.9807
1030.000000	76.031	-173.3087
1044.000000	76.126	-172.8126
1060.000000	76.241	-172.3223
1075.000000	76.345	-171.8548
1090.000000	76.452	-171.4490
1106.000000	76.582	-171.0859
