* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 6:55:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.357	-176.7088
20.600000	91.344	-177.0423
20.900000	91.319	-177.6313
21.200001	91.296	-178.1790
21.400000	91.281	-178.5357
21.799999	91.250	-179.2798
22.000000	91.232	-179.6792
22.400000	91.190	179.4864
22.700001	91.155	178.8503
23.000000	91.117	178.2165
23.299999	91.080	177.5889
23.600000	91.045	176.9665
24.000000	91.003	176.1433
24.299999	90.974	175.5338
24.700001	90.940	174.7411
25.000000	90.916	174.1681
25.400000	90.889	173.4345
25.799999	90.867	172.7263
26.200001	90.847	172.0303
26.500000	90.832	171.5131
26.900000	90.806	170.8355
27.200001	90.782	170.3450
27.600000	90.746	169.7256
28.000000	90.706	169.1487
28.500000	90.657	168.4699
29.000000	90.608	167.8008
29.500000	90.556	167.1164
30.000000	90.499	166.4244
30.400000	90.450	165.8839
30.700001	90.413	165.4922
31.100000	90.365	164.9837
31.500000	90.321	164.4758
32.000000	90.270	163.8160
32.500000	90.217	163.1264
33.000000	90.161	162.4432
33.500000	90.105	161.8083
34.000000	90.054	161.2313
34.500000	90.008	160.6830
35.000000	89.966	160.1314
35.500000	89.922	159.5720
36.000000	89.873	159.0271
36.500000	89.821	158.5177
37.000000	89.767	158.0448
37.500000	89.714	157.5940
38.200001	89.638	156.9781
38.700001	89.583	156.5450
39.500000	89.498	155.8522
40.000000	89.447	155.4037
40.599998	89.386	154.8418
41.200001	89.321	154.2672
41.799999	89.254	153.7089
42.500000	89.174	153.1121
43.099998	89.110	152.6474
43.700001	89.052	152.1996
44.400002	88.985	151.6754
45.000000	88.925	151.2326
45.500000	88.873	150.8824
46.200001	88.799	150.4391
46.799999	88.741	150.1043
47.500000	88.688	149.7012
48.200001	88.645	149.1694
48.700001	88.604	148.7109
49.400002	88.523	148.1046
50.000000	88.444	147.7327
50.799999	88.357	147.3868
51.500000	88.296	147.0759
52.200001	88.236	146.7397
53.000000	88.168	146.3608
53.799999	88.097	145.9500
54.500000	88.026	145.5717
55.200001	87.949	145.2290
56.000000	87.868	144.8566
57.000000	87.766	144.3049
58.000000	87.648	143.8109
59.000000	87.548	143.4706
60.000000	87.467	143.0573
60.799999	87.400	142.6968
61.500000	87.341	142.3964
62.200001	87.282	142.0966
63.000000	87.209	141.7786
64.000000	87.120	141.4148
