* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 8:10:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_M15
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.884	22.0942
20.600000	90.917	21.7979
20.900000	90.985	21.2577
21.200001	91.044	20.7136
21.400000	91.078	20.3505
21.799999	91.134	19.6166
22.000000	91.159	19.2479
22.400000	91.206	18.5223
22.700001	91.243	17.9747
23.000000	91.283	17.3954
23.299999	91.321	16.7699
23.600000	91.355	16.1074
24.000000	91.390	15.2105
24.299999	91.411	14.5728
24.700001	91.439	13.8017
25.000000	91.466	13.2686
25.400000	91.514	12.5637
25.799999	91.568	11.8031
26.200001	91.619	10.9748
26.500000	91.650	10.3377
26.900000	91.679	9.5148
27.200001	91.695	8.9369
27.600000	91.714	8.2102
28.000000	91.734	7.4953
28.500000	91.755	6.5809
29.000000	91.765	5.6741
29.500000	91.765	4.8339
30.000000	91.767	4.0653
30.400000	91.774	3.4648
30.700001	91.781	3.0035
31.100000	91.792	2.3642
31.500000	91.801	1.7028
32.000000	91.807	0.8647
32.500000	91.809	0.0344
33.000000	91.811	-0.7763
33.500000	91.816	-1.5667
34.000000	91.821	-2.3435
34.500000	91.825	-3.1092
35.000000	91.826	-3.8570
35.500000	91.827	-4.5815
36.000000	91.828	-5.2910
36.500000	91.830	-6.0026
37.000000	91.829	-6.7274
37.500000	91.822	-7.4565
38.200001	91.801	-8.4420
38.700001	91.782	-9.1010
39.500000	91.756	-10.0918
40.000000	91.743	-10.6948
40.599998	91.732	-11.4256
41.200001	91.722	-12.1811
41.799999	91.708	-12.9554
42.500000	91.684	-13.8363
43.099998	91.660	-14.5363
43.700001	91.640	-15.1979
44.400002	91.620	-15.9657
45.000000	91.600	-16.6350
45.500000	91.580	-17.1895
46.200001	91.548	-17.9392
46.799999	91.520	-18.5531
47.500000	91.491	-19.2580
48.200001	91.468	-19.9823
48.700001	91.452	-20.5178
49.400002	91.426	-21.2744
50.000000	91.402	-21.9091
50.799999	91.368	-22.7316
51.500000	91.338	-23.4329
52.200001	91.307	-24.1089
53.000000	91.272	-24.8516
53.799999	91.236	-25.5824
54.500000	91.201	-26.2118
55.200001	91.166	-26.8305
56.000000	91.126	-27.5437
57.000000	91.073	-28.4337
58.000000	91.018	-29.2874
59.000000	90.959	-30.1378
60.000000	90.889	-30.9336
60.799999	90.833	-31.4958
61.500000	90.791	-31.9617
62.200001	90.753	-32.4435
63.000000	90.707	-33.0297
64.000000	90.644	-33.7584
65.000000	90.590	-34.4908
66.000000	90.535	-35.2903
67.000000	90.473	-36.0442
68.000000	90.417	-36.7461
69.000000	90.362	-37.4452
70.000000	90.306	-38.0976
71.000000	90.252	-38.7338
72.000000	90.195	-39.3709
73.000000	90.133	-39.9812
74.000000	90.073	-40.5789
75.000000	90.012	-41.1828
76.199997	89.937	-41.9031
77.500000	89.854	-42.6644
78.800003	89.762	-43.3380
80.000000	89.687	-43.8558
81.199997	89.626	-44.4492
82.500000	89.552	-45.1796
83.800003	89.474	-45.9001
85.000000	89.406	-46.5413
86.199997	89.345	-47.1915
87.500000	89.270	-47.8836
88.500000	89.210	-48.3149
90.000000	89.140	-48.9148
91.199997	89.089	-49.5569
92.500000	89.001	-50.3201
93.800003	88.903	-50.9066
95.000000	88.827	-51.3586
96.199997	88.763	-51.7835
97.500000	88.702	-52.2689
98.800003	88.637	-52.7826
100.000000	88.572	-53.2594
101.500000	88.487	-53.8635
103.000000	88.403	-54.4769
104.400002	88.327	-55.0525
106.000000	88.241	-55.6776
107.500000	88.161	-56.1921
109.000000	88.087	-56.6780
110.599998	88.005	-57.2013
112.000000	87.934	-57.6610
113.800003	87.843	-58.2729
115.000000	87.782	-58.6823
117.199997	87.667	-59.3954
118.000000	87.626	-59.6386
120.599998	87.501	-60.4457
122.000000	87.431	-60.8954
124.099998	87.330	-61.5143
125.000000	87.289	-61.7720
126.500000	87.223	-62.1939
128.000000	87.154	-62.5960
131.500000	86.984	-63.4271
132.000000	86.959	-63.5347
134.000000	86.866	-63.9634
136.000000	86.779	-64.4565
138.000000	86.686	-64.9627
140.000000	86.590	-65.3857
143.000000	86.450	-65.9702
145.000000	86.355	-66.3077
147.500000	86.234	-66.6318
150.000000	86.105	-66.7801
152.500000	85.984	-66.8566
155.000000	85.885	-66.8315
157.500000	85.839	-66.6995
160.000000	85.848	-66.6683
162.500000	85.888	-66.9709
165.000000	85.932	-67.5586
167.500000	85.957	-68.3396
170.000000	85.942	-69.2591
172.500000	85.895	-70.2600
175.000000	85.834	-71.2128
177.500000	85.767	-72.0115
180.000000	85.691	-72.7051
182.500000	85.608	-73.3948
185.000000	85.523	-74.0632
187.500000	85.444	-74.6872
190.000000	85.366	-75.2870
192.500000	85.286	-75.8773
195.000000	85.209	-76.4305
197.500000	85.137	-76.9281
200.000000	85.070	-77.3846
203.000000	84.988	-77.9093
206.000000	84.897	-78.3980
209.000000	84.810	-78.8569
212.000000	84.731	-79.3484
214.000000	84.679	-79.6875
218.000000	84.578	-80.3331
220.000000	84.531	-80.6366
224.000000	84.441	-81.1821
227.000000	84.375	-81.5126
230.000000	84.316	-81.8076
233.000000	84.269	-82.1475
236.000000	84.228	-82.5512
240.000000	84.182	-83.0872
243.000000	84.154	-83.4980
247.000000	84.111	-84.1106
250.000000	84.073	-84.6118
254.000000	84.015	-85.2746
258.000000	83.956	-85.9345
262.000000	83.901	-86.6529
265.000000	83.864	-87.1781
269.000000	83.806	-87.7865
272.000000	83.759	-88.2296
276.000000	83.705	-88.8602
280.000000	83.662	-89.4706
285.000000	83.616	-90.1664
290.000000	83.564	-90.8949
295.000000	83.510	-91.6852
300.000000	83.463	-92.4102
304.000000	83.426	-92.9301
307.000000	83.398	-93.2911
311.000000	83.368	-93.7712
315.000000	83.349	-94.3116
320.000000	83.332	-95.0351
325.000000	83.313	-95.8241
330.000000	83.295	-96.6042
335.000000	83.275	-97.2975
340.000000	83.252	-98.0257
345.000000	83.226	-98.8163
350.000000	83.200	-99.6016
355.000000	83.175	-100.3409
360.000000	83.151	-101.0755
365.000000	83.131	-101.7962
370.000000	83.118	-102.5163
375.000000	83.107	-103.2556
382.000000	83.082	-104.3140
387.000000	83.069	-105.0857
395.000000	83.056	-106.3245
400.000000	83.048	-107.0755
406.000000	83.039	-107.9888
412.000000	83.033	-108.9467
418.000000	83.024	-109.8949
425.000000	83.018	-110.9647
431.000000	83.022	-111.8951
437.000000	83.034	-112.8201
444.000000	83.045	-113.8825
450.000000	83.052	-114.8583
455.000000	83.060	-115.7098
462.000000	83.070	-116.8733
468.000000	83.074	-117.8643
475.000000	83.080	-119.0147
482.000000	83.083	-120.1625
487.000000	83.088	-120.9983
494.000000	83.106	-122.1513
500.000000	83.126	-123.1353
508.000000	83.151	-124.4850
515.000000	83.166	-125.6812
522.000000	83.176	-126.8872
530.000000	83.190	-128.2642
538.000000	83.203	-129.6292
545.000000	83.213	-130.8199
552.000000	83.222	-132.0262
560.000000	83.230	-133.4103
570.000000	83.241	-135.1069
580.000000	83.255	-136.7966
590.000000	83.263	-138.4752
600.000000	83.277	-140.1210
608.000000	83.282	-141.4375
615.000000	83.278	-142.6104
622.000000	83.273	-143.7719
630.000000	83.270	-145.0693
640.000000	83.269	-146.6553
650.000000	83.263	-148.2030
660.000000	83.252	-149.7517
670.000000	83.241	-151.3101
680.000000	83.228	-152.8058
690.000000	83.212	-154.2612
700.000000	83.195	-155.6794
710.000000	83.177	-157.0529
720.000000	83.161	-158.3820
730.000000	83.145	-159.6859
740.000000	83.125	-160.9763
750.000000	83.108	-162.2465
762.000000	83.090	-163.7021
775.000000	83.067	-165.1708
788.000000	83.043	-166.5976
800.000000	83.023	-167.8922
812.000000	83.012	-169.1526
825.000000	83.005	-170.4462
838.000000	82.999	-171.6873
850.000000	82.994	-172.7902
862.000000	82.996	-173.8571
875.000000	83.001	-175.0049
885.000000	83.007	-175.8470
900.000000	83.021	-177.0508
912.000000	83.039	-178.0016
925.000000	83.063	-179.0148
938.000000	83.092	-179.9926
950.000000	83.122	179.1247
962.000000	83.158	178.2520
975.000000	83.198	177.3174
988.000000	83.243	176.3652
1000.000000	83.285	175.4865
1015.000000	83.337	174.4341
1030.000000	83.393	173.3724
1044.000000	83.450	172.4104
1060.000000	83.516	171.3143
1075.000000	83.575	170.2637
1090.000000	83.640	169.2162
1106.000000	83.719	168.1125
1120.000000	83.789	167.1594
1138.000000	83.878	165.9572
1150.000000	83.935	165.1769
1172.000000	84.039	163.7642
1180.000000	84.074	163.2657
1206.000000	84.187	161.6687
1220.000000	84.248	160.8318
1241.000000	84.341	159.6426
1250.000000	84.381	159.1420
1265.000000	84.445	158.3244
1280.000000	84.508	157.5479
1315.000000	84.657	155.8078
1320.000000	84.678	155.5691
1340.000000	84.764	154.6600
1360.000000	84.846	153.8060
1380.000000	84.929	152.9960
1400.000000	85.018	152.2369
1430.000000	85.159	151.1685
1450.000000	85.260	150.4933
1475.000000	85.390	149.6609
1500.000000	85.527	148.8929
1525.000000	85.672	148.1787
1550.000000	85.823	147.5129
1575.000000	85.981	146.8616
1600.000000	86.146	146.2135
1625.000000	86.317	145.5854
1650.000000	86.497	144.9587
1675.000000	86.682	144.3098
1700.000000	86.878	143.6345
1725.000000	87.082	142.9360
1750.000000	87.289	142.1978
1775.000000	87.504	141.4203
1800.000000	87.723	140.5960
1825.000000	87.947	139.6882
1850.000000	88.173	138.6920
1875.000000	88.403	137.6094
1900.000000	88.636	136.4375
1925.000000	88.868	135.1593
1950.000000	89.094	133.7662
1975.000000	89.313	132.2574
2000.000000	89.523	130.6219
2030.000000	89.760	128.4940
2060.000000	89.974	126.1876
2090.000000	90.160	123.7197
2120.000000	90.311	121.1246
2140.000000	90.390	119.3402
2180.000000	90.492	115.6775
2200.000000	90.512	113.8158
2240.000000	90.492	110.0999
2270.000000	90.424	107.3853
2300.000000	90.312	104.7795
2330.000000	90.159	102.3217
2360.000000	89.969	100.0444
2400.000000	89.663	97.3267
2430.000000	89.399	95.5385
2470.000000	89.011	93.5270
2500.000000	88.699	92.3380
2540.000000	88.266	91.2144
2580.000000	87.827	90.6255
2620.000000	87.403	90.5237
2650.000000	87.106	90.7232
2690.000000	86.747	91.2853
2720.000000	86.509	91.8503
2760.000000	86.229	92.6691
2800.000000	85.979	93.4963
2850.000000	85.694	94.5316
2900.000000	85.429	95.6063
2950.000000	85.172	96.8037
3000.000000	84.924	98.1241
3040.000000	84.735	99.2633
3070.000000	84.602	100.1989
3110.000000	84.433	101.5627
3150.000000	84.274	103.0426
3200.000000	84.093	105.0615
3250.000000	83.938	107.2500
3300.000000	83.811	109.5986
3350.000000	83.717	112.0879
3400.000000	83.665	114.7082
3450.000000	83.666	117.4268
3500.000000	83.721	120.2131
3550.000000	83.831	122.9837
3600.000000	83.994	125.6783
3650.000000	84.213	128.2304
3700.000000	84.481	130.5341
3750.000000	84.784	132.5226
3820.000000	85.245	134.7230
3870.000000	85.583	135.8463
3950.000000	86.094	136.9316
4000.000000	86.383	137.2618
4060.000000	86.687	137.4031
4120.000000	86.949	137.4131
4180.000000	87.178	137.4413
4250.000000	87.420	137.5851
4310.000000	87.627	137.7766
4370.000000	87.845	137.9551
4440.000000	88.126	138.0347
4500.000000	88.395	137.8738
4550.000000	88.635	137.4824
4620.000000	88.976	136.4044
4680.000000	89.253	134.8889
4750.000000	89.517	132.3703
4820.000000	89.661	129.1161
4870.000000	89.660	126.4952
4940.000000	89.482	122.8199
5000.000000	89.170	120.1270
5080.000000	88.596	117.8660
5150.000000	88.052	117.3391
5220.000000	87.567	117.8466
5300.000000	87.128	119.0654
5380.000000	86.788	120.4985
5450.000000	86.536	121.8036
5520.000000	86.308	123.1790
5600.000000	86.066	124.8509
5700.000000	85.783	127.0720
5800.000000	85.464	129.4651
5900.000000	85.106	133.2540
6000.000000	85.031	138.2925
6080.000000	85.155	141.7958
6150.000000	85.320	144.4908
6220.000000	85.532	146.9225
6300.000000	85.824	149.3535
6400.000000	86.254	151.8396
6500.000000	86.748	153.6360
6600.000000	87.285	154.5322
6700.000000	87.826	154.3397
6800.000000	88.309	152.9230
6900.000000	88.667	150.3806
7000.000000	88.835	147.1533
7100.000000	88.781	143.8610
7200.000000	88.514	141.0773
7300.000000	88.072	139.2767
7400.000000	87.526	138.8168
7500.000000	86.985	139.6470
7620.000000	86.442	141.5911
7750.000000	85.937	144.1470
7880.000000	85.394	147.2238
8000.000000	84.884	150.6464
8120.000000	84.414	154.5512
8250.000000	83.976	159.0396
8380.000000	83.590	163.3812
8500.000000	83.200	167.2920
8620.000000	82.782	171.5750
8750.000000	82.322	176.2142
8850.000000	81.907	179.7771
9000.000000	81.154	-174.0731
9120.000000	80.483	-167.9257
9250.000000	79.785	-159.8501
9380.000000	79.222	-150.4450
9500.000000	78.902	-140.9993
9620.000000	78.812	-131.3286
9750.000000	78.973	-121.1744
9880.000000	79.363	-111.9921
10000.000000	79.855	-104.8871
10150.000000	80.513	-98.2810
10300.000000	81.041	-94.2437
10440.000000	81.266	-92.3141
10600.000000	81.073	-90.9541
10750.000000	80.452	-88.8405
10900.000000	79.517	-84.7058
11060.000000	78.354	-77.6293
11200.000000	77.326	-69.3655
11380.000000	76.105	-56.4471
11500.000000	75.389	-46.7197
11720.000000	74.350	-27.1260
11800.000000	74.067	-19.5701
12060.000000	73.532	6.0884
12200.000000	73.495	20.3625
12410.000000	73.743	41.7897
12500.000000	73.965	50.8690
12650.000000	74.499	65.7621
12800.000000	75.247	80.1854
13150.000000	77.895	110.5757
13200.000000	78.375	114.3209
13400.000000	80.465	126.8473
13600.000000	82.550	134.1195
13800.000000	84.144	135.4257
14000.000000	84.857	133.2423
14300.000000	84.428	133.7321
14500.000000	83.783	139.6327
14750.000000	83.289	151.3546
15000.000000	83.451	164.4654
15250.000000	84.202	175.2486
15500.000000	85.012	-178.8945
15750.000000	85.326	-176.2308
16000.000000	85.249	-173.6140
16250.000000	84.899	-172.1934
16500.000000	83.887	-171.0669
16750.000000	82.165	-165.9389
17000.000000	80.157	-155.0692
17250.000000	78.380	-138.9818
17500.000000	77.455	-120.2498
17750.000000	77.598	-103.6984
18000.000000	78.208	-93.4628
18250.000000	78.435	-90.6603
18500.000000	77.659	-91.6125
18750.000000	75.749	-89.5693
19000.000000	73.050	-80.6204
19250.000000	70.108	-65.3569
19500.000000	67.344	-46.0043
19750.000000	65.002	-25.5302
20000.000000	63.473	-10.7787
