* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 8:20:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_long
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.949	6.5926
20.600000	93.963	6.2963
20.900000	93.990	5.7721
21.200001	94.012	5.2847
21.400000	94.023	4.9724
21.799999	94.041	4.3361
22.000000	94.047	4.0009
22.400000	94.056	3.3073
22.700001	94.059	2.7830
23.000000	94.061	2.2658
23.299999	94.065	1.7563
23.600000	94.074	1.2442
24.000000	94.096	0.5319
24.299999	94.117	-0.0426
24.700001	94.144	-0.8645
25.000000	94.159	-1.5019
25.400000	94.170	-2.3330
25.799999	94.176	-3.0950
26.200001	94.185	-3.7812
26.500000	94.194	-4.2694
26.900000	94.210	-4.9196
27.200001	94.218	-5.4168
27.600000	94.220	-6.0745
28.000000	94.212	-6.6790
28.500000	94.202	-7.3166
29.000000	94.209	-7.8944
29.500000	94.230	-8.5680
30.000000	94.244	-9.4211
30.400000	94.233	-10.1731
30.700001	94.212	-10.7178
31.100000	94.173	-11.3576
31.500000	94.134	-11.8911
32.000000	94.099	-12.4793
32.500000	94.079	-13.0854
33.000000	94.067	-13.7520
33.500000	94.056	-14.4480
34.000000	94.043	-15.1368
34.500000	94.031	-15.8108
35.000000	94.019	-16.4746
35.500000	94.007	-17.1274
36.000000	93.994	-17.7660
36.500000	93.981	-18.3914
37.000000	93.966	-19.0080
37.500000	93.948	-19.6166
38.200001	93.917	-20.4481
38.700001	93.892	-21.0263
39.500000	93.849	-21.9467
40.000000	93.820	-22.5266
40.599998	93.780	-23.2120
41.200001	93.740	-23.8655
41.799999	93.705	-24.5023
42.500000	93.671	-25.2740
43.099998	93.642	-25.9702
43.700001	93.611	-26.6732
44.400002	93.571	-27.4794
45.000000	93.532	-28.1358
45.500000	93.498	-28.6284
46.200001	93.459	-29.2352
46.799999	93.441	-29.7633
47.500000	93.422	-30.4931
48.200001	93.387	-31.2728
48.700001	93.352	-31.7773
49.400002	93.303	-32.3837
50.000000	93.268	-32.8630
50.799999	93.228	-33.5152
51.500000	93.195	-34.1272
52.200001	93.157	-34.7748
53.000000	93.101	-35.4849
53.799999	93.044	-36.1121
54.500000	93.002	-36.6529
55.200001	92.960	-37.2322
56.000000	92.909	-37.9061
57.000000	92.845	-38.7148
58.000000	92.781	-39.4925
59.000000	92.719	-40.2352
60.000000	92.659	-40.9626
60.799999	92.610	-41.5303
61.500000	92.568	-42.0087
62.200001	92.526	-42.4546
63.000000	92.484	-42.9184
64.000000	92.451	-43.5903
65.000000	92.400	-44.4804
66.000000	92.310	-45.2685
67.000000	92.225	-45.8535
68.000000	92.157	-46.4732
69.000000	92.086	-47.1433
70.000000	92.015	-47.7937
71.000000	91.948	-48.4491
72.000000	91.880	-49.1045
73.000000	91.814	-49.7194
74.000000	91.750	-50.3075
75.000000	91.685	-50.8713
76.199997	91.605	-51.5099
77.500000	91.516	-52.1621
78.800003	91.431	-52.7817
80.000000	91.360	-53.4103
81.199997	91.283	-54.1169
82.500000	91.192	-54.8551
83.800003	91.106	-55.5452
85.000000	91.031	-56.1649
86.199997	90.959	-56.7757
87.500000	90.881	-57.4152
88.500000	90.820	-57.8745
90.000000	90.734	-58.5187
91.199997	90.670	-59.0210
92.500000	90.603	-59.5988
93.800003	90.531	-60.2052
95.000000	90.457	-60.7438
96.199997	90.382	-61.2510
97.500000	90.302	-61.8027
98.800003	90.221	-62.3503
100.000000	90.149	-62.8495
101.500000	90.062	-63.4659
103.000000	89.980	-64.0571
104.400002	89.906	-64.6030
106.000000	89.819	-65.2178
107.500000	89.734	-65.7881
109.000000	89.650	-66.3406
110.599998	89.566	-66.9361
112.000000	89.495	-67.4698
113.800003	89.404	-68.0958
115.000000	89.347	-68.4842
117.199997	89.237	-69.2083
118.000000	89.195	-69.4650
120.599998	89.059	-70.3089
122.000000	88.988	-70.7913
124.099998	88.881	-71.4732
125.000000	88.838	-71.7468
126.500000	88.769	-72.1957
128.000000	88.700	-72.6605
131.500000	88.536	-73.7894
132.000000	88.512	-73.9473
134.000000	88.419	-74.5319
136.000000	88.332	-75.0679
138.000000	88.246	-75.6132
140.000000	88.154	-76.1605
143.000000	88.017	-76.9332
145.000000	87.930	-77.4298
147.500000	87.822	-78.0448
150.000000	87.707	-78.6422
152.500000	87.592	-79.1772
155.000000	87.485	-79.6625
157.500000	87.386	-80.1232
160.000000	87.289	-80.5521
162.500000	87.196	-80.9478
165.000000	87.115	-81.3112
167.500000	87.046	-81.6512
170.000000	86.991	-81.9927
172.500000	86.948	-82.3718
175.000000	86.917	-82.8214
177.500000	86.893	-83.4050
180.000000	86.859	-84.1413
182.500000	86.807	-84.9256
185.000000	86.745	-85.6958
187.500000	86.671	-86.4589
190.000000	86.590	-87.1923
192.500000	86.510	-87.8774
195.000000	86.435	-88.4908
197.500000	86.363	-89.0641
200.000000	86.293	-89.6545
203.000000	86.210	-90.3586
206.000000	86.130	-90.9961
209.000000	86.047	-91.6051
212.000000	85.958	-92.2394
214.000000	85.900	-92.6718
218.000000	85.802	-93.5222
220.000000	85.756	-93.9311
224.000000	85.656	-94.6889
227.000000	85.581	-95.2285
230.000000	85.513	-95.7803
233.000000	85.447	-96.3527
236.000000	85.383	-96.9235
240.000000	85.308	-97.6663
243.000000	85.246	-98.2299
247.000000	85.150	-98.9891
250.000000	85.086	-99.5318
254.000000	85.013	-100.2048
258.000000	84.939	-100.8833
262.000000	84.864	-101.6233
265.000000	84.809	-102.1847
269.000000	84.744	-102.9166
272.000000	84.700	-103.4466
276.000000	84.639	-104.1301
280.000000	84.577	-104.8165
285.000000	84.511	-105.6834
290.000000	84.446	-106.5373
295.000000	84.387	-107.3698
300.000000	84.335	-108.2150
304.000000	84.289	-108.9536
307.000000	84.255	-109.4961
311.000000	84.214	-110.1883
315.000000	84.176	-110.8846
320.000000	84.132	-111.7426
325.000000	84.096	-112.6180
330.000000	84.057	-113.5124
335.000000	84.016	-114.3818
340.000000	83.981	-115.2513
345.000000	83.942	-116.1286
350.000000	83.905	-117.0095
355.000000	83.875	-117.8774
360.000000	83.841	-118.7396
365.000000	83.810	-119.6194
370.000000	83.784	-120.5114
375.000000	83.759	-121.4035
382.000000	83.729	-122.6645
387.000000	83.713	-123.5553
395.000000	83.686	-124.9646
400.000000	83.668	-125.8540
406.000000	83.646	-126.9575
412.000000	83.625	-128.0828
418.000000	83.612	-129.2072
425.000000	83.606	-130.5382
431.000000	83.600	-131.6810
437.000000	83.595	-132.8556
444.000000	83.592	-134.2380
450.000000	83.589	-135.4615
455.000000	83.587	-136.4859
462.000000	83.582	-137.8654
468.000000	83.579	-139.0429
475.000000	83.579	-140.4354
482.000000	83.584	-141.8476
487.000000	83.589	-142.8732
494.000000	83.597	-144.3110
500.000000	83.604	-145.5257
508.000000	83.605	-147.1615
515.000000	83.606	-148.6051
522.000000	83.615	-150.0408
530.000000	83.627	-151.7040
538.000000	83.635	-153.3651
545.000000	83.638	-154.7957
552.000000	83.641	-156.2316
560.000000	83.644	-157.8803
570.000000	83.646	-159.9374
580.000000	83.653	-162.0355
590.000000	83.659	-164.1360
600.000000	83.656	-166.2060
608.000000	83.656	-167.8554
615.000000	83.656	-169.2949
622.000000	83.655	-170.7161
630.000000	83.651	-172.3204
640.000000	83.643	-174.3067
650.000000	83.632	-176.2965
660.000000	83.618	-178.2904
670.000000	83.606	179.7524
680.000000	83.593	177.8371
690.000000	83.577	175.9572
700.000000	83.564	174.1103
710.000000	83.549	172.2789
720.000000	83.531	170.4488
730.000000	83.512	168.6636
740.000000	83.495	166.9249
750.000000	83.481	165.2150
762.000000	83.459	163.2236
775.000000	83.434	161.1292
788.000000	83.417	159.1115
800.000000	83.405	157.2715
812.000000	83.393	155.4344
825.000000	83.381	153.4945
838.000000	83.374	151.6204
850.000000	83.377	149.9320
862.000000	83.384	148.2980
875.000000	83.388	146.5882
885.000000	83.396	145.2931
900.000000	83.420	143.3620
912.000000	83.447	141.8164
925.000000	83.479	140.1886
938.000000	83.515	138.6233
950.000000	83.550	137.1696
962.000000	83.588	135.6866
975.000000	83.636	134.1103
988.000000	83.697	132.5816
1000.000000	83.755	131.1542
1015.000000	83.818	129.3188
1030.000000	83.884	127.4941
1044.000000	83.948	125.8104
1060.000000	84.022	123.9159
1075.000000	84.095	122.1442
1090.000000	84.173	120.3603
1106.000000	84.260	118.4413
1120.000000	84.337	116.7607
1138.000000	84.439	114.6197
1150.000000	84.508	113.2163
1172.000000	84.629	110.6889
1180.000000	84.672	109.7679
1206.000000	84.806	106.8057
1220.000000	84.875	105.2493
1241.000000	84.980	102.9451
1250.000000	85.024	101.9696
1265.000000	85.097	100.3771
1280.000000	85.172	98.8202
1315.000000	85.342	95.2637
1320.000000	85.366	94.7696
1340.000000	85.461	92.8204
1360.000000	85.551	90.9023
1380.000000	85.645	89.0416
1400.000000	85.746	87.2410
1430.000000	85.902	84.6099
1450.000000	86.009	82.8957
1475.000000	86.151	80.8124
1500.000000	86.299	78.7725
1525.000000	86.452	76.7765
1550.000000	86.612	74.8077
1575.000000	86.780	72.8438
1600.000000	86.954	70.9093
1625.000000	87.137	68.9752
1650.000000	87.328	67.0316
1675.000000	87.527	65.0870
1700.000000	87.730	63.1244
1725.000000	87.938	61.1228
1750.000000	88.155	59.0886
1775.000000	88.379	57.0179
1800.000000	88.606	54.8794
1825.000000	88.836	52.6640
1850.000000	89.068	50.3527
1875.000000	89.303	47.9436
1900.000000	89.538	45.4534
1925.000000	89.772	42.8548
1950.000000	89.997	40.1280
1975.000000	90.214	37.2878
2000.000000	90.421	34.3337
2030.000000	90.650	30.6310
2060.000000	90.851	26.7722
2090.000000	91.020	22.7811
2120.000000	91.154	18.6751
2140.000000	91.222	15.8867
2180.000000	91.299	10.2513
2200.000000	91.307	7.4344
2240.000000	91.262	1.8720
2270.000000	91.179	-2.1886
2300.000000	91.056	-6.1180
2330.000000	90.898	-9.8878
2360.000000	90.709	-13.4709
2400.000000	90.412	-17.9426
2430.000000	90.162	-21.0556
2470.000000	89.799	-24.8661
2500.000000	89.509	-27.4551
2540.000000	89.104	-30.5277
2580.000000	88.685	-33.1348
2620.000000	88.265	-35.2584
2650.000000	87.961	-36.5187
2690.000000	87.591	-37.7915
2720.000000	87.349	-38.5072
2760.000000	87.079	-39.2810
2800.000000	86.869	-39.9971
2850.000000	86.669	-40.9281
2900.000000	86.515	-41.9863
2950.000000	86.390	-43.1418
3000.000000	86.284	-44.3485
3040.000000	86.205	-45.3284
3070.000000	86.150	-46.0677
3110.000000	86.083	-47.0552
3150.000000	86.018	-48.0132
3200.000000	85.945	-49.1572
3250.000000	85.885	-50.2488
3300.000000	85.835	-51.2632
3350.000000	85.798	-52.1897
3400.000000	85.784	-53.0442
3450.000000	85.800	-53.8390
3500.000000	85.848	-54.5793
3550.000000	85.929	-55.3188
3600.000000	86.046	-56.1115
3650.000000	86.200	-57.0150
3700.000000	86.385	-58.0852
3750.000000	86.595	-59.3633
3820.000000	86.912	-61.5943
3870.000000	87.140	-63.5411
3950.000000	87.470	-67.2283
4000.000000	87.638	-69.8226
4060.000000	87.792	-73.0916
4120.000000	87.898	-76.3842
4180.000000	87.969	-79.5853
4250.000000	88.030	-83.1084
