* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 8:21:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_long
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.858	6.1819
20.600000	93.882	5.9361
20.900000	93.930	5.4851
21.200001	93.975	5.0175
21.400000	94.002	4.6836
21.799999	94.043	3.9456
22.000000	94.056	3.5482
22.400000	94.066	2.7499
22.700001	94.066	2.1861
23.000000	94.065	1.6626
23.299999	94.068	1.1566
23.600000	94.079	0.6362
24.000000	94.101	-0.1254
24.299999	94.117	-0.7587
24.700001	94.130	-1.6567
25.000000	94.131	-2.3285
25.400000	94.122	-3.1691
25.799999	94.112	-3.9219
26.200001	94.107	-4.6085
26.500000	94.108	-5.1066
26.900000	94.110	-5.7712
27.200001	94.109	-6.2717
27.600000	94.104	-6.9297
28.000000	94.095	-7.5604
28.500000	94.087	-8.3100
29.000000	94.083	-9.0583
29.500000	94.080	-9.8540
30.000000	94.068	-10.6986
30.400000	94.048	-11.3720
30.700001	94.029	-11.8529
31.100000	94.002	-12.4489
31.500000	93.978	-13.0043
32.000000	93.954	-13.6861
32.500000	93.936	-14.3927
33.000000	93.918	-15.1181
33.500000	93.900	-15.8309
34.000000	93.882	-16.5152
34.500000	93.866	-17.1779
35.000000	93.850	-17.8295
35.500000	93.835	-18.4754
36.000000	93.819	-19.1175
36.500000	93.801	-19.7534
37.000000	93.779	-20.3736
37.500000	93.754	-20.9697
38.200001	93.720	-21.7757
38.700001	93.696	-22.3547
39.500000	93.653	-23.3001
40.000000	93.624	-23.8821
40.599998	93.589	-24.5638
41.200001	93.557	-25.2512
41.799999	93.525	-25.9577
42.500000	93.482	-26.7796
43.099998	93.445	-27.4566
