* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 8:15:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_MX
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.947	49.1079
20.600000	83.006	48.7564
20.900000	83.117	48.1566
21.200001	83.208	47.6651
21.400000	83.262	47.3996
21.799999	83.371	46.9372
22.000000	83.430	46.6980
22.400000	83.556	46.1312
22.700001	83.647	45.5967
23.000000	83.726	44.9769
23.299999	83.787	44.3305
23.600000	83.832	43.7226
24.000000	83.879	43.0580
24.299999	83.918	42.6876
24.700001	83.991	42.3057
25.000000	84.063	42.0213
25.400000	84.176	41.5452
25.799999	84.289	40.9222
26.200001	84.388	40.2142
26.500000	84.449	39.6954
26.900000	84.522	39.0827
27.200001	84.577	38.6849
27.600000	84.659	38.1837
28.000000	84.750	37.6247
28.500000	84.858	36.7800
29.000000	84.939	35.8755
29.500000	84.994	35.0910
30.000000	85.052	34.4878
30.400000	85.114	34.0510
30.700001	85.169	33.6890
31.100000	85.242	33.1214
31.500000	85.305	32.4823
32.000000	85.362	31.6945
32.500000	85.408	31.0206
33.000000	85.463	30.4404
33.500000	85.532	29.8527
34.000000	85.602	29.2033
34.500000	85.661	28.5387
35.000000	85.715	27.9145
35.500000	85.774	27.3049
36.000000	85.836	26.6323
36.500000	85.888	25.8769
37.000000	85.921	25.1179
37.500000	85.940	24.4521
38.200001	85.972	23.6998
38.700001	86.010	23.2013
39.500000	86.086	22.3329
40.000000	86.136	21.7580
40.599998	86.199	21.0471
41.200001	86.264	20.2841
41.799999	86.323	19.4645
42.500000	86.377	18.4954
43.099998	86.415	17.6976
43.700001	86.446	16.9268
44.400002	86.474	16.0531
45.000000	86.487	15.3499
45.500000	86.493	14.8271
46.200001	86.508	14.2111
46.799999	86.540	13.7296
47.500000	86.604	13.0468
48.200001	86.669	12.1426
48.700001	86.702	11.4245
49.400002	86.731	10.4637
50.000000	86.752	9.7146
50.799999	86.778	8.7498
51.500000	86.789	7.9597
52.200001	86.789	7.3456
53.000000	86.806	6.8714
53.799999	86.853	6.4112
54.500000	86.899	5.8764
55.200001	86.931	5.2551
56.000000	86.951	4.5424
57.000000	86.969	3.7004
58.000000	86.991	2.8398
59.000000	87.007	1.8958
60.000000	87.012	1.0070
60.799999	87.025	0.3533
61.500000	87.043	-0.2450
62.200001	87.058	-0.8639
63.000000	87.069	-1.5491
64.000000	87.080	-2.3871
65.000000	87.083	-3.2287
66.000000	87.079	-4.0176
67.000000	87.075	-4.7643
68.000000	87.071	-5.5055
69.000000	87.071	-6.2247
70.000000	87.078	-6.9667
71.000000	87.083	-7.7573
72.000000	87.080	-8.5525
73.000000	87.070	-9.3336
74.000000	87.053	-10.0594
75.000000	87.041	-10.7401
76.199997	87.033	-11.5992
77.500000	87.016	-12.5574
78.800003	86.995	-13.3879
80.000000	86.995	-14.1061
81.199997	86.996	-14.9326
82.500000	86.976	-15.8230
83.800003	86.945	-16.5932
85.000000	86.921	-17.2644
86.199997	86.898	-17.9825
87.500000	86.865	-18.7584
88.500000	86.840	-19.3349
90.000000	86.800	-20.1744
91.199997	86.770	-20.7623
92.500000	86.757	-21.3825
93.800003	86.751	-22.0846
95.000000	86.740	-22.7610
96.199997	86.725	-23.4268
97.500000	86.709	-24.1519
98.800003	86.685	-24.9291
100.000000	86.648	-25.6017
101.500000	86.603	-26.3255
103.000000	86.566	-27.0341
104.400002	86.529	-27.6661
106.000000	86.492	-28.3193
107.500000	86.469	-28.9082
109.000000	86.452	-29.5278
110.599998	86.435	-30.2226
112.000000	86.416	-30.8442
113.800003	86.391	-31.6531
115.000000	86.370	-32.2081
117.199997	86.332	-33.1949
118.000000	86.321	-33.5527
120.599998	86.286	-34.7869
122.000000	86.256	-35.4469
124.099998	86.212	-36.3506
125.000000	86.195	-36.7389
126.500000	86.166	-37.3836
128.000000	86.137	-37.9938
131.500000	86.073	-39.3721
132.000000	86.061	-39.5782
134.000000	86.003	-40.3747
136.000000	85.945	-41.1015
138.000000	85.898	-41.8447
140.000000	85.847	-42.5744
143.000000	85.770	-43.6244
145.000000	85.714	-44.3474
147.500000	85.647	-45.1948
150.000000	85.596	-45.9816
152.500000	85.542	-46.7934
155.000000	85.488	-47.6034
157.500000	85.436	-48.4053
160.000000	85.382	-49.1348
162.500000	85.322	-49.8297
165.000000	85.260	-50.5705
167.500000	85.205	-51.3294
170.000000	85.157	-52.0558
172.500000	85.103	-52.7359
175.000000	85.039	-53.3772
177.500000	84.974	-53.9837
180.000000	84.918	-54.5833
182.500000	84.865	-55.2089
185.000000	84.816	-55.8107
187.500000	84.776	-56.3780
190.000000	84.739	-56.9185
192.500000	84.708	-57.4739
195.000000	84.679	-58.1613
197.500000	84.640	-58.9389
200.000000	84.593	-59.6917
203.000000	84.533	-60.5300
206.000000	84.466	-61.3055
209.000000	84.398	-62.0432
212.000000	84.328	-62.7509
214.000000	84.283	-63.1936
218.000000	84.189	-63.9939
220.000000	84.142	-64.3376
224.000000	84.058	-64.9466
227.000000	83.998	-65.3804
230.000000	83.940	-65.7638
233.000000	83.905	-66.0454
