* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 8:12:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_MX
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.183	49.1757
20.600000	82.244	48.9523
20.900000	82.368	48.5641
21.200001	82.488	48.2109
21.400000	82.567	47.9599
21.799999	82.722	47.3359
22.000000	82.793	46.9426
22.400000	82.910	46.0306
22.700001	82.968	45.3286
23.000000	83.007	44.7087
23.299999	83.037	44.2195
23.600000	83.072	43.8513
24.000000	83.142	43.4652
24.299999	83.214	43.1599
24.700001	83.323	42.6473
25.000000	83.402	42.1848
25.400000	83.496	41.5308
25.799999	83.581	40.9258
26.200001	83.669	40.3961
26.500000	83.741	40.0161
26.900000	83.844	39.4751
27.200001	83.920	39.0188
27.600000	84.011	38.3490
28.000000	84.089	37.6555
28.500000	84.168	36.8303
29.000000	84.239	36.0816
29.500000	84.306	35.3864
30.000000	84.371	34.7211
30.400000	84.422	34.2094
30.700001	84.462	33.8366
31.100000	84.518	33.3413
31.500000	84.577	32.8255
32.000000	84.653	32.1205
32.500000	84.723	31.3509
33.000000	84.785	30.5667
33.500000	84.843	29.8185
34.000000	84.900	29.1182
34.500000	84.960	28.4432
35.000000	85.021	27.7748
35.500000	85.080	27.1173
36.000000	85.137	26.4832
36.500000	85.194	25.8680
37.000000	85.250	25.2526
37.500000	85.301	24.6343
38.200001	85.361	23.8069
38.700001	85.401	23.2537
39.500000	85.465	22.3455
40.000000	85.498	21.7475
40.599998	85.530	21.0607
41.200001	85.566	20.4251
41.799999	85.612	19.7446
42.500000	85.659	18.8270
43.099998	85.683	18.0587
43.700001	85.707	17.4065
44.400002	85.752	16.7048
45.000000	85.796	16.0698
45.500000	85.830	15.5514
46.200001	85.881	14.8874
46.799999	85.935	14.3024
47.500000	85.991	13.5276
48.200001	86.029	12.7663
48.700001	86.053	12.2792
49.400002	86.091	11.6041
50.000000	86.118	10.9768
50.799999	86.134	10.1608
51.500000	86.146	9.5374
52.200001	86.166	8.9310
53.000000	86.192	8.1920
53.799999	86.214	7.4428
54.500000	86.231	6.8027
55.200001	86.250	6.1691
56.000000	86.273	5.4480
57.000000	86.302	4.5492
58.000000	86.325	3.6633
59.000000	86.342	2.8317
60.000000	86.363	2.0376
60.799999	86.381	1.3671
61.500000	86.394	0.7616
62.200001	86.404	0.1622
63.000000	86.413	-0.5204
64.000000	86.419	-1.3560
65.000000	86.427	-2.1294
66.000000	86.443	-2.9148
67.000000	86.450	-3.7130
68.000000	86.456	-4.4550
69.000000	86.466	-5.2081
70.000000	86.471	-6.0049
71.000000	86.465	-6.7963
72.000000	86.453	-7.5308
73.000000	86.445	-8.2024
74.000000	86.443	-8.8746
75.000000	86.440	-9.5651
76.199997	86.436	-10.3865
77.500000	86.432	-11.2645
78.800003	86.429	-12.1316
80.000000	86.424	-12.9381
81.199997	86.413	-13.7275
82.500000	86.399	-14.5271
83.800003	86.388	-15.3214
85.000000	86.373	-16.0646
86.199997	86.357	-16.7763
87.500000	86.344	-17.5327
88.500000	86.336	-18.1217
90.000000	86.319	-19.0243
91.199997	86.299	-19.7216
92.500000	86.278	-20.4537
93.800003	86.258	-21.1858
95.000000	86.239	-21.8578
96.199997	86.218	-22.5153
97.500000	86.194	-23.1846
98.800003	86.172	-23.8297
100.000000	86.151	-24.4294
101.500000	86.121	-25.1703
103.000000	86.094	-25.8902
104.400002	86.078	-26.6048
106.000000	86.059	-27.4950
107.500000	86.027	-28.3079
109.000000	85.992	-28.9645
110.599998	85.968	-29.5993
112.000000	85.948	-30.2021
113.800003	85.915	-31.0538
115.000000	85.888	-31.6316
117.199997	85.842	-32.6587
118.000000	85.827	-33.0284
120.599998	85.771	-34.1876
122.000000	85.737	-34.7597
124.099998	85.686	-35.6312
125.000000	85.666	-36.0152
126.500000	85.632	-36.6645
128.000000	85.599	-37.2534
131.500000	85.548	-38.4887
132.000000	85.539	-38.6832
134.000000	85.492	-39.4880
136.000000	85.438	-40.3062
138.000000	85.383	-41.0857
140.000000	85.336	-41.7753
143.000000	85.254	-42.7486
