* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 26, 2022 2:40:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.800	-125.7959
20.600000	90.838	-126.3637
20.900000	90.920	-127.4615
21.200001	90.994	-128.4983
21.400000	91.038	-129.1424
21.799999	91.118	-130.4164
22.000000	91.155	-131.0571
22.400000	91.225	-132.3375
22.700001	91.273	-133.2919
23.000000	91.319	-134.2412
23.299999	91.363	-135.1853
23.600000	91.406	-136.1254
24.000000	91.463	-137.3741
24.299999	91.504	-138.3051
24.700001	91.556	-139.5331
25.000000	91.594	-140.4391
25.400000	91.642	-141.6230
25.799999	91.690	-142.7788
26.200001	91.735	-143.9082
26.500000	91.768	-144.7380
26.900000	91.809	-145.8198
27.200001	91.838	-146.6119
27.600000	91.875	-147.6449
28.000000	91.911	-148.6577
28.500000	91.951	-149.9069
29.000000	91.987	-151.1397
29.500000	92.016	-152.3461
30.000000	92.041	-153.5180
30.400000	92.061	-154.4351
30.700001	92.076	-155.1161
31.100000	92.096	-156.0192
31.500000	92.115	-156.9161
32.000000	92.138	-158.0216
32.500000	92.161	-159.1055
33.000000	92.186	-160.1747
33.500000	92.211	-161.2371
34.000000	92.235	-162.2910
34.500000	92.257	-163.3279
35.000000	92.278	-164.3443
35.500000	92.296	-165.3444
36.000000	92.313	-166.3301
36.500000	92.326	-167.2966
37.000000	92.336	-168.2407
37.500000	92.346	-169.1698
38.200001	92.356	-170.4659
38.700001	92.358	-171.3852
39.500000	92.355	-172.8085
40.000000	92.354	-173.6660
40.599998	92.354	-174.6861
41.200001	92.353	-175.7082
41.799999	92.349	-176.7180
42.500000	92.343	-177.8599
43.099998	92.339	-178.8141
43.700001	92.334	-179.7569
44.400002	92.327	179.1619
45.000000	92.319	178.2574
45.500000	92.312	177.5161
46.200001	92.300	176.4905
46.799999	92.289	175.6233
47.500000	92.273	174.6315
48.200001	92.257	173.6610
48.700001	92.246	172.9752
49.400002	92.231	172.0152
50.000000	92.216	171.1931
50.799999	92.193	170.1197
51.500000	92.172	169.2165
52.200001	92.152	168.3369
53.000000	92.130	167.3416
53.799999	92.108	166.3581
54.500000	92.086	165.5119
55.200001	92.064	164.6762
56.000000	92.037	163.7333
57.000000	92.000	162.5835
58.000000	91.963	161.4655
59.000000	91.927	160.3527
60.000000	91.889	159.2391
60.799999	91.854	158.3705
61.500000	91.824	157.6337
62.200001	91.795	156.9096
63.000000	91.763	156.0903
64.000000	91.721	155.0847
65.000000	91.680	154.0999
66.000000	91.639	153.1249
67.000000	91.596	152.1670
68.000000	91.552	151.2307
69.000000	91.507	150.3110
70.000000	91.460	149.4095
71.000000	91.414	148.5278
72.000000	91.369	147.6570
73.000000	91.324	146.7910
74.000000	91.277	145.9401
75.000000	91.230	145.1095
76.199997	91.175	144.1272
77.500000	91.113	143.0779
78.800003	91.049	142.0580
80.000000	90.990	141.1442
81.199997	90.932	140.2469
82.500000	90.870	139.2942
83.800003	90.810	138.3566
85.000000	90.755	137.4911
86.199997	90.696	136.6412
87.500000	90.632	135.7495
88.500000	90.583	135.0747
90.000000	90.510	134.0817
91.199997	90.454	133.2942
92.500000	90.393	132.4454
93.800003	90.331	131.6179
95.000000	90.274	130.8790
96.199997	90.218	130.1541
97.500000	90.158	129.3767
98.800003	90.096	128.6149
100.000000	90.039	127.9238
101.500000	89.969	127.0686
103.000000	89.898	126.2281
104.400002	89.833	125.4626
106.000000	89.759	124.6059
107.500000	89.690	123.8228
109.000000	89.622	123.0526
110.599998	89.550	122.2375
112.000000	89.486	121.5384
113.800003	89.407	120.6603
115.000000	89.354	120.0869
117.199997	89.258	119.0663
118.000000	89.224	118.7009
120.599998	89.111	117.5231
122.000000	89.051	116.9017
124.099998	88.964	115.9798
125.000000	88.927	115.5874
126.500000	88.866	114.9393
128.000000	88.805	114.3047
131.500000	88.660	112.9013
132.000000	88.640	112.7056
134.000000	88.560	111.9279
136.000000	88.480	111.1685
138.000000	88.401	110.4290
140.000000	88.324	109.7033
143.000000	88.208	108.6354
145.000000	88.132	107.9430
147.500000	88.038	107.1062
150.000000	87.946	106.2970
152.500000	87.855	105.4965
155.000000	87.764	104.7193
157.500000	87.674	103.9694
160.000000	87.586	103.2420
162.500000	87.496	102.5401
165.000000	87.406	101.8747
167.500000	87.316	101.2465
170.000000	87.226	100.6591
172.500000	87.137	100.1242
175.000000	87.050	99.6474
177.500000	86.967	99.2332
180.000000	86.887	98.8954
182.500000	86.815	98.6707
185.000000	86.764	98.5571
187.500000	86.747	98.4827
190.000000	86.765	98.3197
192.500000	86.808	97.9371
195.000000	86.850	97.2931
197.500000	86.875	96.4618
200.000000	86.876	95.5532
203.000000	86.851	94.4646
206.000000	86.805	93.4279
209.000000	86.746	92.4746
212.000000	86.681	91.6107
214.000000	86.637	91.0766
218.000000	86.550	90.0828
220.000000	86.507	89.6173
224.000000	86.424	88.7364
227.000000	86.364	88.1083
230.000000	86.306	87.5022
233.000000	86.251	86.9175
236.000000	86.199	86.3557
240.000000	86.134	85.6339
243.000000	86.086	85.1038
247.000000	86.026	84.4168
250.000000	85.982	83.9219
254.000000	85.926	83.2803
258.000000	85.875	82.6516
262.000000	85.825	82.0424
265.000000	85.788	81.5953
269.000000	85.741	81.0095
272.000000	85.709	80.5803
276.000000	85.667	80.0231
280.000000	85.626	79.4800
285.000000	85.577	78.8207
290.000000	85.533	78.1760
295.000000	85.492	77.5392
300.000000	85.453	76.9200
304.000000	85.422	76.4373
307.000000	85.400	76.0824
311.000000	85.373	75.6187
315.000000	85.347	75.1636
320.000000	85.318	74.6078
325.000000	85.290	74.0657
330.000000	85.263	73.5388
335.000000	85.238	73.0254
340.000000	85.215	72.5197
345.000000	85.193	72.0261
350.000000	85.173	71.5453
355.000000	85.154	71.0777
360.000000	85.137	70.6211
365.000000	85.121	70.1737
370.000000	85.108	69.7384
375.000000	85.096	69.3192
382.000000	85.080	68.7487
387.000000	85.070	68.3433
395.000000	85.058	67.7045
400.000000	85.051	67.3214
406.000000	85.044	66.8733
412.000000	85.038	66.4314
418.000000	85.033	65.9958
425.000000	85.030	65.5078
431.000000	85.030	65.1024
437.000000	85.030	64.7068
444.000000	85.031	64.2480
450.000000	85.033	63.8591
455.000000	85.036	63.5418
462.000000	85.040	63.1082
468.000000	85.045	62.7459
475.000000	85.053	62.3344
482.000000	85.064	61.9254
487.000000	85.073	61.6241
494.000000	85.084	61.1895
500.000000	85.092	60.8156
508.000000	85.099	60.3289
515.000000	85.104	59.9181
522.000000	85.109	59.5232
530.000000	85.113	59.1009
538.000000	85.118	58.7005
545.000000	85.122	58.3591
552.000000	85.128	58.0316
560.000000	85.134	57.6743
570.000000	85.144	57.2473
580.000000	85.153	56.8400
590.000000	85.163	56.4510
600.000000	85.175	56.0783
608.000000	85.185	55.7930
615.000000	85.194	55.5546
622.000000	85.203	55.3271
630.000000	85.214	55.0789
640.000000	85.228	54.7809
650.000000	85.243	54.4992
660.000000	85.259	54.2328
670.000000	85.275	53.9844
680.000000	85.292	53.7514
690.000000	85.310	53.5329
700.000000	85.329	53.3318
710.000000	85.350	53.1455
720.000000	85.372	52.9745
730.000000	85.395	52.8158
740.000000	85.418	52.6679
750.000000	85.443	52.5323
762.000000	85.475	52.3891
775.000000	85.513	52.2532
788.000000	85.552	52.1333
800.000000	85.591	52.0347
812.000000	85.632	51.9485
825.000000	85.680	51.8694
838.000000	85.732	51.8010
850.000000	85.782	51.7424
862.000000	85.835	51.6895
875.000000	85.896	51.6371
885.000000	85.945	51.5962
900.000000	86.022	51.5317
912.000000	86.086	51.4777
925.000000	86.159	51.4136
938.000000	86.235	51.3422
950.000000	86.308	51.2672
962.000000	86.383	51.1794
975.000000	86.466	51.0698
988.000000	86.551	50.9430
1000.000000	86.632	50.8074
1015.000000	86.733	50.6153
1030.000000	86.836	50.3999
1044.000000	86.933	50.1743
1060.000000	87.043	49.8851
1075.000000	87.146	49.5833
1090.000000	87.248	49.2532
1106.000000	87.355	48.8753
1120.000000	87.447	48.5243
1138.000000	87.562	48.0439
1150.000000	87.637	47.7070
1172.000000	87.768	47.0614
1180.000000	87.814	46.8193
1206.000000	87.957	46.0095
1220.000000	88.030	45.5628
1241.000000	88.134	44.8849
1250.000000	88.176	44.5930
1265.000000	88.244	44.1055
1280.000000	88.309	43.6178
1315.000000	88.449	42.4877
1320.000000	88.468	42.3288
1340.000000	88.540	41.7006
1360.000000	88.608	41.0841
1380.000000	88.672	40.4826
1400.000000	88.733	39.8963
1430.000000	88.820	39.0454
1450.000000	88.874	38.5012
1475.000000	88.940	37.8466
1500.000000	89.004	37.2186
1525.000000	89.067	36.6180
1550.000000	89.129	36.0438
1575.000000	89.191	35.4925
1600.000000	89.254	34.9630
1625.000000	89.317	34.4540
1650.000000	89.381	33.9627
1675.000000	89.447	33.4872
1700.000000	89.516	33.0257
1725.000000	89.587	32.5740
1750.000000	89.661	32.1283
1775.000000	89.739	31.6861
1800.000000	89.820	31.2451
1825.000000	89.904	30.8000
1850.000000	89.993	30.3469
1875.000000	90.085	29.8824
1900.000000	90.181	29.4014
1925.000000	90.281	28.8996
1950.000000	90.385	28.3726
1975.000000	90.492	27.8155
