* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:28:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.254	70.2274
20.600000	97.381	69.6384
20.900000	97.606	68.5178
21.200001	97.747	67.3067
21.400000	97.795	66.5464
21.799999	97.818	65.2961
22.000000	97.812	64.8648
22.400000	97.804	64.4096
22.700001	97.828	64.2909
23.000000	97.893	64.1625
23.299999	97.986	63.8536
23.600000	98.086	63.2828
24.000000	98.192	62.1356
24.299999	98.224	61.1575
24.700001	98.199	60.0540
25.000000	98.155	59.6225
25.400000	98.124	59.7099
25.799999	98.204	60.3134
26.200001	98.428	60.8748
26.500000	98.663	60.9531
26.900000	99.011	60.4372
27.200001	99.263	59.6319
27.600000	99.567	58.1487
28.000000	99.827	56.3129
28.500000	100.063	53.5779
29.000000	100.142	50.6133
29.500000	100.032	48.1347
30.000000	99.810	46.9803
30.400000	99.660	47.1006
30.700001	99.611	47.5675
31.100000	99.637	48.2402
31.500000	99.727	48.6707
32.000000	99.863	48.8236
32.500000	100.001	48.7686
33.000000	100.156	48.5548
33.500000	100.326	48.0437
34.000000	100.481	47.2186
34.500000	100.606	46.2171
35.000000	100.707	45.1301
35.500000	100.781	44.0125
36.000000	100.830	43.0016
36.500000	100.880	42.2225
37.000000	100.964	41.5667
37.500000	101.077	40.7728
38.200001	101.209	39.3517
38.700001	101.266	38.4172
39.500000	101.371	37.2458
40.000000	101.447	36.4419
40.599998	101.506	35.4102
41.200001	101.536	34.6366
41.799999	101.592	34.0864
42.500000	101.690	33.2814
43.099998	101.751	32.4482
43.700001	101.799	31.7458
44.400002	101.881	31.0127
45.000000	101.963	30.2244
45.500000	102.018	29.4803
46.200001	102.076	28.4833
46.799999	102.123	27.6960
47.500000	102.174	26.8233
48.200001	102.228	26.0628
48.700001	102.280	25.5554
49.400002	102.367	24.7351
50.000000	102.428	23.9149
50.799999	102.481	22.8859
51.500000	102.528	22.1357
52.200001	102.588	21.4061
53.000000	102.659	20.5304
53.799999	102.725	19.6447
54.500000	102.779	18.8549
55.200001	102.826	18.0629
56.000000	102.871	17.1543
57.000000	102.903	16.0039
58.000000	102.912	15.0701
59.000000	102.953	14.2574
60.000000	103.009	13.2370
60.799999	103.047	12.3534
61.500000	103.083	11.5638
62.200001	103.119	10.7562
63.000000	103.158	9.8615
64.000000	103.213	8.7717
65.000000	103.259	7.6612
66.000000	103.287	6.6580
67.000000	103.316	5.7599
68.000000	103.346	4.8615
69.000000	103.372	3.9392
70.000000	103.393	2.9781
71.000000	103.407	2.0096
72.000000	103.421	1.0622
73.000000	103.435	0.1317
74.000000	103.450	-0.7567
75.000000	103.470	-1.6249
76.199997	103.495	-2.6960
77.500000	103.515	-3.9012
78.800003	103.519	-5.0551
80.000000	103.528	-6.0250
81.199997	103.543	-6.9817
82.500000	103.559	-8.0069
83.800003	103.568	-9.0290
85.000000	103.570	-9.9623
86.199997	103.565	-10.9037
87.500000	103.552	-11.8604
88.500000	103.551	-12.5413
90.000000	103.568	-13.6361
91.199997	103.577	-14.5676
92.500000	103.582	-15.5340
93.800003	103.585	-16.4626
95.000000	103.587	-17.3095
96.199997	103.586	-18.1432
97.500000	103.582	-19.0293
98.800003	103.578	-19.9087
100.000000	103.572	-20.7125
101.500000	103.563	-21.7162
103.000000	103.549	-22.7163
104.400002	103.538	-23.6406
106.000000	103.528	-24.7036
107.500000	103.518	-25.6853
109.000000	103.507	-26.6351
110.599998	103.492	-27.6434
112.000000	103.475	-28.5034
113.800003	103.456	-29.5690
115.000000	103.446	-30.2505
117.199997	103.429	-31.3829
118.000000	103.425	-31.7707
120.599998	103.411	-33.1880
