* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:27:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.012	67.7070
20.600000	97.079	67.1726
20.900000	97.205	66.2438
21.200001	97.303	65.4466
21.400000	97.361	65.0156
21.799999	97.491	64.2992
22.000000	97.570	63.9477
22.400000	97.756	63.1014
22.700001	97.899	62.2545
23.000000	98.020	61.2410
23.299999	98.108	60.1997
23.600000	98.168	59.2786
24.000000	98.230	58.4093
24.299999	98.293	58.0261
24.700001	98.428	57.6798
25.000000	98.562	57.3484
25.400000	98.753	56.6425
25.799999	98.915	55.6738
26.200001	99.026	54.6668
26.500000	99.082	54.0225
26.900000	99.138	53.3771
27.200001	99.181	53.0185
27.600000	99.246	52.6111
28.000000	99.316	52.1997
28.500000	99.403	51.6652
29.000000	99.494	51.1313
29.500000	99.603	50.5078
30.000000	99.722	49.6378
30.400000	99.804	48.7530
30.700001	99.852	48.0336
31.100000	99.901	47.0986
31.500000	99.946	46.2465
32.000000	100.019	45.2578
32.500000	100.114	44.2072
33.000000	100.212	43.0164
33.500000	100.292	41.7868
34.000000	100.352	40.7030
34.500000	100.412	39.8572
35.000000	100.490	39.1930
35.500000	100.589	38.5792
36.000000	100.697	37.9245
36.500000	100.798	37.2187
37.000000	100.883	36.5075
37.500000	100.950	35.8427
38.200001	101.029	35.0232
38.700001	101.083	34.4756
39.500000	101.168	33.5104
40.000000	101.212	32.8186
40.599998	101.253	31.9387
41.200001	101.288	31.0533
41.799999	101.328	30.1517
42.500000	101.383	29.0278
43.099998	101.434	28.0039
43.700001	101.486	26.9636
44.400002	101.550	25.7504
45.000000	101.603	24.7177
45.500000	101.640	23.8992
46.200001	101.686	22.8991
46.799999	101.732	22.1908
47.500000	101.800	21.4370
48.200001	101.873	20.6728
48.700001	101.920	20.1266
49.400002	101.980	19.3841
50.000000	102.027	18.7477
50.799999	102.082	17.8735
51.500000	102.126	17.1054
52.200001	102.172	16.3051
53.000000	102.223	15.2817
53.799999	102.258	14.2347
54.500000	102.290	13.3808
55.200001	102.330	12.4963
56.000000	102.357	11.4588
57.000000	102.375	10.5165
58.000000	102.449	9.7236
59.000000	102.517	8.6158
60.000000	102.542	7.5181
60.799999	102.556	6.6344
61.500000	102.556	5.8265
62.200001	102.550	5.0520
63.000000	102.548	4.1927
64.000000	102.553	3.0879
65.000000	102.565	1.9816
66.000000	102.580	0.9110
67.000000	102.596	-0.0816
68.000000	102.611	-0.9758
69.000000	102.631	-1.8125
70.000000	102.648	-2.6793
71.000000	102.654	-3.5802
72.000000	102.654	-4.4848
73.000000	102.657	-5.4109
74.000000	102.662	-6.4134
75.000000	102.656	-7.4205
76.199997	102.654	-8.5146
77.500000	102.659	-9.7196
78.800003	102.643	-10.8511
80.000000	102.629	-11.8047
81.199997	102.611	-12.7781
82.500000	102.579	-13.7984
83.800003	102.553	-14.7145
85.000000	102.539	-15.6221
86.199997	102.511	-16.5334
87.500000	102.476	-17.4810
88.500000	102.442	-18.1786
90.000000	102.400	-19.1174
91.199997	102.378	-19.8514
92.500000	102.366	-20.5735
93.800003	102.374	-21.2129
95.000000	102.398	-21.7937
96.199997	102.423	-22.3965
97.500000	102.448	-23.0603
98.800003	102.467	-23.8102
100.000000	102.472	-24.5771
101.500000	102.458	-25.5579
103.000000	102.434	-26.4810
104.400002	102.409	-27.2821
106.000000	102.375	-28.1342
107.500000	102.345	-28.8674
109.000000	102.323	-29.5881
110.599998	102.315	-30.3227
112.000000	102.328	-30.9885
113.800003	102.354	-31.9456
115.000000	102.364	-32.6286
117.199997	102.360	-33.9530
118.000000	102.352	-34.4853
120.599998	102.317	-36.2314
122.000000	102.318	-37.2131
124.099998	102.310	-38.7522
125.000000	102.297	-39.3651
126.500000	102.263	-40.3160
128.000000	102.217	-41.1818
