* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:29:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.076	67.8139
20.600000	97.202	67.6175
20.900000	97.450	67.1344
21.200001	97.669	66.3202
21.400000	97.789	65.6110
21.799999	97.958	63.9696
22.000000	98.007	63.1485
22.400000	98.048	61.7426
22.700001	98.053	61.0000
23.000000	98.068	60.5194
23.299999	98.110	60.1807
23.600000	98.182	59.8507
24.000000	98.309	59.2534
24.299999	98.406	58.6486
24.700001	98.516	57.7234
25.000000	98.581	57.0538
25.400000	98.658	56.3044
25.799999	98.749	55.7099
26.200001	98.865	55.1302
26.500000	98.963	54.6075
26.900000	99.086	53.7409
27.200001	99.160	52.9996
27.600000	99.223	52.0096
28.000000	99.257	51.1802
28.500000	99.291	50.5011
29.000000	99.364	50.1040
29.500000	99.495	49.6759
30.000000	99.655	48.9240
30.400000	99.771	48.0548
30.700001	99.839	47.3085
31.100000	99.898	46.3293
31.500000	99.935	45.4959
32.000000	99.984	44.7200
32.500000	100.069	44.0622
33.000000	100.181	43.2421
33.500000	100.281	42.2091
34.000000	100.344	41.2008
34.500000	100.397	40.4392
35.000000	100.478	39.8346
35.500000	100.586	39.0957
36.000000	100.681	38.1314
36.500000	100.736	37.1670
37.000000	100.778	36.4323
37.500000	100.844	35.8385
38.200001	100.959	34.7908
38.700001	101.014	33.9143
39.500000	101.077	32.8444
40.000000	101.148	32.2366
40.599998	101.235	31.2341
41.200001	101.265	30.1919
41.799999	101.280	29.5631
42.500000	101.379	29.0312
43.099998	101.492	28.1185
