* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 8:42:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.826	-147.5324
20.600000	101.854	-147.7162
20.900000	101.907	-148.0373
21.200001	101.952	-148.3265
21.400000	101.978	-148.5094
21.799999	102.026	-148.8858
22.000000	102.048	-149.0898
22.400000	102.087	-149.5255
22.700001	102.112	-149.8634
23.000000	102.133	-150.1993
23.299999	102.153	-150.5292
23.600000	102.174	-150.8565
24.000000	102.204	-151.2982
24.299999	102.229	-151.6382
24.700001	102.262	-152.0991
25.000000	102.287	-152.4418
25.400000	102.319	-152.8807
25.799999	102.351	-153.2887
26.200001	102.386	-153.6691
26.500000	102.412	-153.9451
26.900000	102.445	-154.3109
27.200001	102.468	-154.5844
27.600000	102.494	-154.9413
28.000000	102.518	-155.2794
28.500000	102.546	-155.6726
29.000000	102.572	-156.0445
29.500000	102.595	-156.4103
30.000000	102.617	-156.7824
30.400000	102.635	-157.0868
30.700001	102.649	-157.3173
31.100000	102.665	-157.6239
31.500000	102.678	-157.9264
32.000000	102.694	-158.2941
32.500000	102.710	-158.6498
33.000000	102.730	-159.0046
33.500000	102.756	-159.3700
34.000000	102.782	-159.7434
34.500000	102.804	-160.1096
35.000000	102.824	-160.4513
35.500000	102.842	-160.7619
36.000000	102.861	-161.0511
36.500000	102.878	-161.3273
37.000000	102.895	-161.5902
37.500000	102.911	-161.8419
38.200001	102.932	-162.1953
38.700001	102.946	-162.4602
39.500000	102.962	-162.8953
40.000000	102.969	-163.1555
40.599998	102.976	-163.4482
41.200001	102.988	-163.7392
41.799999	103.001	-164.0483
42.500000	103.015	-164.4156
43.099998	103.025	-164.6971
43.700001	103.037	-164.9406
44.400002	103.053	-165.2167
45.000000	103.069	-165.4768
45.500000	103.081	-165.7106
46.200001	103.095	-166.0466
46.799999	103.103	-166.3174
47.500000	103.109	-166.5894
48.200001	103.120	-166.8348
48.700001	103.131	-167.0177
49.400002	103.147	-167.2934
50.000000	103.160	-167.5323
50.799999	103.179	-167.8311
51.500000	103.196	-168.0712
52.200001	103.213	-168.3097
53.000000	103.230	-168.5977
53.799999	103.240	-168.8790
54.500000	103.245	-169.0937
55.200001	103.254	-169.2906
56.000000	103.266	-169.5356
57.000000	103.271	-169.8633
58.000000	103.274	-170.1507
59.000000	103.281	-170.4296
60.000000	103.285	-170.7327
60.799999	103.289	-170.9749
61.500000	103.294	-171.1771
62.200001	103.299	-171.3722
63.000000	103.305	-171.5928
64.000000	103.314	-171.8542
65.000000	103.322	-172.0933
66.000000	103.330	-172.3398
67.000000	103.335	-172.5819
68.000000	103.340	-172.8094
69.000000	103.344	-173.0414
70.000000	103.346	-173.2687
71.000000	103.346	-173.4819
72.000000	103.347	-173.6845
73.000000	103.349	-173.8868
74.000000	103.352	-174.1005
75.000000	103.354	-174.3259
76.199997	103.357	-174.5949
77.500000	103.361	-174.8969
78.800003	103.358	-175.1576
80.000000	103.360	-175.3544
81.199997	103.363	-175.5777
82.500000	103.362	-175.7785
83.800003	103.366	-175.9358
85.000000	103.374	-176.1192
86.199997	103.379	-176.3380
87.500000	103.379	-176.5757
88.500000	103.379	-176.7573
90.000000	103.379	-177.0145
91.199997	103.378	-177.2156
92.500000	103.374	-177.4373
93.800003	103.372	-177.6467
95.000000	103.372	-177.8451
96.199997	103.370	-178.0454
97.500000	103.371	-178.2334
98.800003	103.373	-178.4073
100.000000	103.371	-178.5584
101.500000	103.368	-178.7433
103.000000	103.362	-178.9545
104.400002	103.356	-179.1225
106.000000	103.358	-179.3108
