* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 8:39:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.569	18.9272
20.600000	103.585	18.8122
20.900000	103.615	18.6133
21.200001	103.638	18.4395
21.400000	103.651	18.3314
21.799999	103.672	18.1076
22.000000	103.682	17.9824
22.400000	103.699	17.7021
22.700001	103.711	17.4714
23.000000	103.720	17.2308
23.299999	103.728	16.9880
23.600000	103.735	16.7472
24.000000	103.749	16.4320
24.299999	103.764	16.1980
24.700001	103.789	15.8816
25.000000	103.811	15.6348
25.400000	103.840	15.2929
25.799999	103.866	14.9542
26.200001	103.888	14.6468
26.500000	103.902	14.4470
26.900000	103.920	14.2185
27.200001	103.933	14.0645
27.600000	103.950	13.8657
28.000000	103.966	13.6654
28.500000	103.981	13.4225
29.000000	103.990	13.2059
29.500000	103.997	13.0021
30.000000	104.005	12.7666
30.400000	104.010	12.5438
30.700001	104.011	12.3674
31.100000	104.010	12.1419
31.500000	104.007	11.9367
32.000000	104.009	11.6896
32.500000	104.016	11.4140
33.000000	104.024	11.1016
33.500000	104.033	10.7919
34.000000	104.045	10.5247
34.500000	104.062	10.2884
35.000000	104.083	10.0470
35.500000	104.103	9.7921
36.000000	104.116	9.5525
36.500000	104.126	9.3572
37.000000	104.135	9.2028
37.500000	104.146	9.0583
38.200001	104.157	8.8388
38.700001	104.162	8.6795
39.500000	104.169	8.4145
40.000000	104.172	8.2138
40.599998	104.170	7.9436
41.200001	104.162	7.6931
41.799999	104.159	7.4826
42.500000	104.165	7.2405
43.099998	104.175	7.0085
43.700001	104.183	6.7834
44.400002	104.191	6.5570
45.000000	104.200	6.3752
45.500000	104.209	6.2167
46.200001	104.219	5.9952
46.799999	104.225	5.8311
47.500000	104.231	5.6741
48.200001	104.240	5.5153
48.700001	104.247	5.3836
49.400002	104.254	5.1846
50.000000	104.258	5.0239
50.799999	104.269	4.8279
51.500000	104.281	4.6439
52.200001	104.290	4.4337
53.000000	104.294	4.1973
53.799999	104.296	3.9944
54.500000	104.298	3.8264
55.200001	104.301	3.6627
56.000000	104.305	3.4911
57.000000	104.309	3.2734
58.000000	104.311	3.0334
59.000000	104.306	2.8347
60.000000	104.306	2.6615
60.799999	104.310	2.4829
61.500000	104.312	2.3109
62.200001	104.310	2.1592
63.000000	104.310	2.0132
64.000000	104.317	1.8190
65.000000	104.321	1.5929
66.000000	104.319	1.3764
67.000000	104.317	1.1842
68.000000	104.314	1.0079
69.000000	104.313	0.8531
70.000000	104.314	0.6979
71.000000	104.316	0.5187
72.000000	104.314	0.3331
73.000000	104.309	0.1755
74.000000	104.308	0.0387
75.000000	104.311	-0.1213
76.199997	104.312	-0.3425
77.500000	104.308	-0.5593
78.800003	104.303	-0.7368
80.000000	104.299	-0.8847
81.199997	104.297	-1.0516
82.500000	104.295	-1.2393
83.800003	104.291	-1.3984
85.000000	104.290	-1.5326
86.199997	104.292	-1.6876
87.500000	104.288	-1.8793
88.500000	104.284	-2.0151
90.000000	104.281	-2.2193
91.199997	104.276	-2.3769
92.500000	104.274	-2.5218
93.800003	104.277	-2.6838
95.000000	104.277	-2.8444
96.199997	104.275	-2.9904
97.500000	104.275	-3.1465
98.800003	104.272	-3.2945
100.000000	104.268	-3.4129
101.500000	104.263	-3.5664
103.000000	104.257	-3.7450
104.400002	104.247	-3.9175
106.000000	104.238	-4.0869
107.500000	104.233	-4.2372
109.000000	104.232	-4.3742
110.599998	104.230	-4.5204
112.000000	104.222	-4.6299
113.800003	104.215	-4.7758
115.000000	104.212	-4.9106
117.199997	104.205	-5.2212
118.000000	104.201	-5.3322
120.599998	104.188	-5.5844
122.000000	104.187	-5.6752
124.099998	104.183	-5.8563
125.000000	104.180	-5.9295
126.500000	104.176	-6.0397
128.000000	104.174	-6.1573
131.500000	104.163	-6.4759
132.000000	104.161	-6.5238
134.000000	104.149	-6.7051
136.000000	104.140	-6.8678
138.000000	104.133	-7.0271
140.000000	104.126	-7.1672
143.000000	104.111	-7.3862
145.000000	104.096	-7.5426
147.500000	104.082	-7.7609
150.000000	104.069	-7.9675
152.500000	104.055	-8.1324
155.000000	104.038	-8.2882
157.500000	104.022	-8.4563
160.000000	104.008	-8.6268
162.500000	103.993	-8.7718
165.000000	103.974	-8.9109
167.500000	103.950	-9.0704
170.000000	103.926	-9.2457
172.500000	103.904	-9.4149
175.000000	103.879	-9.5542
177.500000	103.852	-9.6865
180.000000	103.820	-9.8233
182.500000	103.785	-9.9368
185.000000	103.751	-10.0383
187.500000	103.718	-10.1321
190.000000	103.687	-10.2120
192.500000	103.652	-10.2937
195.000000	103.607	-10.3537
197.500000	103.556	-10.3734
200.000000	103.502	-10.3563
203.000000	103.431	-10.2812
