* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -60.2 dBFS, measurement signal peak level -24.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 7:09:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0307 ms (-11 mm, -0.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -0.1 ppm
* Measurement: VX400 L +¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.013	-115.4994
20.600000	71.484	-116.1592
20.900000	72.331	-117.8324
21.200001	72.986	-120.6720
21.400000	73.318	-122.9984
21.799999	73.767	-128.0292
22.000000	73.907	-130.4366
22.400000	74.072	-134.6831
22.700001	74.147	-137.3768
23.000000	74.214	-139.7867
23.299999	74.275	-142.0527
23.600000	74.323	-144.1965
24.000000	74.361	-146.7496
24.299999	74.390	-148.2904
24.700001	74.481	-149.8034
25.000000	74.624	-150.7027
25.400000	74.927	-151.9775
25.799999	75.312	-153.7085
26.200001	75.713	-155.9586
26.500000	76.004	-157.8757
26.900000	76.370	-160.5948
27.200001	76.628	-162.7140
27.600000	76.944	-165.6411
28.000000	77.205	-168.6198
28.500000	77.443	-172.1026
29.000000	77.624	-174.9300
29.500000	77.826	-177.1472
30.000000	78.076	-179.2607
30.400000	78.275	178.8693
30.700001	78.400	177.3900
31.100000	78.528	175.4951
31.500000	78.630	173.8439
32.000000	78.762	172.1516
32.500000	78.931	170.6670
33.000000	79.135	169.1724
33.500000	79.369	167.5646
34.000000	79.624	165.7028
34.500000	79.866	163.4335
35.000000	80.044	160.8206
35.500000	80.124	158.2434
36.000000	80.129	156.1424
36.500000	80.116	154.7180
37.000000	80.145	153.8659
37.500000	80.254	153.2888
38.200001	80.531	152.2133
38.700001	80.755	150.8738
39.500000	80.990	148.0706
40.000000	81.055	146.5632
40.599998	81.141	145.3044
41.200001	81.296	144.1782
41.799999	81.476	142.7177
42.500000	81.636	140.7191
43.099998	81.730	139.0835
43.700001	81.801	137.6154
44.400002	81.877	136.1793
45.000000	81.970	135.1082
45.500000	82.069	134.0679
46.200001	82.165	132.2634
46.799999	82.165	130.9260
47.500000	82.186	130.2434
48.200001	82.374	129.7361
48.700001	82.563	128.7703
49.400002	82.744	126.5840
