* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -59.4 dBFS, measurement signal peak level -22.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 7:11:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0458 ms (-16 mm, -0.62 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -0.1 ppm
* Measurement: VX400 L -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	56.483	-67.7778
20.600000	56.930	-69.3787
20.900000	57.778	-72.6645
21.200001	58.507	-76.9366
21.400000	58.883	-80.2740
21.799999	59.324	-87.6002
22.000000	59.376	-91.1999
22.400000	59.155	-97.2900
22.700001	58.770	-100.2279
23.000000	58.308	-101.4125
23.299999	57.902	-101.0966
23.600000	57.643	-99.9062
24.000000	57.559	-98.1247
24.299999	57.625	-97.2594
24.700001	57.781	-96.7558
25.000000	57.948	-96.6146
25.400000	58.311	-96.7626
25.799999	58.862	-98.1730
26.200001	59.436	-101.9174
26.500000	59.718	-106.3151
26.900000	59.721	-113.2694
27.200001	59.381	-117.7109
27.600000	58.544	-119.9565
28.000000	57.762	-116.2268
28.500000	58.116	-106.8843
29.000000	59.729	-101.7873
29.500000	61.156	-104.1936
30.000000	61.944	-109.3865
30.400000	62.327	-112.5533
30.700001	62.624	-114.1821
31.100000	63.108	-116.3718
31.500000	63.589	-119.5782
32.000000	63.936	-125.0228
32.500000	63.912	-130.0387
33.000000	63.777	-132.8527
33.500000	63.871	-134.4339
34.000000	64.144	-137.1127
34.500000	64.242	-140.9826
35.000000	64.076	-143.5477
35.500000	64.048	-143.1305
36.000000	64.587	-141.8205
36.500000	65.447	-142.9665
37.000000	66.083	-147.0544
37.500000	66.327	-151.5154
38.200001	66.457	-154.5433
38.700001	66.760	-155.3222
39.500000	67.351	-158.1814
40.000000	67.559	-160.1949
40.599998	67.814	-161.4925
41.200001	68.256	-162.8874
41.799999	68.655	-165.9321
42.500000	68.740	-170.1141
43.099998	68.600	-171.9622
43.700001	68.528	-172.2122
44.400002	68.611	-171.6134
45.000000	68.857	-170.5490
45.500000	69.263	-169.8442
46.200001	69.983	-171.0808
46.799999	70.374	-174.6264
