* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -21.5 dBFS, measurement signal peak level -21.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 7:16:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0952 ms (-33 mm, -1.28 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: VX400 R -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	54.410	-62.5194
20.600000	54.606	-65.5292
20.900000	55.078	-69.2777
21.200001	55.813	-68.9644
21.400000	56.537	-67.8590
21.799999	58.262	-66.9541
22.000000	59.085	-68.2314
22.400000	60.293	-73.9452
22.700001	60.766	-79.1191
23.000000	60.935	-83.3255
23.299999	60.976	-85.8733
23.600000	61.075	-87.1551
24.000000	61.457	-88.6913
24.299999	61.835	-91.3992
24.700001	62.135	-98.0813
25.000000	61.993	-104.6604
25.400000	61.154	-112.7607
25.799999	59.587	-115.1626
26.200001	57.938	-108.6485
26.500000	57.549	-100.1515
26.900000	58.575	-90.4107
27.200001	59.803	-87.7399
27.600000	61.152	-90.2084
28.000000	62.025	-95.5138
28.500000	62.742	-101.3642
29.000000	63.432	-105.5047
29.500000	64.177	-109.4674
30.000000	64.780	-114.1669
30.400000	65.047	-117.9527
30.700001	65.115	-120.3190
31.100000	65.086	-122.3109
31.500000	65.018	-122.7766
32.000000	65.068	-121.6428
32.500000	65.400	-119.9803
33.000000	65.940	-119.4938
33.500000	66.470	-120.9460
34.000000	66.808	-123.8077
34.500000	66.925	-126.7348
35.000000	66.945	-128.6562
35.500000	67.089	-129.5112
36.000000	67.493	-130.3794
36.500000	68.070	-132.5699
37.000000	68.584	-136.6165
37.500000	68.838	-141.7932
38.200001	68.649	-147.6400
38.700001	68.312	-148.6420
39.500000	68.295	-145.4435
40.000000	68.768	-143.6252
40.599998	69.444	-143.9086
41.200001	69.907	-146.2004
41.799999	70.130	-148.9098
42.500000	70.232	-151.6295
43.099998	70.282	-153.7469
43.700001	70.295	-155.8623
44.400002	70.248	-157.6976
45.000000	70.297	-157.8568
45.500000	70.597	-157.2792
46.200001	71.434	-157.5587
46.799999	72.206	-160.3444
47.500000	72.786	-165.6623
48.200001	72.967	-170.8673
48.700001	72.907	-173.6413
49.400002	72.645	-175.5117
50.000000	72.413	-174.7420
50.799999	72.545	-171.3701
51.500000	73.180	-169.5402
52.200001	73.871	-171.0274
53.000000	74.269	-175.5461
53.799999	74.211	-179.4978
54.500000	74.079	179.2854
55.200001	74.173	179.2644
56.000000	74.497	178.5264
57.000000	74.770	176.4763
58.000000	74.964	175.5436
59.000000	75.305	174.5233
60.000000	75.559	172.1321
60.799999	75.619	170.2141
61.500000	75.668	169.0600
62.200001	75.802	168.1273
63.000000	76.058	166.8016
64.000000	76.449	164.6605
65.000000	76.845	162.0437
66.000000	77.096	159.4442
67.000000	77.244	158.1686
68.000000	77.462	157.8220
69.000000	77.719	157.4175
70.000000	77.985	156.6387
71.000000	78.212	155.1331
72.000000	78.348	153.2806
73.000000	78.443	151.5352
74.000000	78.529	150.0051
75.000000	78.629	148.7989
76.199997	78.761	147.5941
77.500000	78.875	146.9168
78.800003	79.122	146.6642
80.000000	79.385	145.1893
81.199997	79.516	143.3638
82.500000	79.721	141.6599
83.800003	79.952	139.3612
85.000000	80.120	137.4469
86.199997	80.305	135.9528
87.500000	80.504	134.3372
88.500000	80.601	133.0674
90.000000	80.674	131.5072
91.199997	80.730	130.5172
92.500000	80.837	129.6057
93.800003	81.038	128.5964
95.000000	81.243	127.2400
96.199997	81.398	125.9146
97.500000	81.545	124.8340
98.800003	81.689	123.8320
100.000000	81.776	122.6370
101.500000	81.779	121.1248
103.000000	81.766	119.8124
104.400002	81.795	118.4974
106.000000	81.872	116.9464
107.500000	81.987	115.7553
109.000000	82.150	114.8512
110.599998	82.321	113.8720
