* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오후 1:20:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Comply
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.541	-178.2680
20.600000	88.548	-178.5212
20.900000	88.562	-178.9729
21.200001	88.574	-179.4056
21.400000	88.580	-179.6936
21.799999	88.586	179.6994
22.000000	88.586	179.3750
22.400000	88.580	178.7068
22.700001	88.572	178.2088
23.000000	88.564	177.7206
23.299999	88.559	177.2357
23.600000	88.559	176.7436
24.000000	88.564	176.0619
24.299999	88.571	175.5309
24.700001	88.579	174.8114
25.000000	88.584	174.2795
25.400000	88.590	173.5979
25.799999	88.597	172.9527
26.200001	88.606	172.3352
26.500000	88.614	171.8843
26.900000	88.622	171.2971
27.200001	88.625	170.8676
27.600000	88.627	170.3083
28.000000	88.627	169.7579
28.500000	88.623	169.0744
29.000000	88.614	168.3987
29.500000	88.599	167.7397
30.000000	88.582	167.1013
30.400000	88.568	166.6024
30.700001	88.558	166.2321
31.100000	88.547	165.7358
31.500000	88.539	165.2264
32.000000	88.529	164.5576
32.500000	88.518	163.8592
33.000000	88.504	163.1639
33.500000	88.490	162.4987
34.000000	88.480	161.8623
34.500000	88.471	161.2386
35.000000	88.460	160.6260
35.500000	88.449	160.0391
36.000000	88.438	159.4846
36.500000	88.430	158.9456
37.000000	88.426	158.3906
37.500000	88.420	157.8000
38.200001	88.399	156.9337
38.700001	88.375	156.3302
39.500000	88.330	155.4579
40.000000	88.307	154.9514
40.599998	88.286	154.3289
41.200001	88.266	153.6741
41.799999	88.243	153.0280
42.500000	88.218	152.3154
43.099998	88.204	151.6953
43.700001	88.186	151.0441
44.400002	88.156	150.3205
45.000000	88.129	149.7803
45.500000	88.114	149.3472
46.200001	88.098	148.6861
46.799999	88.078	148.0714
47.500000	88.046	147.3703
48.200001	88.014	146.7061
48.700001	87.993	146.2396
49.400002	87.965	145.5934
50.000000	87.944	145.0442
50.799999	87.919	144.2839
51.500000	87.893	143.5920
52.200001	87.862	142.9317
53.000000	87.828	142.2456
53.799999	87.802	141.5716
54.500000	87.777	140.9562
55.200001	87.748	140.3357
56.000000	87.712	139.6482
57.000000	87.668	138.8265
58.000000	87.625	138.0152
59.000000	87.579	137.1896
60.000000	87.528	136.3934
60.799999	87.490	135.7759
61.500000	87.461	135.2249
62.200001	87.430	134.6631
63.000000	87.392	134.0283
64.000000	87.345	133.2680
65.000000	87.304	132.5276
66.000000	87.266	131.7748
67.000000	87.222	131.0378
68.000000	87.179	130.3225
69.000000	87.131	129.6060
70.000000	87.080	128.9300
71.000000	87.033	128.2791
72.000000	86.990	127.5898
73.000000	86.943	126.8835
74.000000	86.893	126.2054
75.000000	86.844	125.5549
76.199997	86.791	124.7854
77.500000	86.737	123.9376
78.800003	86.677	123.1125
80.000000	86.626	122.3942
81.199997	86.577	121.6659
82.500000	86.526	120.9066
83.800003	86.483	120.1403
85.000000	86.440	119.3652
86.199997	86.387	118.6128
87.500000	86.331	117.8502
88.500000	86.290	117.2528
