* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오후 1:05:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Stock
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.075	-177.0873
20.600000	90.085	-177.3560
20.900000	90.105	-177.8354
21.200001	90.119	-178.2912
21.400000	90.126	-178.5868
21.799999	90.133	-179.1880
22.000000	90.135	-179.5013
22.400000	90.135	179.8539
22.700001	90.134	179.3593
23.000000	90.132	178.8545
23.299999	90.131	178.3408
23.600000	90.130	177.8213
24.000000	90.132	177.1261
24.299999	90.136	176.6070
24.700001	90.145	175.9178
25.000000	90.154	175.3996
25.400000	90.166	174.7047
25.799999	90.177	174.0141
26.200001	90.187	173.3453
26.500000	90.192	172.8667
26.900000	90.199	172.2608
27.200001	90.203	171.8237
27.600000	90.207	171.2512
28.000000	90.208	170.6842
28.500000	90.206	169.9976
29.000000	90.204	169.3493
29.500000	90.205	168.7065
30.000000	90.206	168.0134
30.400000	90.200	167.4229
30.700001	90.189	166.9822
31.100000	90.169	166.4342
31.500000	90.149	165.9432
32.000000	90.133	165.3690
32.500000	90.127	164.7615
33.000000	90.123	164.0924
33.500000	90.115	163.4051
34.000000	90.103	162.7474
34.500000	90.090	162.1230
35.000000	90.078	161.5176
35.500000	90.066	160.9344
36.000000	90.056	160.3806
36.500000	90.051	159.8319
37.000000	90.049	159.2427
37.500000	90.041	158.6039
38.200001	90.010	157.7266
38.700001	89.981	157.1779
39.500000	89.945	156.3731
40.000000	89.928	155.8476
40.599998	89.904	155.1957
41.200001	89.877	154.5555
41.799999	89.849	153.9294
42.500000	89.813	153.2373
43.099998	89.787	152.7227
43.700001	89.777	152.2311
44.400002	89.782	151.5333
45.000000	89.775	150.8126
45.500000	89.755	150.2223
46.200001	89.721	149.5013
46.799999	89.699	148.9225
47.500000	89.676	148.2007
48.200001	89.645	147.4817
48.700001	89.622	147.0066
49.400002	89.593	146.3730
50.000000	89.570	145.8351
50.799999	89.538	145.1384
51.500000	89.515	144.5381
52.200001	89.494	143.9136
53.000000	89.465	143.1851
53.799999	89.430	142.4754
54.500000	89.397	141.8681
55.200001	89.361	141.2796
56.000000	89.323	140.6477
57.000000	89.286	139.8723
58.000000	89.249	139.0414
59.000000	89.203	138.2202
60.000000	89.153	137.4657
60.799999	89.118	136.8709
61.500000	89.090	136.3311
62.200001	89.060	135.7690
63.000000	89.018	135.1290
64.000000	88.961	134.3881
65.000000	88.913	133.6701
66.000000	88.867	132.9264
67.000000	88.819	132.2111
68.000000	88.778	131.4909
69.000000	88.735	130.7251
70.000000	88.684	129.9946
71.000000	88.635	129.3284
72.000000	88.592	128.6859
73.000000	88.553	128.0471
74.000000	88.513	127.3950
75.000000	88.468	126.7413
76.199997	88.409	125.9917
77.500000	88.348	125.1883
78.800003	88.282	124.3576
80.000000	88.219	123.6336
81.199997	88.165	122.9010
82.500000	88.105	122.0711
83.800003	88.047	121.2876
85.000000	87.998	120.5455
86.199997	87.946	119.8007
87.500000	87.887	119.0428
88.500000	87.842	118.5253
90.000000	87.786	117.7770
91.199997	87.738	117.1468
92.500000	87.678	116.5053
93.800003	87.624	115.9088
95.000000	87.583	115.2901
96.199997	87.537	114.5728
97.500000	87.475	113.7663
98.800003	87.401	113.0140
100.000000	87.335	112.4421
101.500000	87.273	111.7819
103.000000	87.218	111.0919
104.400002	87.165	110.4454
106.000000	87.109	109.6695
107.500000	87.050	108.8661
109.000000	86.983	108.1036
110.599998	86.921	107.3567
112.000000	86.870	106.7114
113.800003	86.805	105.9755
115.000000	86.768	105.5031
117.199997	86.694	104.5743
118.000000	86.663	104.2236
120.599998	86.550	103.1765
122.000000	86.501	102.6496
124.099998	86.441	101.7768
125.000000	86.415	101.3860
126.500000	86.368	100.7356
128.000000	86.311	100.1181
131.500000	86.171	98.8673
132.000000	86.153	98.6862
134.000000	86.087	97.9453
136.000000	86.030	97.1909
138.000000	85.978	96.4221
140.000000	85.918	95.6704
143.000000	85.821	94.5840
145.000000	85.755	93.8866
147.500000	85.680	93.0919
150.000000	85.609	92.2790
152.500000	85.529	91.4394
155.000000	85.444	90.6357
157.500000	85.368	89.8859
160.000000	85.304	89.1332
162.500000	85.249	88.3730
165.000000	85.191	87.6096
167.500000	85.119	86.8511
170.000000	85.041	86.1044
172.500000	84.971	85.3819
175.000000	84.908	84.7008
177.500000	84.844	84.1068
180.000000	84.785	83.4885
182.500000	84.722	82.8011
185.000000	84.654	82.1485
187.500000	84.593	81.5426
190.000000	84.540	80.9412
192.500000	84.489	80.3433
195.000000	84.432	79.7587
197.500000	84.368	79.1964
200.000000	84.310	78.6298
203.000000	84.249	77.9566
206.000000	84.188	77.3107
209.000000	84.120	76.7142
212.000000	84.059	76.1643
214.000000	84.022	75.8031
218.000000	83.944	75.1421
220.000000	83.905	74.8753
224.000000	83.839	74.4434
227.000000	83.813	74.1650
230.000000	83.807	73.9258
233.000000	83.820	73.6865
236.000000	83.852	73.3432
240.000000	83.910	72.5032
243.000000	83.938	71.5299
247.000000	83.926	70.1452
250.000000	83.900	69.2711
254.000000	83.845	68.2138
258.000000	83.772	67.2584
262.000000	83.695	66.4090
265.000000	83.641	65.7959
269.000000	83.580	65.0375
272.000000	83.540	64.4885
276.000000	83.481	63.7561
280.000000	83.422	63.0641
285.000000	83.365	62.3243
290.000000	83.316	61.6293
295.000000	83.266	60.8955
300.000000	83.220	60.1576
304.000000	83.186	59.6328
307.000000	83.157	59.2692
311.000000	83.121	58.7865
315.000000	83.088	58.2997
320.000000	83.048	57.6447
325.000000	83.010	56.9454
330.000000	82.978	56.3484
335.000000	82.945	55.8463
340.000000	82.916	55.3129
345.000000	82.888	54.7672
350.000000	82.858	54.2425
355.000000	82.827	53.7509
360.000000	82.801	53.2958
365.000000	82.777	52.8242
370.000000	82.757	52.3162
375.000000	82.739	51.8190
382.000000	82.701	51.1711
387.000000	82.669	50.7287
395.000000	82.623	50.0368
400.000000	82.598	49.6479
406.000000	82.566	49.2078
412.000000	82.534	48.7913
418.000000	82.509	48.3747
425.000000	82.490	47.8717
431.000000	82.471	47.4848
437.000000	82.450	47.1327
444.000000	82.435	46.7641
450.000000	82.427	46.4842
455.000000	82.420	46.2700
462.000000	82.412	45.9794
468.000000	82.408	45.7394
475.000000	82.406	45.4976
482.000000	82.418	45.2410
487.000000	82.435	45.0045
494.000000	82.462	44.6105
500.000000	82.479	44.2581
508.000000	82.490	43.7810
515.000000	82.499	43.3485
522.000000	82.513	43.0001
530.000000	82.513	42.6674
538.000000	82.504	42.3128
545.000000	82.498	42.0347
552.000000	82.495	41.7768
560.000000	82.500	41.4953
570.000000	82.510	41.1807
580.000000	82.508	40.8696
590.000000	82.521	40.6248
600.000000	82.532	40.4426
608.000000	82.541	40.3634
615.000000	82.558	40.3016
622.000000	82.577	40.1987
630.000000	82.592	40.0896
640.000000	82.617	39.9905
650.000000	82.648	39.8371
660.000000	82.681	39.6526
670.000000	82.715	39.5059
680.000000	82.750	39.3896
690.000000	82.784	39.2793
700.000000	82.821	39.2052
710.000000	82.861	39.1506
720.000000	82.906	39.0951
730.000000	82.954	39.0645
740.000000	83.003	39.0144
750.000000	83.053	38.9635
762.000000	83.120	38.9310
775.000000	83.187	38.8524
788.000000	83.258	38.8033
800.000000	83.325	38.7729
812.000000	83.391	38.7280
825.000000	83.473	38.6966
838.000000	83.565	38.7102
850.000000	83.651	38.6775
862.000000	83.736	38.6185
875.000000	83.832	38.5775
885.000000	83.914	38.5335
900.000000	84.039	38.4359
