* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:22:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.551	-136.4899
20.600000	104.547	-137.2768
20.900000	104.531	-138.5713
21.200001	104.496	-139.5056
21.400000	104.473	-139.9473
21.799999	104.446	-140.6218
22.000000	104.444	-140.9515
22.400000	104.455	-141.6988
22.700001	104.462	-142.3311
23.000000	104.459	-142.9677
23.299999	104.452	-143.5380
23.600000	104.452	-144.0252
24.000000	104.481	-144.6026
24.299999	104.526	-145.0835
24.700001	104.603	-145.9039
25.000000	104.654	-146.6591
25.400000	104.695	-147.7441
25.799999	104.702	-148.7162
26.200001	104.697	-149.4334
26.500000	104.702	-149.8163
26.900000	104.733	-150.2320
27.200001	104.772	-150.5733
27.600000	104.830	-151.1538
28.000000	104.874	-151.8665
28.500000	104.892	-152.7837
29.000000	104.882	-153.5309
29.500000	104.871	-154.0669
30.000000	104.884	-154.5337
30.400000	104.909	-154.9834
30.700001	104.929	-155.3999
31.100000	104.946	-156.0453
31.500000	104.946	-156.7304
32.000000	104.926	-157.5187
32.500000	104.902	-158.1543
33.000000	104.895	-158.6828
33.500000	104.914	-159.2200
34.000000	104.946	-159.8510
34.500000	104.973	-160.5685
35.000000	104.988	-161.3067
35.500000	104.994	-161.9972
36.000000	104.996	-162.6115
36.500000	105.000	-163.1626
37.000000	105.009	-163.6874
37.500000	105.019	-164.2192
38.200001	105.028	-164.9967
38.700001	105.027	-165.5654
39.500000	105.011	-166.4658
40.000000	104.994	-167.0038
40.599998	104.970	-167.5970
41.200001	104.949	-168.1236
41.799999	104.941	-168.6245
42.500000	104.944	-169.2616
43.099998	104.947	-169.8732
43.700001	104.943	-170.4926
44.400002	104.932	-171.1595
45.000000	104.921	-171.6801
45.500000	104.912	-172.0927
46.200001	104.898	-172.6315
46.799999	104.887	-173.0488
47.500000	104.881	-173.5289
48.200001	104.876	-174.0567
48.700001	104.867	-174.4465
49.400002	104.849	-174.9546
50.000000	104.836	-175.3563
50.799999	104.826	-175.9100
51.500000	104.816	-176.4334
52.200001	104.802	-176.9706
53.000000	104.779	-177.5628
53.799999	104.753	-178.0814
54.500000	104.736	-178.4903
55.200001	104.725	-178.9177
56.000000	104.708	-179.4117
57.000000	104.692	-179.9594
58.000000	104.689	179.3624
59.000000	104.645	178.5536
60.000000	104.567	178.0254
60.799999	104.525	177.7526
61.500000	104.500	177.4604
62.200001	104.472	177.1201
63.000000	104.433	176.7553
64.000000	104.391	176.3378
65.000000	104.357	175.8908
66.000000	104.325	175.3773
67.000000	104.281	174.8331
68.000000	104.229	174.3815
69.000000	104.186	174.0100
70.000000	104.150	173.6008
71.000000	104.104	173.1799
72.000000	104.057	172.8607
73.000000	104.026	172.5345
74.000000	103.992	172.0960
75.000000	103.943	171.6830
76.199997	103.887	171.3070
77.500000	103.842	170.8663
78.800003	103.776	170.3489
80.000000	103.700	170.0638
81.199997	103.650	169.8329
82.500000	103.603	169.3808
83.800003	103.527	168.8709
85.000000	103.455	168.6163
86.199997	103.419	168.3823
87.500000	103.377	167.9415
88.500000	103.321	167.6407
90.000000	103.232	167.3768
91.199997	103.171	167.1694
92.500000	103.106	166.8636
93.800003	103.043	166.5314
95.000000	102.983	166.2155
96.199997	102.913	166.0291
97.500000	102.837	166.0382
98.800003	102.759	166.1726
100.000000	102.684	166.3242
101.500000	102.582	166.3416
103.000000	102.456	166.2723
104.400002	102.356	166.3644
106.000000	102.304	166.6429
107.500000	102.294	167.0272
109.000000	102.292	167.5512
110.599998	102.281	168.1760
112.000000	102.280	168.7045
113.800003	102.329	168.9395
115.000000	102.367	168.7067
117.199997	102.410	168.1895
118.000000	102.439	168.0761
120.599998	102.544	167.1629
122.000000	102.523	166.5921
124.099998	102.460	166.0134
125.000000	102.428	165.7538
126.500000	102.368	165.2831
128.000000	102.315	164.7632
131.500000	102.238	163.7317
132.000000	102.230	163.6710
134.000000	102.194	163.5457
136.000000	102.114	163.3539
138.000000	102.021	162.9272
140.000000	101.945	162.3451
143.000000	101.841	162.2222
145.000000	101.759	162.4047
147.500000	101.650	162.1537
150.000000	101.601	161.5762
152.500000	101.564	161.5288
155.000000	101.468	161.6768
157.500000	101.370	161.2041
160.000000	101.358	160.9174
162.500000	101.385	161.6504
165.000000	101.293	162.3771
167.500000	101.104	162.2378
170.000000	101.041	161.7920
172.500000	101.064	161.6928
175.000000	100.966	162.0453
