* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 25 오후 10:22:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Black
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.695	36.8372
20.600000	101.719	36.5106
20.900000	101.767	35.9357
21.200001	101.807	35.4100
21.400000	101.829	35.0804
21.799999	101.870	34.4240
22.000000	101.890	34.0830
22.400000	101.926	33.3795
22.700001	101.950	32.8448
23.000000	101.971	32.3159
23.299999	101.991	31.8038
23.600000	102.011	31.3152
24.000000	102.041	30.7056
24.299999	102.071	30.2790
24.700001	102.119	29.7409
25.000000	102.162	29.3467
25.400000	102.228	28.8130
25.799999	102.299	28.2536
26.200001	102.370	27.6645
26.500000	102.420	27.2072
26.900000	102.479	26.5849
27.200001	102.518	26.1149
27.600000	102.563	25.4886
28.000000	102.602	24.8631
28.500000	102.640	24.0805
29.000000	102.666	23.3066
29.500000	102.679	22.5584
30.000000	102.688	21.8392
30.400000	102.696	21.2757
30.700001	102.703	20.8557
31.100000	102.711	20.2977
31.500000	102.719	19.7443
32.000000	102.729	19.0645
32.500000	102.742	18.3972
33.000000	102.760	17.7279
33.500000	102.782	17.0487
34.000000	102.803	16.3775
34.500000	102.818	15.7455
35.000000	102.832	15.1708
35.500000	102.847	14.6412
36.000000	102.863	14.1233
36.500000	102.876	13.6007
37.000000	102.882	13.0868
37.500000	102.883	12.5990
38.200001	102.881	11.9519
38.700001	102.881	11.4877
39.500000	102.879	10.7050
40.000000	102.875	10.1996
40.599998	102.867	9.5938
41.200001	102.860	8.9963
41.799999	102.855	8.4114
42.500000	102.851	7.7554
43.099998	102.850	7.2212
43.700001	102.851	6.7081
44.400002	102.847	6.1302
45.000000	102.841	5.6578
45.500000	102.837	5.2795
46.200001	102.834	4.7525
46.799999	102.829	4.2909
47.500000	102.818	3.7537
48.200001	102.804	3.2327
48.700001	102.793	2.8720
49.400002	102.781	2.3817
50.000000	102.773	1.9697
50.799999	102.769	1.4187
51.500000	102.765	0.9381
52.200001	102.756	0.4705
53.000000	102.744	-0.0399
53.799999	102.728	-0.5260
54.500000	102.711	-0.9343
55.200001	102.694	-1.3236
56.000000	102.677	-1.7558
57.000000	102.653	-2.3162
58.000000	102.627	-2.9091
59.000000	102.595	-3.5004
60.000000	102.557	-4.0612
60.799999	102.532	-4.4964
61.500000	102.512	-4.8777
62.200001	102.492	-5.2550
63.000000	102.466	-5.6683
64.000000	102.435	-6.1457
65.000000	102.406	-6.5942
66.000000	102.376	-7.0444
67.000000	102.344	-7.5052
68.000000	102.305	-7.9714
69.000000	102.260	-8.3845
70.000000	102.222	-8.7545
71.000000	102.189	-9.1372
72.000000	102.161	-9.5373
73.000000	102.131	-9.9718
74.000000	102.093	-10.3881
75.000000	102.055	-10.7523
76.199997	102.012	-11.1520
77.500000	101.970	-11.5767
78.800003	101.922	-12.0122
80.000000	101.875	-12.3858
81.199997	101.832	-12.7798
82.500000	101.784	-13.2044
83.800003	101.736	-13.5879
85.000000	101.692	-13.9140
86.199997	101.648	-14.2166
87.500000	101.599	-14.5295
88.500000	101.563	-14.7623
90.000000	101.510	-15.1184
91.199997	101.463	-15.3753
92.500000	101.416	-15.6194
93.800003	101.376	-15.8910
95.000000	101.332	-16.1805
96.199997	101.282	-16.4420
97.500000	101.234	-16.6880
98.800003	101.192	-16.9513
100.000000	101.154	-17.1860
101.500000	101.109	-17.4690
103.000000	101.063	-17.7452
104.400002	101.019	-17.9911
106.000000	100.964	-18.2618
107.500000	100.909	-18.4950
109.000000	100.855	-18.7131
110.599998	100.799	-18.9442
112.000000	100.750	-19.1537
113.800003	100.686	-19.4279
115.000000	100.646	-19.6061
117.199997	100.569	-19.9201
118.000000	100.540	-20.0053
120.599998	100.447	-20.2264
122.000000	100.394	-20.3424
124.099998	100.318	-20.5081
125.000000	100.288	-20.5874
126.500000	100.237	-20.7135
128.000000	100.185	-20.8075
131.500000	100.055	-20.8577
132.000000	100.036	-20.8538
134.000000	99.963	-20.8074
136.000000	99.901	-20.7253
138.000000	99.851	-20.5950
140.000000	99.819	-20.4116
143.000000	99.795	-20.1424
145.000000	99.793	-20.0603
147.500000	99.800	-20.1382
150.000000	99.810	-20.3797
152.500000	99.800	-20.7090
155.000000	99.766	-21.0595
157.500000	99.719	-21.4406
160.000000	99.663	-21.7919
162.500000	99.603	-22.0506
165.000000	99.545	-22.2387
167.500000	99.483	-22.4083
170.000000	99.420	-22.5352
172.500000	99.360	-22.6428
175.000000	99.300	-22.7556
177.500000	99.243	-22.8720
180.000000	99.184	-22.9624
182.500000	99.123	-23.0021
185.000000	99.061	-23.0457
187.500000	99.000	-23.1056
190.000000	98.942	-23.1675
192.500000	98.885	-23.1982
195.000000	98.829	-23.1964
197.500000	98.779	-23.1835
200.000000	98.733	-23.1640
203.000000	98.679	-23.1509
206.000000	98.623	-23.1452
209.000000	98.568	-23.1385
212.000000	98.516	-23.1009
214.000000	98.480	-23.0633
218.000000	98.400	-22.9885
220.000000	98.364	-22.9699
224.000000	98.300	-22.9517
227.000000	98.255	-22.8914
230.000000	98.212	-22.8199
233.000000	98.171	-22.7530
236.000000	98.122	-22.6569
240.000000	98.046	-22.5059
243.000000	97.997	-22.4366
247.000000	97.946	-22.3656
250.000000	97.903	-22.2994
254.000000	97.842	-22.1604
258.000000	97.786	-21.9714
262.000000	97.726	-21.8334
265.000000	97.684	-21.7362
269.000000	97.634	-21.5577
272.000000	97.598	-21.4053
276.000000	97.551	-21.2173
280.000000	97.507	-21.0531
285.000000	97.457	-20.8866
290.000000	97.408	-20.7114
295.000000	97.349	-20.4966
300.000000	97.298	-20.2487
304.000000	97.260	-20.0657
307.000000	97.234	-19.9338
311.000000	97.201	-19.7470
315.000000	97.168	-19.5583
320.000000	97.129	-19.3035
325.000000	97.095	-19.0746
330.000000	97.061	-18.8701
