* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 25 오후 10:21:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Black
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.545	-145.4680
20.600000	102.573	-145.7677
20.900000	102.628	-146.3022
21.200001	102.672	-146.8094
21.400000	102.696	-147.1370
21.799999	102.736	-147.7981
22.000000	102.753	-148.1384
22.400000	102.782	-148.8244
22.700001	102.803	-149.3350
23.000000	102.824	-149.8448
23.299999	102.848	-150.3651
23.600000	102.874	-150.9083
24.000000	102.911	-151.6792
24.299999	102.940	-152.2860
24.700001	102.974	-153.1058
25.000000	102.997	-153.7045
25.400000	103.026	-154.4590
25.799999	103.057	-155.1598
26.200001	103.093	-155.8237
26.500000	103.120	-156.3093
26.900000	103.153	-156.9441
27.200001	103.174	-157.4035
27.600000	103.198	-157.9816
28.000000	103.222	-158.5210
28.500000	103.252	-159.1731
29.000000	103.276	-159.8338
29.500000	103.288	-160.4862
30.000000	103.291	-161.0940
30.400000	103.296	-161.5579
30.700001	103.303	-161.9153
31.100000	103.309	-162.4289
31.500000	103.306	-162.9744
32.000000	103.288	-163.6193
32.500000	103.267	-164.1354
33.000000	103.271	-164.5764
33.500000	103.304	-165.1122
34.000000	103.338	-165.8320
34.500000	103.348	-166.6092
35.000000	103.339	-167.2430
35.500000	103.343	-167.6836
36.000000	103.377	-168.0960
36.500000	103.425	-168.6478
37.000000	103.459	-169.3251
37.500000	103.466	-169.9761
38.200001	103.461	-170.6630
38.700001	103.467	-171.0481
39.500000	103.487	-171.6919
40.000000	103.497	-172.1302
40.599998	103.503	-172.6801
41.200001	103.502	-173.2625
41.799999	103.490	-173.8588
42.500000	103.464	-174.5095
43.099998	103.440	-174.9939
43.700001	103.420	-175.4191
44.400002	103.408	-175.9040
45.000000	103.405	-176.3819
45.500000	103.402	-176.8309
46.200001	103.390	-177.4581
46.799999	103.378	-177.9332
47.500000	103.373	-178.4636
48.200001	103.371	-179.0348
48.700001	103.366	-179.4411
49.400002	103.359	-179.9657
50.000000	103.359	179.5809
50.799999	103.356	178.9124
51.500000	103.334	178.3608
52.200001	103.307	177.9216
53.000000	103.285	177.4807
53.799999	103.268	176.9937
54.500000	103.245	176.5441
55.200001	103.221	176.1191
56.000000	103.197	175.6445
57.000000	103.165	175.0020
58.000000	103.125	174.3691
59.000000	103.085	173.8022
60.000000	103.048	173.2589
60.799999	103.023	172.8332
61.500000	103.003	172.4704
62.200001	102.984	172.1154
63.000000	102.960	171.7172
64.000000	102.928	171.2333
65.000000	102.888	170.7854
66.000000	102.846	170.3729
67.000000	102.804	169.9553
68.000000	102.759	169.5374
69.000000	102.717	169.1197
70.000000	102.678	168.6712
71.000000	102.638	168.2017
72.000000	102.595	167.7598
