* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 25 오후 10:13:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Sony Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.046	29.5585
20.600000	103.071	29.2978
20.900000	103.121	28.8215
21.200001	103.165	28.3370
21.400000	103.190	28.0051
21.799999	103.228	27.3077
22.000000	103.242	26.9460
22.400000	103.265	26.2289
22.700001	103.279	25.7117
23.000000	103.296	25.2091
23.299999	103.315	24.7059
23.600000	103.338	24.1885
24.000000	103.372	23.4661
24.299999	103.399	22.9054
24.700001	103.433	22.1514
25.000000	103.457	21.5938
25.400000	103.487	20.8722
25.799999	103.515	20.1861
26.200001	103.540	19.5454
26.500000	103.558	19.0967
26.900000	103.579	18.5346
27.200001	103.594	18.1302
27.600000	103.614	17.5992
28.000000	103.632	17.0663
28.500000	103.647	16.4015
29.000000	103.654	15.7609
29.500000	103.654	15.1549
30.000000	103.654	14.5655
30.400000	103.655	14.0927
30.700001	103.657	13.7375
31.100000	103.658	13.2686
31.500000	103.659	12.8077
32.000000	103.661	12.2394
32.500000	103.668	11.6688
33.000000	103.679	11.0829
33.500000	103.693	10.4787
34.000000	103.706	9.8700
34.500000	103.713	9.2834
35.000000	103.716	8.7437
35.500000	103.719	8.2527
36.000000	103.724	7.7795
36.500000	103.727	7.2984
37.000000	103.725	6.8184
37.500000	103.717	6.3646
38.200001	103.705	5.7750
38.700001	103.700	5.3463
39.500000	103.690	4.5866
40.000000	103.676	4.0927
40.599998	103.656	3.5284
41.200001	103.637	3.0044
41.799999	103.625	2.4940
42.500000	103.616	1.8927
43.099998	103.608	1.3896
43.700001	103.599	0.9175
44.400002	103.586	0.3921
45.000000	103.575	-0.0574
45.500000	103.564	-0.4271
46.200001	103.547	-0.9193
46.799999	103.532	-1.3188
47.500000	103.515	-1.7814
48.200001	103.498	-2.2429
48.700001	103.487	-2.5628
49.400002	103.475	-3.0098
50.000000	103.470	-3.4229
50.799999	103.459	-4.0108
51.500000	103.441	-4.4944
52.200001	103.419	-4.9242
53.000000	103.395	-5.3839
53.799999	103.371	-5.8303
54.500000	103.348	-6.2134
55.200001	103.327	-6.5985
56.000000	103.303	-7.0468
57.000000	103.266	-7.6119
58.000000	103.227	-8.1606
59.000000	103.187	-8.6545
60.000000	103.151	-9.1206
60.799999	103.126	-9.5055
61.500000	103.105	-9.8376
62.200001	103.083	-10.1526
63.000000	103.059	-10.5081
64.000000	103.029	-10.9786
65.000000	102.990	-11.4433
66.000000	102.947	-11.8629
67.000000	102.906	-12.2515
68.000000	102.870	-12.6275
69.000000	102.837	-13.0310
70.000000	102.799	-13.4637
71.000000	102.754	-13.8691
72.000000	102.711	-14.2328
73.000000	102.670	-14.5863
74.000000	102.629	-14.9453
75.000000	102.588	-15.2987
76.199997	102.541	-15.7123
77.500000	102.488	-16.1520
78.800003	102.434	-16.5351
80.000000	102.388	-16.8872
81.199997	102.339	-17.2497
82.500000	102.284	-17.5910
83.800003	102.235	-17.8830
85.000000	102.193	-18.1697
86.199997	102.147	-18.4603
87.500000	102.095	-18.7614
88.500000	102.057	-18.9820
90.000000	102.005	-19.3211
91.199997	101.961	-19.6080
92.500000	101.910	-19.9011
93.800003	101.861	-20.1721
95.000000	101.815	-20.4152
96.199997	101.767	-20.6521
97.500000	101.715	-20.8937
98.800003	101.664	-21.1218
100.000000	101.615	-21.3269
101.500000	101.556	-21.5625
103.000000	101.502	-21.8325
104.400002	101.449	-22.1090
106.000000	101.387	-22.3767
107.500000	101.336	-22.6103
109.000000	101.288	-22.8459
110.599998	101.233	-23.0601
112.000000	101.183	-23.2172
113.800003	101.120	-23.4169
115.000000	101.077	-23.5620
117.199997	101.000	-23.8348
118.000000	100.974	-23.9285
120.599998	100.892	-24.2237
122.000000	100.847	-24.3671
124.099998	100.777	-24.5493
125.000000	100.747	-24.6137
126.500000	100.699	-24.7137
128.000000	100.653	-24.8223
131.500000	100.544	-25.1007
132.000000	100.528	-25.1391
134.000000	100.462	-25.2874
136.000000	100.394	-25.4053
138.000000	100.332	-25.4994
140.000000	100.279	-25.6111
143.000000	100.206	-25.7443
145.000000	100.153	-25.8442
147.500000	100.073	-25.9349
150.000000	99.995	-26.0143
152.500000	99.923	-26.0914
155.000000	99.855	-26.1807
157.500000	99.787	-26.2745
160.000000	99.722	-26.3202
162.500000	99.662	-26.3517
165.000000	99.601	-26.4013
167.500000	99.539	-26.4543
170.000000	99.482	-26.4812
172.500000	99.422	-26.4664
175.000000	99.357	-26.4127
177.500000	99.290	-26.3764
180.000000	99.228	-26.3901
182.500000	99.170	-26.4194
185.000000	99.113	-26.4144
187.500000	99.059	-26.3798
190.000000	99.006	-26.3572
192.500000	98.952	-26.3425
195.000000	98.897	-26.3115
197.500000	98.846	-26.2576
200.000000	98.796	-26.2077
203.000000	98.734	-26.1484
206.000000	98.675	-26.0674
209.000000	98.620	-25.9566
212.000000	98.567	-25.8363
214.000000	98.531	-25.7723
218.000000	98.462	-25.6987
220.000000	98.430	-25.6662
224.000000	98.369	-25.5735
227.000000	98.317	-25.4462
230.000000	98.264	-25.3127
233.000000	98.216	-25.2224
236.000000	98.170	-25.1235
240.000000	98.101	-24.9659
243.000000	98.049	-24.8583
247.000000	97.994	-24.7133
250.000000	97.951	-24.5904
254.000000	97.885	-24.4005
258.000000	97.826	-24.1985
262.000000	97.773	-24.0335
265.000000	97.737	-23.9212
269.000000	97.690	-23.7257
272.000000	97.649	-23.5634
276.000000	97.591	-23.4026
280.000000	97.541	-23.2692
285.000000	97.488	-23.0437
290.000000	97.442	-22.8023
295.000000	97.389	-22.5360
300.000000	97.336	-22.2641
304.000000	97.295	-22.0605
307.000000	97.267	-21.9078
311.000000	97.231	-21.6999
315.000000	97.198	-21.4966
320.000000	97.158	-21.2416
325.000000	97.119	-20.9846
330.000000	97.083	-20.7556
335.000000	97.048	-20.4736
340.000000	97.012	-20.1505
345.000000	96.972	-19.8995
350.000000	96.929	-19.7142
355.000000	96.887	-19.4493
360.000000	96.852	-19.1227
365.000000	96.820	-18.8411
370.000000	96.784	-18.5751
375.000000	96.744	-18.3159
382.000000	96.692	-17.9446
387.000000	96.654	-17.6707
395.000000	96.597	-17.2384
400.000000	96.566	-16.9631
406.000000	96.535	-16.6596
412.000000	96.506	-16.3455
418.000000	96.472	-15.9707
425.000000	96.429	-15.5339
431.000000	96.397	-15.2043
437.000000	96.372	-14.9058
444.000000	96.342	-14.5346
450.000000	96.316	-14.2241
455.000000	96.292	-13.9353
462.000000	96.258	-13.5050
468.000000	96.236	-13.1739
475.000000	96.220	-12.7827
482.000000	96.203	-12.3908
487.000000	96.187	-12.1093
494.000000	96.165	-11.7032
500.000000	96.151	-11.3487
508.000000	96.130	-10.8708
515.000000	96.108	-10.4664
522.000000	96.088	-10.0817
530.000000	96.074	-9.6383
538.000000	96.058	-9.1834
545.000000	96.038	-8.7706
552.000000	96.024	-8.3807
560.000000	96.010	-7.9330
570.000000	95.990	-7.3668
580.000000	95.983	-6.8000
590.000000	95.976	-6.2005
600.000000	95.969	-5.6112
608.000000	95.962	-5.1162
615.000000	95.952	-4.6975
622.000000	95.942	-4.2921
630.000000	95.932	-3.8249
640.000000	95.927	-3.2323
650.000000	95.928	-2.6543
660.000000	95.923	-2.0503
670.000000	95.922	-1.4489
680.000000	95.933	-0.8792
690.000000	95.943	-0.2896
700.000000	95.949	0.3372
710.000000	95.952	0.9587
720.000000	95.961	1.5571
730.000000	95.973	2.1594
740.000000	95.985	2.7706
750.000000	95.999	3.3982
762.000000	96.026	4.1205
775.000000	96.060	4.8654
788.000000	96.092	5.6643
800.000000	96.121	6.4080
812.000000	96.157	7.1461
825.000000	96.209	7.9234
838.000000	96.263	8.6854
850.000000	96.312	9.3744
862.000000	96.369	10.0622
875.000000	96.434	10.8110
