* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 25 오후 10:15:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Sony Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.374	-145.8808
20.600000	102.381	-146.2556
20.900000	102.392	-146.8666
21.200001	102.397	-147.2926
21.400000	102.404	-147.4909
21.799999	102.438	-147.8318
22.000000	102.467	-148.0471
22.400000	102.536	-148.6703
22.700001	102.583	-149.3151
23.000000	102.612	-150.0577
23.299999	102.622	-150.8049
23.600000	102.620	-151.4914
24.000000	102.617	-152.2711
24.299999	102.628	-152.7919
24.700001	102.664	-153.5023
25.000000	102.698	-154.1015
25.400000	102.737	-154.9823
25.799999	102.760	-155.8477
26.200001	102.772	-156.5757
26.500000	102.785	-157.0138
26.900000	102.816	-157.5119
27.200001	102.851	-157.8913
27.600000	102.904	-158.4747
28.000000	102.948	-159.1477
28.500000	102.977	-159.9969
29.000000	102.981	-160.6987
29.500000	102.983	-161.2238
30.000000	102.998	-161.6801
30.400000	103.021	-162.0784
30.700001	103.039	-162.4143
31.100000	103.058	-162.9038
31.500000	103.069	-163.4177
32.000000	103.074	-164.0551
32.500000	103.074	-164.6684
33.000000	103.079	-165.2800
33.500000	103.089	-165.9238
34.000000	103.096	-166.5953
34.500000	103.094	-167.2374
35.000000	103.089	-167.7926
35.500000	103.095	-168.2686
36.000000	103.114	-168.7467
36.500000	103.139	-169.2939
37.000000	103.156	-169.8949
37.500000	103.161	-170.4833
38.200001	103.161	-171.2277
38.700001	103.161	-171.7418
39.500000	103.152	-172.5932
40.000000	103.135	-173.0940
40.599998	103.113	-173.6236
41.200001	103.098	-174.1225
41.799999	103.088	-174.6446
42.500000	103.075	-175.2594
43.099998	103.067	-175.7494
43.700001	103.065	-176.2376
44.400002	103.061	-176.8679
45.000000	103.046	-177.4291
45.500000	103.028	-177.8474
46.200001	103.006	-178.3267
46.799999	102.998	-178.6958
47.500000	102.994	-179.1623
48.200001	102.988	-179.6634
48.700001	102.980	179.9822
49.400002	102.970	179.4942
50.000000	102.961	179.0724
50.799999	102.950	178.5179
51.500000	102.941	178.0457
52.200001	102.928	177.5659
53.000000	102.910	177.0319
53.799999	102.892	176.5362
54.500000	102.879	176.0863
