* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 25 오후 10:27:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_White
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.731	36.8199
20.600000	101.767	36.5433
20.900000	101.838	36.0355
21.200001	101.900	35.5145
21.400000	101.934	35.1595
21.799999	101.991	34.4258
22.000000	102.015	34.0529
22.400000	102.056	33.3260
22.700001	102.086	32.8058
23.000000	102.117	32.2971
23.299999	102.150	31.7824
23.600000	102.185	31.2504
24.000000	102.231	30.5120
24.299999	102.264	29.9517
24.700001	102.302	29.2264
25.000000	102.328	28.7167
25.400000	102.362	28.0937
25.799999	102.398	27.5330
26.200001	102.437	27.0192
26.500000	102.468	26.6486
26.900000	102.510	26.1508
27.200001	102.540	25.7618
27.600000	102.575	25.2176
28.000000	102.603	24.6593
28.500000	102.627	23.9802
29.000000	102.646	23.3413
29.500000	102.668	22.7013
30.000000	102.693	21.9911
30.400000	102.712	21.3612
30.700001	102.723	20.8682
31.100000	102.733	20.2093
31.500000	102.741	19.5586
32.000000	102.749	18.7470
32.500000	102.755	17.9336
33.000000	102.756	17.1600
33.500000	102.760	16.4816
34.000000	102.775	15.8997
34.500000	102.802	15.3433
35.000000	102.833	14.7522
35.500000	102.855	14.1419
36.000000	102.862	13.5849
36.500000	102.863	13.1342
37.000000	102.867	12.7700
37.500000	102.880	12.4136
38.200001	102.895	11.8226
38.700001	102.895	11.3660
39.500000	102.881	10.7224
40.000000	102.880	10.3507
40.599998	102.887	9.8398
41.200001	102.892	9.2413
41.799999	102.889	8.6329
42.500000	102.887	7.9691
43.099998	102.891	7.4096
43.700001	102.894	6.8508
44.400002	102.892	6.2307
45.000000	102.890	5.7260
45.500000	102.888	5.3141
46.200001	102.884	4.7642
46.799999	102.879	4.3278
47.500000	102.874	3.8257
48.200001	102.865	3.3152
48.700001	102.856	2.9660
49.400002	102.845	2.4993
50.000000	102.841	2.0752
50.799999	102.831	1.4610
51.500000	102.813	0.9502
52.200001	102.793	0.4855
53.000000	102.772	-0.0363
53.799999	102.749	-0.5366
54.500000	102.730	-0.9304
55.200001	102.722	-1.3256
56.000000	102.716	-1.8401
57.000000	102.690	-2.4765
58.000000	102.667	-2.9949
59.000000	102.653	-3.5631
60.000000	102.614	-4.1543
60.799999	102.576	-4.5165
61.500000	102.552	-4.7801
62.200001	102.535	-5.0627
63.000000	102.516	-5.4338
64.000000	102.489	-5.9214
65.000000	102.461	-6.4231
66.000000	102.427	-6.9305
67.000000	102.394	-7.3806
68.000000	102.368	-7.8260
69.000000	102.336	-8.2657
70.000000	102.303	-8.6544
71.000000	102.271	-9.0515
72.000000	102.232	-9.4487
73.000000	102.189	-9.8089
74.000000	102.149	-10.1614
75.000000	102.111	-10.5268
76.199997	102.068	-10.9830
77.500000	102.022	-11.4458
78.800003	101.984	-11.8614
80.000000	101.950	-12.2884
81.199997	101.907	-12.6984
82.500000	101.860	-13.0754
83.800003	101.814	-13.4142
85.000000	101.775	-13.7265
86.199997	101.735	-14.0783
87.500000	101.683	-14.4656
88.500000	101.643	-14.7315
90.000000	101.590	-15.1218
91.199997	101.547	-15.4288
92.500000	101.504	-15.7295
93.800003	101.468	-16.0290
95.000000	101.433	-16.3407
96.199997	101.390	-16.6297
97.500000	101.346	-16.8968
98.800003	101.300	-17.1660
100.000000	101.252	-17.3792
101.500000	101.196	-17.6127
103.000000	101.146	-17.8596
104.400002	101.103	-18.1230
106.000000	101.054	-18.4172
107.500000	101.008	-18.6719
109.000000	100.963	-18.8808
110.599998	100.919	-19.0937
112.000000	100.874	-19.3079
113.800003	100.809	-19.5661
115.000000	100.767	-19.7334
117.199997	100.695	-20.0580
118.000000	100.669	-20.1646
120.599998	100.591	-20.4564
122.000000	100.551	-20.6271
124.099998	100.485	-20.8791
125.000000	100.455	-20.9659
126.500000	100.407	-21.0897
128.000000	100.362	-21.2067
131.500000	100.263	-21.4919
132.000000	100.249	-21.5355
134.000000	100.192	-21.7072
136.000000	100.134	-21.8674
138.000000	100.073	-22.0145
140.000000	100.015	-22.1485
143.000000	99.931	-22.3166
145.000000	99.876	-22.4086
147.500000	99.811	-22.5300
150.000000	99.746	-22.6529
152.500000	99.682	-22.7676
155.000000	99.613	-22.8747
157.500000	99.550	-22.9533
160.000000	99.491	-23.0282
162.500000	99.429	-23.0635
165.000000	99.367	-23.0883
167.500000	99.305	-23.1301
170.000000	99.246	-23.1610
172.500000	99.189	-23.1662
175.000000	99.131	-23.1675
177.500000	99.075	-23.1724
180.000000	99.023	-23.1751
182.500000	98.971	-23.1348
185.000000	98.920	-23.0509
187.500000	98.872	-22.9990
190.000000	98.825	-22.9989
192.500000	98.777	-22.9837
195.000000	98.730	-22.9333
197.500000	98.689	-22.8750
200.000000	98.652	-22.8330
203.000000	98.610	-22.7896
206.000000	98.564	-22.7529
209.000000	98.515	-22.7454
212.000000	98.471	-22.7364
214.000000	98.443	-22.7171
218.000000	98.382	-22.6540
220.000000	98.350	-22.6346
224.000000	98.288	-22.6035
227.000000	98.249	-22.5601
230.000000	98.210	-22.5343
233.000000	98.166	-22.4940
236.000000	98.122	-22.4279
240.000000	98.061	-22.3389
243.000000	98.011	-22.2538
247.000000	97.946	-22.1521
250.000000	97.901	-22.0884
254.000000	97.835	-21.9548
258.000000	97.771	-21.7947
262.000000	97.714	-21.6835
265.000000	97.676	-21.5885
269.000000	97.629	-21.4134
272.000000	97.594	-21.2845
276.000000	97.549	-21.1362
280.000000	97.509	-20.9837
285.000000	97.457	-20.8144
290.000000	97.397	-20.6291
295.000000	97.339	-20.3912
300.000000	97.293	-20.1639
304.000000	97.263	-20.0202
307.000000	97.242	-19.9025
311.000000	97.212	-19.6910
315.000000	97.182	-19.4927
320.000000	97.142	-19.2761
325.000000	97.102	-19.0323
330.000000	97.065	-18.7585
335.000000	97.024	-18.5091
340.000000	96.982	-18.2804
345.000000	96.942	-18.0367
350.000000	96.900	-17.8223
355.000000	96.861	-17.6079
360.000000	96.828	-17.3575
365.000000	96.793	-17.0780
370.000000	96.757	-16.7934
375.000000	96.725	-16.5376
382.000000	96.679	-16.2196
387.000000	96.650	-15.9827
395.000000	96.602	-15.5533
400.000000	96.575	-15.2756
406.000000	96.542	-14.9858
412.000000	96.508	-14.6631
418.000000	96.476	-14.3349
