* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:44:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.404	-151.4724
20.600000	70.484	-151.7927
20.900000	70.611	-152.4312
21.200001	70.650	-153.1541
21.400000	70.632	-153.5374
21.799999	70.545	-153.8788
22.000000	70.503	-153.8006
22.400000	70.468	-153.2690
22.700001	70.504	-152.7687
23.000000	70.592	-152.3957
23.299999	70.716	-152.2716
23.600000	70.858	-152.4486
24.000000	71.048	-153.1613
24.299999	71.169	-153.9962
24.700001	71.283	-155.3707
25.000000	71.328	-156.4722
25.400000	71.339	-157.8866
25.799999	71.304	-159.1359
26.200001	71.234	-160.1695
26.500000	71.161	-160.7609
26.900000	71.043	-161.2173
27.200001	70.959	-161.2667
27.600000	70.885	-161.0090
28.000000	70.885	-160.6946
28.500000	70.952	-160.8262
29.000000	70.968	-161.6678
29.500000	70.860	-162.4759
30.000000	70.719	-162.4668
30.400000	70.691	-162.0827
30.700001	70.736	-161.9752
31.100000	70.818	-162.4926
31.500000	70.828	-163.6644
32.000000	70.655	-165.0106
32.500000	70.382	-164.9416
33.000000	70.272	-163.5522
33.500000	70.432	-162.3859
34.000000	70.677	-162.6716
34.500000	70.788	-163.9661
35.000000	70.738	-165.0259
35.500000	70.654	-165.1982
36.000000	70.650	-164.9245
36.500000	70.707	-164.8835
37.000000	70.738	-165.1688
37.500000	70.712	-165.3402
38.200001	70.685	-164.9074
38.700001	70.746	-164.5152
39.500000	70.882	-164.9556
40.000000	70.863	-165.6595
40.599998	70.716	-165.8204
41.200001	70.628	-164.6138
41.799999	70.790	-163.1487
42.500000	71.151	-163.2708
43.099998	71.301	-164.8686
43.700001	71.243	-166.2248
44.400002	71.109	-166.5663
45.000000	71.059	-166.3785
45.500000	71.042	-166.2567
46.200001	71.029	-166.0344
46.799999	71.053	-165.8494
47.500000	71.102	-165.9693
48.200001	71.135	-166.2583
48.700001	71.174	-166.4638
49.400002	71.266	-167.1068
50.000000	71.314	-168.1540
50.799999	71.259	-169.5423
51.500000	71.164	-170.0561
52.200001	71.131	-169.9391
53.000000	71.237	-169.7285
53.799999	71.409	-170.4899
54.500000	71.422	-171.8479
55.200001	71.268	-172.4601
56.000000	71.152	-171.4517
57.000000	71.385	-170.4362
58.000000	71.572	-171.9258
59.000000	71.418	-173.1763
60.000000	71.270	-172.3155
60.799999	71.373	-171.3897
61.500000	71.534	-171.5692
62.200001	71.578	-172.5857
63.000000	71.411	-173.2897
