* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:35:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.964	-149.8320
20.600000	71.973	-149.9492
20.900000	71.994	-150.1493
21.200001	72.024	-150.3281
21.400000	72.049	-150.4685
21.799999	72.103	-150.8635
22.000000	72.127	-151.1329
22.400000	72.157	-151.7866
22.700001	72.157	-152.3094
23.000000	72.140	-152.7787
23.299999	72.112	-153.1309
23.600000	72.086	-153.3422
24.000000	72.076	-153.4355
24.299999	72.098	-153.4531
24.700001	72.165	-153.5634
25.000000	72.232	-153.8020
25.400000	72.317	-154.3628
25.799999	72.373	-155.1084
26.200001	72.389	-155.8579
26.500000	72.379	-156.3177
26.900000	72.352	-156.7254
27.200001	72.334	-156.8857
27.600000	72.329	-156.9779
28.000000	72.348	-157.0517
28.500000	72.396	-157.2693
29.000000	72.446	-157.6858
29.500000	72.480	-158.2529
30.000000	72.491	-158.8714
30.400000	72.486	-159.3399
30.700001	72.477	-159.6528
31.100000	72.463	-160.0057
31.500000	72.454	-160.2958
32.000000	72.455	-160.6230
32.500000	72.467	-160.9778
33.000000	72.482	-161.3723
33.500000	72.495	-161.7536
34.000000	72.513	-162.0857
34.500000	72.539	-162.4203
35.000000	72.564	-162.8345
35.500000	72.571	-163.3092
36.000000	72.550	-163.6998
36.500000	72.519	-163.8763
37.000000	72.508	-163.8767
37.500000	72.527	-163.8966
38.200001	72.566	-164.2585
38.700001	72.562	-164.6923
39.500000	72.504	-165.1766
40.000000	72.475	-165.2658
40.599998	72.473	-165.3571
41.200001	72.487	-165.6088
41.799999	72.493	-165.9421
42.500000	72.501	-166.2639
43.099998	72.529	-166.5597
43.700001	72.556	-166.9898
44.400002	72.556	-167.5133
45.000000	72.538	-167.7500
45.500000	72.538	-167.7896
46.200001	72.577	-167.8550
46.799999	72.620	-168.1315
47.500000	72.632	-168.6145
48.200001	72.603	-168.8737
48.700001	72.595	-168.8384
49.400002	72.635	-168.7851
50.000000	72.688	-169.0246
50.799999	72.711	-169.5680
51.500000	72.703	-169.8457
52.200001	72.716	-170.0130
53.000000	72.733	-170.3315
53.799999	72.721	-170.5415
54.500000	72.727	-170.5320
55.200001	72.761	-170.6252
56.000000	72.783	-170.9600
57.000000	72.775	-171.3157
58.000000	72.774	-171.6909
59.000000	72.741	-172.2001
60.000000	72.682	-172.5034
60.799999	72.651	-172.5859
61.500000	72.646	-172.6176
62.200001	72.662	-172.7077
63.000000	72.684	-172.9233
64.000000	72.706	-173.2424
65.000000	72.721	-173.6161
66.000000	72.706	-173.9545
67.000000	72.681	-174.0716
68.000000	72.670	-174.0824
69.000000	72.673	-174.1082
70.000000	72.681	-174.2747
71.000000	72.672	-174.5337
72.000000	72.657	-174.7966
73.000000	72.633	-175.1069
74.000000	72.600	-175.3015
75.000000	72.595	-175.3892
76.199997	72.619	-175.6778
77.500000	72.632	-176.1204
78.800003	72.633	-176.4973
80.000000	72.625	-176.7384
81.199997	72.620	-176.8159
82.500000	72.634	-176.8992
83.800003	72.640	-177.0918
85.000000	72.629	-177.2549
86.199997	72.616	-177.3478
87.500000	72.613	-177.4534
88.500000	72.616	-177.6118
90.000000	72.613	-177.9644
91.199997	72.603	-178.2447
92.500000	72.592	-178.5032
93.800003	72.588	-178.6819
95.000000	72.593	-178.8338
96.199997	72.596	-179.0147
97.500000	72.586	-179.2042
98.800003	72.567	-179.3184
100.000000	72.558	-179.3921
101.500000	72.554	-179.5678
103.000000	72.544	-179.7643
104.400002	72.542	-179.9126
106.000000	72.542	179.8581
107.500000	72.529	179.6562
109.000000	72.522	179.5535
110.599998	72.526	179.3811
112.000000	72.517	179.1708
113.800003	72.487	178.9557
115.000000	72.469	178.7828
117.199997	72.427	178.1545
118.000000	72.396	177.8606
120.599998	72.311	177.7620
122.000000	72.371	177.8437
124.099998	72.442	177.5646
125.000000	72.453	177.5066
126.500000	72.464	177.4534
128.000000	72.464	177.3423
131.500000	72.448	176.9438
132.000000	72.445	176.8836
134.000000	72.426	176.7166
136.000000	72.401	176.6656
138.000000	72.373	176.5858
140.000000	72.339	176.4621
143.000000	72.316	176.2159
145.000000	72.292	175.9111
147.500000	72.257	175.6699
150.000000	72.249	175.3934
152.500000	72.245	175.2007
155.000000	72.241	175.0482
157.500000	72.211	174.8595
160.000000	72.183	174.6865
162.500000	72.175	174.4970
165.000000	72.161	174.3463
167.500000	72.128	174.1808
170.000000	72.090	173.9282
172.500000	72.061	173.6436
175.000000	72.034	173.4373
177.500000	71.997	173.3093
180.000000	71.960	173.1890
182.500000	71.933	172.9980
185.000000	71.910	172.8309
187.500000	71.883	172.7458
190.000000	71.849	172.6796
192.500000	71.804	172.5342
195.000000	71.758	172.3190
197.500000	71.724	172.0986
200.000000	71.701	171.9061
203.000000	71.676	171.7863
206.000000	71.646	171.7115
209.000000	71.595	171.6420
212.000000	71.544	171.5302
214.000000	71.515	171.3798
218.000000	71.458	171.0946
220.000000	71.422	171.0016
224.000000	71.327	170.9104
227.000000	71.267	170.8018
230.000000	71.228	170.5883
233.000000	71.181	170.4518
236.000000	71.102	170.5511
240.000000	70.978	170.7240
243.000000	70.887	170.7884
247.000000	70.781	171.1000
250.000000	70.707	171.3986
254.000000	70.607	171.9023
258.000000	70.535	172.6418
262.000000	70.501	173.4372
265.000000	70.477	174.0898
269.000000	70.482	174.9672
272.000000	70.519	175.5040
276.000000	70.584	176.0713
280.000000	70.665	176.4538
285.000000	70.765	176.6252
290.000000	70.857	176.4139
295.000000	70.923	176.1921
300.000000	70.948	175.9531
304.000000	70.956	175.6012
307.000000	70.960	175.3356
311.000000	70.961	175.1235
315.000000	70.952	175.0009
320.000000	70.935	174.8052
325.000000	70.916	174.6120
330.000000	70.877	174.4864
335.000000	70.838	174.3875
340.000000	70.800	174.2609
345.000000	70.757	174.0765
350.000000	70.715	173.9278
355.000000	70.671	173.8544
360.000000	70.632	173.8544
365.000000	70.596	173.8623
370.000000	70.559	173.8044
375.000000	70.523	173.7342
382.000000	70.459	173.8355
387.000000	70.396	173.9669
395.000000	70.292	174.0247
400.000000	70.241	174.1059
406.000000	70.182	174.2296
412.000000	70.126	174.2844
418.000000	70.087	174.4170
425.000000	70.037	174.6509
431.000000	69.997	174.7784
437.000000	69.952	174.9188
444.000000	69.884	175.1842
450.000000	69.831	175.3380
455.000000	69.792	175.4564
462.000000	69.738	175.6270
468.000000	69.703	175.8361
475.000000	69.676	176.1916
482.000000	69.627	176.4165
487.000000	69.579	176.4453
494.000000	69.516	176.5636
500.000000	69.472	176.8008
508.000000	69.427	177.1039
515.000000	69.377	177.3536
522.000000	69.316	177.5627
530.000000	69.253	177.8089
538.000000	69.207	178.1364
545.000000	69.159	178.4164
552.000000	69.110	178.7006
560.000000	69.063	179.1478
570.000000	69.000	179.7988
580.000000	68.923	-179.6201
590.000000	68.862	-179.1116
600.000000	68.800	-178.7109
608.000000	68.742	-178.2703
615.000000	68.699	-177.8542
622.000000	68.661	-177.4574
630.000000	68.619	-177.0074
640.000000	68.572	-176.4903
650.000000	68.527	-175.8643
660.000000	68.487	-175.1897
670.000000	68.445	-174.6155
680.000000	68.398	-174.0357
690.000000	68.347	-173.3363
700.000000	68.296	-172.5451
710.000000	68.250	-171.7887
720.000000	68.205	-171.1070
730.000000	68.168	-170.3950
740.000000	68.145	-169.6687
750.000000	68.115	-168.9425
762.000000	68.075	-168.1611
775.000000	68.048	-167.2882
788.000000	68.023	-166.3786
800.000000	68.003	-165.4727
812.000000	67.998	-164.5100
825.000000	67.987	-163.4832
838.000000	67.983	-162.5067
850.000000	67.988	-161.6446
862.000000	67.997	-160.7648
875.000000	68.010	-159.8098
885.000000	68.018	-159.1165
900.000000	68.039	-158.0396
912.000000	68.067	-157.1552
925.000000	68.104	-156.1970
938.000000	68.146	-155.2615
950.000000	68.192	-154.4307
962.000000	68.238	-153.6146
975.000000	68.289	-152.7864
988.000000	68.347	-152.0739
1000.000000	68.407	-151.4494
1015.000000	68.481	-150.5034
1030.000000	68.561	-149.5832
1044.000000	68.638	-148.7885
1060.000000	68.726	-148.0154
1075.000000	68.803	-147.3750
1090.000000	68.883	-146.7449
1106.000000	68.983	-146.0689
1120.000000	69.076	-145.5358
1138.000000	69.189	-144.8940
1150.000000	69.260	-144.4596
1172.000000	69.390	-143.6990
1180.000000	69.439	-143.4440
1206.000000	69.600	-142.6620
1220.000000	69.677	-142.2819
1241.000000	69.783	-141.6754
1250.000000	69.829	-141.4084
1265.000000	69.905	-140.9588
1280.000000	69.981	-140.5427
1315.000000	70.157	-139.5777
1320.000000	70.179	-139.4400
1340.000000	70.266	-138.9097
1360.000000	70.356	-138.3608
1380.000000	70.451	-137.7535
1400.000000	70.554	-137.1602
1430.000000	70.719	-136.3053
1450.000000	70.833	-135.6812
1475.000000	70.977	-134.8834
1500.000000	71.123	-134.0808
1525.000000	71.283	-133.3062
1550.000000	71.453	-132.6152
1575.000000	71.627	-131.9226
1600.000000	71.806	-131.2435
1625.000000	71.997	-130.6500
1650.000000	72.193	-130.0648
1675.000000	72.392	-129.5574
1700.000000	72.600	-129.1851
1725.000000	72.812	-128.8478
1750.000000	73.022	-128.5758
1775.000000	73.229	-128.4430
1800.000000	73.433	-128.3945
1825.000000	73.629	-128.3898
1850.000000	73.818	-128.4517
1875.000000	73.997	-128.5684
1900.000000	74.171	-128.7334
1925.000000	74.342	-128.9682
1950.000000	74.507	-129.2146
1975.000000	74.662	-129.4515
2000.000000	74.811	-129.6659
2030.000000	74.985	-129.9246
2060.000000	75.153	-130.2038
2090.000000	75.312	-130.4693
2120.000000	75.473	-130.7437
2140.000000	75.582	-130.9236
2180.000000	75.799	-131.2986
2200.000000	75.908	-131.5252
2240.000000	76.121	-132.0502
2270.000000	76.278	-132.4777
2300.000000	76.430	-132.9305
2330.000000	76.573	-133.4063
2360.000000	76.713	-133.8907
2400.000000	76.898	-134.5642
2430.000000	77.033	-135.0930
2470.000000	77.208	-135.8081
2500.000000	77.338	-136.3716
2540.000000	77.507	-137.1817
2580.000000	77.669	-138.0530
2620.000000	77.830	-138.9435
2650.000000	77.946	-139.6217
2690.000000	78.092	-140.5659
2720.000000	78.196	-141.3057
2760.000000	78.325	-142.3232
2800.000000	78.443	-143.3674
2850.000000	78.578	-144.6912
2900.000000	78.698	-146.0351
2950.000000	78.805	-147.3840
3000.000000	78.903	-148.7507
3040.000000	78.975	-149.8447
3070.000000	79.024	-150.6795
3110.000000	79.081	-151.8222
3150.000000	79.126	-152.9822
3200.000000	79.165	-154.4212
3250.000000	79.184	-155.8285
3300.000000	79.182	-157.1673
3350.000000	79.171	-158.4116
3400.000000	79.155	-159.5835
3450.000000	79.136	-160.7063
3500.000000	79.115	-161.7565
3550.000000	79.090	-162.7314
3600.000000	79.061	-163.6363
3650.000000	79.030	-164.4619
3700.000000	78.998	-165.2328
3750.000000	78.965	-165.9786
3820.000000	78.915	-166.9323
3870.000000	78.878	-167.5347
3950.000000	78.813	-168.4083
4000.000000	78.774	-168.9085
4060.000000	78.730	-169.4550
4120.000000	78.690	-169.9396
4180.000000	78.660	-170.3938
4250.000000	78.633	-170.9018
4310.000000	78.608	-171.3240
4370.000000	78.579	-171.7449
4440.000000	78.546	-172.2270
4500.000000	78.526	-172.6411
4550.000000	78.514	-172.9939
4620.000000	78.499	-173.5112
4680.000000	78.491	-173.9860
4750.000000	78.487	-174.5881
4820.000000	78.485	-175.2267
4870.000000	78.481	-175.7201
4940.000000	78.474	-176.4673
5000.000000	78.466	-177.1551
5080.000000	78.452	-178.1475
5150.000000	78.435	-179.0884
5220.000000	78.409	179.9087
5300.000000	78.366	178.7225
5380.000000	78.306	177.5000
5450.000000	78.238	176.4229
5520.000000	78.156	175.3713
5600.000000	78.048	174.2130
5700.000000	77.889	172.8436
5800.000000	77.714	171.6163
5900.000000	77.534	170.5295
