* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:37:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.694	-150.9616
20.600000	70.712	-151.4439
20.900000	70.730	-152.2833
21.200001	70.701	-152.9882
21.400000	70.662	-153.3051
21.799999	70.576	-153.5573
22.000000	70.548	-153.5261
22.400000	70.554	-153.3345
22.700001	70.611	-153.3148
23.000000	70.694	-153.5911
23.299999	70.771	-154.1816
23.600000	70.821	-154.9906
24.000000	70.830	-156.1585
24.299999	70.802	-156.9002
24.700001	70.750	-157.5785
25.000000	70.721	-157.8882
25.400000	70.710	-158.1835
25.799999	70.721	-158.4992
26.200001	70.731	-158.8512
26.500000	70.731	-159.0751
26.900000	70.726	-159.2484
27.200001	70.730	-159.2906
27.600000	70.753	-159.3145
28.000000	70.788	-159.4144
28.500000	70.822	-159.6555
29.000000	70.835	-159.8195
29.500000	70.860	-159.8020
30.000000	70.930	-159.8709
30.400000	70.997	-160.2374
30.700001	71.028	-160.7122
31.100000	71.017	-161.4192
31.500000	70.953	-161.9194
32.000000	70.861	-161.9689
32.500000	70.845	-161.6313
33.000000	70.916	-161.5866
33.500000	70.991	-162.1571
34.000000	70.992	-162.9917
34.500000	70.932	-163.5236
35.000000	70.885	-163.6301
35.500000	70.892	-163.6584
36.000000	70.926	-163.9087
36.500000	70.947	-164.3024
37.000000	70.958	-164.6232
37.500000	70.989	-164.8987
38.200001	71.045	-165.5887
38.700001	71.041	-166.2440
39.500000	70.964	-166.7047
40.000000	70.949	-166.5657
40.599998	70.994	-166.4617
41.200001	71.040	-166.6812
41.799999	71.046	-166.9155
42.500000	71.053	-166.9559
43.099998	71.080	-167.0959
43.700001	71.079	-167.4263
44.400002	71.036	-167.6255
45.000000	71.034	-167.6110
45.500000	71.070	-167.8403
46.200001	71.087	-168.7693
46.799999	71.023	-169.5808
47.500000	70.957	-170.0821
48.200001	70.954	-170.8302
48.700001	70.917	-171.7163
49.400002	70.728	-172.4765
50.000000	70.566	-171.8886
50.799999	70.603	-170.3813
51.500000	70.773	-169.9452
52.200001	70.878	-170.0738
53.000000	70.959	-169.9613
53.799999	71.078	-170.0417
54.500000	71.129	-170.6145
55.200001	71.085	-171.1078
56.000000	71.012	-171.0927
57.000000	71.022	-170.9303
58.000000	71.064	-171.3488
59.000000	71.076	-171.8894
60.000000	71.076	-172.4043
60.799999	71.052	-172.6020
61.500000	71.048	-172.4870
62.200001	71.080	-172.3686
63.000000	71.117	-172.4894
64.000000	71.109	-172.7460
65.000000	71.081	-172.9572
66.000000	71.041	-173.2382
67.000000	71.008	-173.4614
68.000000	71.009	-173.7530
69.000000	71.017	-174.0548
70.000000	71.046	-174.1764
71.000000	71.093	-174.2769
72.000000	71.115	-174.2903
73.000000	71.128	-174.1140
74.000000	71.145	-173.9741
75.000000	71.155	-174.0674
76.199997	71.121	-174.5516
77.500000	71.038	-174.9081
78.800003	71.019	-175.1850
80.000000	71.004	-175.4964
81.199997	71.020	-175.5407
82.500000	71.044	-175.7855
83.800003	71.021	-175.9329
85.000000	71.011	-176.0346
86.199997	71.001	-176.2877
87.500000	71.006	-176.5458
88.500000	71.031	-176.7836
90.000000	71.061	-177.1208
91.199997	71.069	-177.1789
92.500000	71.073	-177.0704
93.800003	71.067	-177.0597
95.000000	71.029	-177.0842
96.199997	71.019	-177.0184
97.500000	71.057	-177.3995
98.800003	71.032	-178.0375
100.000000	70.987	-178.0534
101.500000	71.022	-177.8052
103.000000	71.050	-178.0138
104.400002	71.014	-178.2945
106.000000	70.959	-178.4933
107.500000	70.947	-178.6386
109.000000	70.970	-178.8011
110.599998	70.993	-178.8160
112.000000	71.016	-178.6933
113.800003	71.028	-178.8601
115.000000	71.012	-179.2989
117.199997	70.958	179.2737
118.000000	70.931	178.6545
120.599998	70.768	178.0410
122.000000	70.789	178.8964
124.099998	70.894	179.6806
125.000000	70.915	179.8365
126.500000	70.926	179.9393
128.000000	70.929	179.8419
131.500000	70.929	179.5971
132.000000	70.933	179.5817
134.000000	70.937	179.3815
136.000000	70.896	178.8461
138.000000	70.796	178.4971
140.000000	70.752	178.7559
143.000000	70.767	179.2982
145.000000	70.808	179.5786
147.500000	70.881	179.2347
150.000000	70.883	178.4240
152.500000	70.806	178.2543
155.000000	70.761	178.3260
157.500000	70.733	178.1872
160.000000	70.732	177.9270
162.500000	70.739	177.5999
165.000000	70.713	177.2915
167.500000	70.674	177.4232
170.000000	70.685	177.7116
172.500000	70.705	177.7330
175.000000	70.690	177.3243
177.500000	70.645	177.0123
180.000000	70.639	176.9520
182.500000	70.633	176.9141
185.000000	70.615	176.7856
187.500000	70.598	176.4614
190.000000	70.612	176.2537
192.500000	70.632	176.0915
195.000000	70.609	176.0420
197.500000	70.571	175.9560
200.000000	70.529	175.8257
203.000000	70.491	175.7794
206.000000	70.451	175.7646
209.000000	70.408	175.6261
212.000000	70.368	175.3090
214.000000	70.347	175.0491
218.000000	70.338	174.7451
220.000000	70.344	174.7421
224.000000	70.331	175.1731
227.000000	70.298	175.5447
230.000000	70.213	175.6202
233.000000	70.122	175.3382
236.000000	70.080	174.7065
240.000000	70.076	173.9879
243.000000	70.063	173.7869
247.000000	69.996	173.6832
250.000000	69.937	173.6356
254.000000	69.892	173.7344
258.000000	69.861	173.9310
262.000000	69.794	173.8812
265.000000	69.735	173.8409
269.000000	69.658	173.8791
272.000000	69.603	173.9392
276.000000	69.527	174.0810
280.000000	69.438	174.1387
285.000000	69.350	174.3228
290.000000	69.221	174.9068
295.000000	69.117	175.5164
300.000000	69.074	176.1888
304.000000	69.061	176.6946
307.000000	69.061	177.1895
311.000000	69.067	177.8263
315.000000	69.106	178.2964
320.000000	69.181	178.8027
325.000000	69.233	179.1001
330.000000	69.283	179.1687
335.000000	69.311	179.1428
340.000000	69.331	179.0740
345.000000	69.361	178.9206
350.000000	69.379	178.7766
355.000000	69.382	178.6558
360.000000	69.379	178.5490
365.000000	69.369	178.5717
370.000000	69.347	178.5985
375.000000	69.308	178.5990
382.000000	69.248	178.6201
387.000000	69.215	178.4896
395.000000	69.142	178.4988
400.000000	69.090	178.6789
406.000000	69.040	178.8697
412.000000	68.996	178.9490
418.000000	68.955	179.0160
425.000000	68.894	179.2333
431.000000	68.839	179.5239
437.000000	68.780	179.7898
444.000000	68.720	179.9240
450.000000	68.675	-179.9418
455.000000	68.646	-179.7406
462.000000	68.610	-179.4270
468.000000	68.592	-179.2197
475.000000	68.577	-179.0516
482.000000	68.535	-178.8799
487.000000	68.487	-178.6506
494.000000	68.435	-178.3054
500.000000	68.402	-178.0623
508.000000	68.366	-177.8013
515.000000	68.341	-177.5044
522.000000	68.299	-177.1169
530.000000	68.245	-176.8152
538.000000	68.207	-176.4347
545.000000	68.173	-175.9370
552.000000	68.129	-175.4889
560.000000	68.069	-175.0804
570.000000	68.010	-174.6971
580.000000	67.964	-174.2266
590.000000	67.903	-173.5277
600.000000	67.879	-172.8698
608.000000	67.864	-172.4680
615.000000	67.835	-172.2032
622.000000	67.795	-171.8700
630.000000	67.742	-171.3528
640.000000	67.683	-170.6560
650.000000	67.643	-170.0104
660.000000	67.607	-169.3203
670.000000	67.580	-168.6192
680.000000	67.547	-167.9724
690.000000	67.515	-167.2891
700.000000	67.481	-166.5745
710.000000	67.444	-165.8848
720.000000	67.412	-165.2449
730.000000	67.384	-164.5767
740.000000	67.359	-163.8291
750.000000	67.349	-163.0110
762.000000	67.342	-162.0855
775.000000	67.318	-161.1151
788.000000	67.291	-160.2455
800.000000	67.276	-159.2902
812.000000	67.275	-158.2790
825.000000	67.306	-157.2779
838.000000	67.327	-156.2863
850.000000	67.326	-155.3471
862.000000	67.334	-154.4070
875.000000	67.360	-153.4707
885.000000	67.387	-152.7520
900.000000	67.445	-151.6281
912.000000	67.490	-150.6535
925.000000	67.529	-149.6473
938.000000	67.584	-148.7345
950.000000	67.638	-147.9542
962.000000	67.693	-147.1777
975.000000	67.751	-146.3703
988.000000	67.810	-145.6346
1000.000000	67.876	-144.9177
1015.000000	67.980	-143.8822
1030.000000	68.079	-142.9769
1044.000000	68.167	-142.2393
1060.000000	68.274	-141.4316
1075.000000	68.381	-140.7053
1090.000000	68.483	-140.0315
1106.000000	68.598	-139.3647
1120.000000	68.702	-138.8095
1138.000000	68.837	-138.1880
1150.000000	68.925	-137.8293
1172.000000	69.091	-137.1781
1180.000000	69.148	-136.9507
1206.000000	69.325	-136.2577
1220.000000	69.419	-135.8900
1241.000000	69.549	-135.3233
1250.000000	69.602	-135.0900
1265.000000	69.693	-134.7195
1280.000000	69.788	-134.3530
1315.000000	69.992	-133.5544
1320.000000	70.018	-133.4365
1340.000000	70.118	-132.9380
1360.000000	70.226	-132.4430
1380.000000	70.333	-131.9687
1400.000000	70.441	-131.4704
1430.000000	70.609	-130.7302
1450.000000	70.721	-130.2326
1475.000000	70.876	-129.5864
1500.000000	71.023	-128.9194
1525.000000	71.166	-128.1984
1550.000000	71.322	-127.5185
1575.000000	71.489	-126.8818
1600.000000	71.661	-126.2385
1625.000000	71.840	-125.5557
1650.000000	72.022	-124.9408
1675.000000	72.210	-124.4280
1700.000000	72.405	-123.9314
1725.000000	72.613	-123.4839
1750.000000	72.818	-123.0936
1775.000000	73.027	-122.7566
1800.000000	73.236	-122.5111
1825.000000	73.444	-122.3705
1850.000000	73.655	-122.3095
1875.000000	73.862	-122.2959
1900.000000	74.063	-122.3399
1925.000000	74.257	-122.4360
1950.000000	74.446	-122.5600
1975.000000	74.630	-122.7202
2000.000000	74.808	-122.9112
2030.000000	75.018	-123.1757
2060.000000	75.226	-123.4529
2090.000000	75.430	-123.7393
2120.000000	75.636	-124.0600
2140.000000	75.772	-124.3172
2180.000000	76.028	-124.9123
2200.000000	76.152	-125.2381
2240.000000	76.393	-125.9650
2270.000000	76.564	-126.5529
2300.000000	76.728	-127.1523
2330.000000	76.888	-127.7587
2360.000000	77.042	-128.3705
2400.000000	77.245	-129.1852
2430.000000	77.395	-129.8133
2470.000000	77.590	-130.6934
2500.000000	77.732	-131.3761
2540.000000	77.912	-132.3298
2580.000000	78.088	-133.3175
2620.000000	78.258	-134.3538
2650.000000	78.379	-135.1631
2690.000000	78.530	-136.2716
2720.000000	78.638	-137.1330
2760.000000	78.775	-138.3015
2800.000000	78.901	-139.5006
2850.000000	79.043	-141.0352
2900.000000	79.170	-142.6107
2950.000000	79.280	-144.2414
3000.000000	79.370	-145.9078
3040.000000	79.424	-147.2426
3070.000000	79.456	-148.2318
3110.000000	79.486	-149.5400
3150.000000	79.503	-150.8254
3200.000000	79.505	-152.3624
3250.000000	79.488	-153.7987
3300.000000	79.459	-155.1204
3350.000000	79.427	-156.3352
3400.000000	79.396	-157.4669
3450.000000	79.365	-158.5596
3500.000000	79.334	-159.6178
3550.000000	79.298	-160.6212
3600.000000	79.253	-161.5382
3650.000000	79.203	-162.3661
3700.000000	79.150	-163.1302
3750.000000	79.097	-163.8310
3820.000000	79.021	-164.6778
3870.000000	78.965	-165.2068
3950.000000	78.876	-165.9375
4000.000000	78.824	-166.3094
4060.000000	78.767	-166.7119
4120.000000	78.718	-167.0500
4180.000000	78.676	-167.3351
4250.000000	78.636	-167.6367
4310.000000	78.605	-167.8682
4370.000000	78.576	-168.0781
4440.000000	78.550	-168.2956
4500.000000	78.537	-168.4780
4550.000000	78.531	-168.6418
4620.000000	78.534	-168.9216
4680.000000	78.547	-169.2180
4750.000000	78.567	-169.6147
4820.000000	78.593	-170.0683
4870.000000	78.613	-170.4464
4940.000000	78.638	-171.0422
5000.000000	78.657	-171.6167
5080.000000	78.683	-172.4506
5150.000000	78.704	-173.2551
5220.000000	78.720	-174.1450
5300.000000	78.729	-175.2491
5380.000000	78.725	-176.4123
5450.000000	78.710	-177.4704
5520.000000	78.683	-178.5596
5600.000000	78.641	-179.8231
5700.000000	78.565	178.5770
5800.000000	78.464	176.9919
5900.000000	78.343	175.4568
6000.000000	78.206	173.9811
6080.000000	78.086	172.8552
6150.000000	77.976	171.9147
6220.000000	77.862	171.0240
6300.000000	77.725	170.0580
6400.000000	77.546	168.9283
6500.000000	77.360	167.9142
6600.000000	77.165	167.0453
6700.000000	76.966	166.3283
6800.000000	76.778	165.7822
6900.000000	76.622	165.4335
7000.000000	76.509	165.2772
7100.000000	76.444	165.2706
7200.000000	76.432	165.3183
7300.000000	76.477	165.3000
7400.000000	76.578	165.0853
7500.000000	76.731	164.5298
7620.000000	76.980	163.2495
7750.000000	77.288	160.9105
7880.000000	77.515	157.4054
8000.000000	77.606	153.1287
8120.000000	77.551	148.0295
8250.000000	77.273	141.9743
8380.000000	76.755	135.9875
8500.000000	76.077	131.0675
8620.000000	75.249	127.0357
8750.000000	74.231	123.8301
8850.000000	73.402	122.1971
9000.000000	72.143	120.9927
9120.000000	71.156	120.9445
9250.000000	70.130	121.6226
9380.000000	69.157	122.9346
9500.000000	68.309	124.5998
9620.000000	67.509	126.6272
9750.000000	66.707	129.1802
9880.000000	65.967	132.0325
10000.000000	65.329	134.8353
10150.000000	64.595	138.5736
10300.000000	63.926	142.6030
10440.000000	63.360	146.4540
10600.000000	62.787	151.0021
10750.000000	62.320	155.4734
10900.000000	61.907	159.9804
11060.000000	61.521	164.9496
11200.000000	61.235	169.3997
11380.000000	60.929	175.1385
11500.000000	60.772	178.9659
11720.000000	60.565	-174.0685
11800.000000	60.519	-171.5013
12060.000000	60.507	-163.1666
12200.000000	60.558	-158.7017
12410.000000	60.707	-151.9837
12500.000000	60.806	-149.1577
12650.000000	61.022	-144.5703
12800.000000	61.307	-140.1067
13150.000000	62.283	-130.1911
13200.000000	62.461	-128.8364
13400.000000	63.303	-123.6337
13600.000000	64.434	-118.9314
13800.000000	65.932	-115.2939
14000.000000	67.848	-113.7420
14300.000000	71.303	-119.4626
14500.000000	73.273	-132.9099
14750.000000	74.052	-159.9442
15000.000000	72.579	176.2336
15250.000000	69.906	165.2835
15500.000000	67.362	163.4894
15750.000000	65.500	166.0032
16000.000000	64.245	170.4475
16250.000000	63.466	175.7071
16500.000000	63.086	-178.8476
16750.000000	63.069	-173.5934
17000.000000	63.439	-169.0290
17250.000000	64.235	-165.8481
17500.000000	65.513	-165.0396
17750.000000	67.130	-169.0365
18000.000000	68.469	179.1277
18250.000000	68.759	160.2964
18500.000000	67.650	141.8974
18750.000000	65.458	130.8085
19000.000000	62.860	127.3792
19250.000000	60.395	128.8615
19500.000000	58.274	133.0393
19750.000000	56.577	138.2275
20000.000000	55.519	142.0733
