* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:26:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Crystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.946	-148.1524
20.600000	72.010	-148.3656
20.900000	72.123	-148.8394
21.200001	72.188	-149.5099
21.400000	72.200	-149.9878
21.799999	72.173	-150.8445
22.000000	72.146	-151.1627
22.400000	72.096	-151.5719
22.700001	72.078	-151.7940
23.000000	72.079	-152.0727
23.299999	72.085	-152.4581
23.600000	72.088	-152.9223
24.000000	72.082	-153.5586
24.299999	72.078	-153.9743
24.700001	72.091	-154.4525
25.000000	72.119	-154.8342
25.400000	72.172	-155.4878
25.799999	72.212	-156.3128
26.200001	72.218	-157.1423
26.500000	72.203	-157.6319
26.900000	72.176	-158.0186
27.200001	72.167	-158.1402
27.600000	72.182	-158.2083
28.000000	72.219	-158.3185
28.500000	72.263	-158.5557
29.000000	72.289	-158.7383
29.500000	72.319	-158.7730
30.000000	72.372	-158.8175
30.400000	72.423	-159.0096
30.700001	72.452	-159.2641
31.100000	72.467	-159.6759
31.500000	72.454	-160.0522
32.000000	72.420	-160.3368
32.500000	72.402	-160.4477
33.000000	72.418	-160.6003
33.500000	72.453	-160.9927
34.000000	72.469	-161.6305
34.500000	72.439	-162.2769
35.000000	72.382	-162.6437
35.500000	72.349	-162.6481
36.000000	72.384	-162.5574
36.500000	72.472	-162.7604
37.000000	72.551	-163.4068
37.500000	72.570	-164.2536
38.200001	72.508	-165.0501
38.700001	72.463	-165.1691
39.500000	72.472	-165.1837
40.000000	72.498	-165.3915
40.599998	72.504	-165.7658
41.200001	72.486	-165.9830
41.799999	72.496	-166.0042
42.500000	72.573	-166.2527
43.099998	72.630	-167.0185
43.700001	72.598	-167.9553
44.400002	72.478	-168.4025
45.000000	72.422	-168.1127
45.500000	72.447	-167.8788
46.200001	72.508	-168.0331
