* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:28:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Crystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.512	-152.2145
20.600000	70.520	-151.8678
20.900000	70.560	-151.3476
21.200001	70.652	-151.1643
21.400000	70.722	-151.3082
21.799999	70.834	-152.1170
22.000000	70.859	-152.6686
22.400000	70.839	-153.7336
22.700001	70.790	-154.2938
23.000000	70.750	-154.6105
23.299999	70.741	-154.8339
23.600000	70.760	-155.1280
24.000000	70.800	-155.7955
24.299999	70.809	-156.4560
24.700001	70.770	-157.2744
25.000000	70.717	-157.6198
25.400000	70.660	-157.6046
25.799999	70.677	-157.2658
26.200001	70.774	-157.0488
26.500000	70.869	-157.1665
26.900000	70.978	-157.7122
27.200001	71.023	-158.2723
27.600000	71.031	-158.9751
28.000000	71.008	-159.4568
28.500000	70.981	-159.8125
29.000000	70.963	-160.1647
29.500000	70.925	-160.5761
30.000000	70.861	-160.8369
30.400000	70.817	-160.8520
30.700001	70.804	-160.8019
31.100000	70.815	-160.7989
31.500000	70.846	-160.9811
32.000000	70.883	-161.4835
32.500000	70.900	-162.1466
33.000000	70.902	-162.8362
33.500000	70.896	-163.5207
34.000000	70.877	-164.1588
34.500000	70.845	-164.6448
35.000000	70.814	-164.9036
35.500000	70.803	-164.9686
36.000000	70.820	-164.9461
36.500000	70.857	-164.9254
37.000000	70.904	-164.9494
37.500000	70.950	-165.0189
38.200001	71.004	-165.1614
38.700001	71.033	-165.2939
39.500000	71.054	-165.5860
40.000000	71.047	-165.7703
40.599998	71.027	-165.9612
41.200001	71.000	-166.2435
41.799999	70.938	-166.6318
42.500000	70.816	-166.7755
43.099998	70.759	-166.4745
43.700001	70.800	-166.4619
44.400002	70.835	-167.4559
45.000000	70.727	-168.4712
45.500000	70.584	-168.6231
46.200001	70.499	-167.7895
46.799999	70.611	-167.1003
47.500000	70.831	-167.1958
48.200001	71.018	-167.9553
48.700001	71.119	-168.5956
49.400002	71.228	-169.4672
50.000000	71.293	-170.1985
50.799999	71.310	-171.0876
51.500000	71.250	-171.4646
52.200001	71.180	-171.2256
53.000000	71.170	-170.6543
53.799999	71.199	-170.4830
54.500000	71.190	-170.6242
55.200001	71.155	-170.7965
56.000000	71.110	-171.0240
57.000000	71.061	-171.3688
58.000000	71.040	-171.7968
59.000000	71.022	-172.3199
60.000000	71.006	-172.6336
60.799999	71.016	-172.7865
61.500000	71.028	-172.9127
62.200001	71.037	-172.9749
63.000000	71.053	-172.9925
64.000000	71.074	-173.1113
65.000000	71.073	-173.2670
66.000000	71.071	-173.3672
67.000000	71.078	-173.4994
68.000000	71.092	-173.6393
69.000000	71.120	-173.8437
70.000000	71.137	-174.1435
71.000000	71.129	-174.3908
72.000000	71.115	-174.4344
73.000000	71.124	-174.4704
74.000000	71.122	-174.7007
75.000000	71.090	-174.8463
76.199997	71.072	-174.8606
77.500000	71.079	-175.0184
78.800003	71.078	-175.3269
80.000000	71.060	-175.5421
81.199997	71.054	-175.6516
82.500000	71.059	-175.8051
83.800003	71.058	-176.0112
85.000000	71.051	-176.1587
86.199997	71.050	-176.3121
87.500000	71.041	-176.5346
88.500000	71.033	-176.6663
90.000000	71.039	-176.9006
91.199997	71.045	-177.1783
92.500000	71.048	-177.4523
93.800003	71.054	-177.6705
95.000000	71.057	-177.8434
96.199997	71.051	-177.9274
97.500000	71.049	-177.8641
98.800003	71.064	-177.7725
100.000000	71.084	-177.8194
101.500000	71.074	-178.0542
103.000000	71.035	-178.1913
104.400002	71.020	-178.2819
106.000000	71.019	-178.6112
107.500000	71.005	-178.9145
109.000000	70.993	-179.0667
110.599998	70.988	-179.0804
112.000000	70.997	-179.1453
113.800003	70.997	-179.4348
115.000000	71.003	-179.5759
117.199997	71.101	-179.7643
118.000000	71.162	-179.9154
120.599998	71.204	179.0505
122.000000	71.092	179.1515
124.099998	70.988	179.7046
125.000000	70.967	179.7645
126.500000	70.945	179.6320
128.000000	70.938	179.3972
131.500000	70.957	179.1104
132.000000	70.959	179.1085
134.000000	70.950	179.0460
136.000000	70.911	178.8793
138.000000	70.874	178.7205
140.000000	70.869	178.5161
143.000000	70.847	178.2919
145.000000	70.836	178.4878
147.500000	70.858	178.6475
