* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 6:09:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Sedna
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.477	-147.8228
20.600000	71.510	-147.8726
20.900000	71.586	-148.0228
21.200001	71.674	-148.3568
21.400000	71.727	-148.7298
21.799999	71.793	-149.7729
22.000000	71.794	-150.3587
22.400000	71.730	-151.3721
22.700001	71.646	-151.7824
23.000000	71.574	-151.8210
23.299999	71.548	-151.6325
23.600000	71.577	-151.4379
24.000000	71.682	-151.5037
24.299999	71.770	-151.9098
24.700001	71.851	-152.7863
25.000000	71.869	-153.4655
25.400000	71.871	-154.1407
25.799999	71.881	-154.5178
26.200001	71.932	-154.8337
26.500000	71.986	-155.1968
26.900000	72.046	-155.9085
27.200001	72.062	-156.5222
27.600000	72.043	-157.2455
28.000000	72.002	-157.7021
28.500000	71.967	-157.9618
29.000000	71.958	-158.1538
29.500000	71.950	-158.3462
30.000000	71.946	-158.3798
30.400000	71.975	-158.3190
30.700001	72.023	-158.3488
31.100000	72.102	-158.6773
31.500000	72.157	-159.3607
32.000000	72.141	-160.3698
32.500000	72.050	-160.9574
33.000000	71.982	-160.9233
33.500000	72.004	-160.7268
34.000000	72.082	-160.9445
34.500000	72.125	-161.5963
35.000000	72.099	-162.2343
35.500000	72.046	-162.4879
36.000000	72.023	-162.4377
36.500000	72.043	-162.3856
37.000000	72.076	-162.4949
37.500000	72.099	-162.6990
38.200001	72.119	-162.9735
38.700001	72.135	-163.1668
39.500000	72.166	-163.5721
40.000000	72.187	-163.9449
40.599998	72.195	-164.5716
41.200001	72.156	-165.2431
41.799999	72.084	-165.6100
42.500000	72.045	-165.5671
43.099998	72.092	-165.6467
43.700001	72.143	-166.1862
44.400002	72.124	-166.9430
45.000000	72.076	-167.1297
45.500000	72.075	-167.0041
46.200001	72.148	-166.9682
46.799999	72.211	-167.3186
47.500000	72.222	-167.7666
48.200001	72.215	-167.8226
48.700001	72.241	-167.7309
49.400002	72.313	-167.8643
50.000000	72.350	-168.3403
50.799999	72.308	-168.9685
51.500000	72.246	-169.0966
52.200001	72.222	-169.0845
53.000000	72.214	-169.2347
53.799999	72.209	-169.3629
54.500000	72.235	-169.5440
55.200001	72.256	-169.9621
56.000000	72.243	-170.3242
57.000000	72.281	-170.4374
58.000000	72.336	-171.0290
59.000000	72.300	-171.4826
60.000000	72.273	-171.4691
60.799999	72.274	-171.4752
61.500000	72.279	-171.5412
62.200001	72.283	-171.6981
63.000000	72.271	-171.9191
64.000000	72.257	-172.0562
65.000000	72.276	-172.2037
66.000000	72.302	-172.4851
67.000000	72.315	-172.7546
68.000000	72.324	-172.8965
69.000000	72.336	-173.0556
70.000000	72.319	-173.2925
71.000000	72.277	-173.4396
72.000000	72.218	-173.6141
73.000000	72.141	-173.5436
74.000000	72.138	-173.3163
75.000000	72.184	-173.5809
76.199997	72.205	-174.1980
77.500000	72.214	-174.7206
78.800003	72.235	-174.9893
80.000000	72.274	-175.2120
81.199997	72.288	-175.4658
82.500000	72.277	-175.5588
83.800003	72.274	-175.6000
85.000000	72.266	-175.7055
86.199997	72.263	-175.8178
87.500000	72.266	-175.9806
88.500000	72.281	-176.1252
90.000000	72.304	-176.5300
91.199997	72.305	-176.8552
92.500000	72.298	-177.2088
93.800003	72.274	-177.5103
95.000000	72.250	-177.6649
96.199997	72.237	-177.7526
97.500000	72.232	-177.8323
98.800003	72.232	-177.8642
100.000000	72.236	-177.9235
101.500000	72.221	-177.9138
103.000000	72.240	-177.8724
104.400002	72.248	-178.2165
106.000000	72.206	-178.6050
107.500000	72.171	-178.8048
109.000000	72.160	-179.0119
110.599998	72.158	-179.3014
112.000000	72.161	-179.5595
113.800003	72.170	-179.8393
115.000000	72.176	-179.9368
117.199997	72.208	-179.8014
118.000000	72.236	-179.7495
120.599998	72.279	179.6799
122.000000	72.215	179.3685
124.099998	72.139	179.3197
125.000000	72.130	179.2909
126.500000	72.125	179.1395
128.000000	72.114	178.9833
131.500000	72.096	178.6813
132.000000	72.093	178.6138
134.000000	72.083	178.3204
136.000000	72.090	178.0581
138.000000	72.112	177.8317
140.000000	72.114	177.7401
143.000000	72.071	178.0486
145.000000	72.045	178.1236
147.500000	71.991	177.8304
150.000000	71.977	177.2907
152.500000	71.990	176.6368
155.000000	71.984	176.3685
157.500000	71.977	176.4338
160.000000	71.955	176.4545
162.500000	71.929	176.3283
165.000000	71.914	176.1672
167.500000	71.912	176.0480
170.000000	71.905	175.8495
172.500000	71.872	175.5815
175.000000	71.843	175.4029
177.500000	71.827	175.3043
180.000000	71.801	175.3210
182.500000	71.777	175.3261
185.000000	71.761	175.2090
187.500000	71.744	175.0270
190.000000	71.716	174.8816
192.500000	71.689	174.7596
195.000000	71.675	174.5821
197.500000	71.662	174.3990
200.000000	71.648	174.3004
203.000000	71.632	174.1160
