* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 6:23:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Sedna
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.437	-150.1770
20.600000	70.442	-150.7445
20.900000	70.431	-151.6717
21.200001	70.377	-152.2986
21.400000	70.332	-152.5166
21.799999	70.258	-152.6320
22.000000	70.243	-152.6325
22.400000	70.259	-152.7466
22.700001	70.291	-153.0456
23.000000	70.316	-153.5296
23.299999	70.327	-154.0933
23.600000	70.326	-154.6398
24.000000	70.322	-155.2479
24.299999	70.331	-155.6241
24.700001	70.367	-156.1101
25.000000	70.406	-156.5202
25.400000	70.457	-157.1351
25.799999	70.499	-157.7572
26.200001	70.531	-158.3163
26.500000	70.551	-158.6901
26.900000	70.570	-159.1515
27.200001	70.574	-159.4746
27.600000	70.559	-159.8359
28.000000	70.525	-160.0282
28.500000	70.481	-159.9514
29.000000	70.472	-159.6563
29.500000	70.508	-159.4507
30.000000	70.561	-159.5810
30.400000	70.585	-159.9249
30.700001	70.584	-160.2591
31.100000	70.557	-160.6895
31.500000	70.510	-160.9968
32.000000	70.454	-161.1243
32.500000	70.442	-161.0549
33.000000	70.493	-161.0728
33.500000	70.582	-161.4389
34.000000	70.652	-162.1612
34.500000	70.665	-162.9254
35.000000	70.638	-163.3656
35.500000	70.627	-163.3758
36.000000	70.672	-163.2336
36.500000	70.752	-163.3063
37.000000	70.807	-163.6774
37.500000	70.799	-164.0475
38.200001	70.740	-163.9436
38.700001	70.751	-163.5617
39.500000	70.860	-163.7583
40.000000	70.866	-164.5774
40.599998	70.738	-165.4950
41.200001	70.555	-165.5162
41.799999	70.477	-164.8674
42.500000	70.568	-164.4697
43.099998	70.693	-164.9538
43.700001	70.777	-165.9215
44.400002	70.803	-167.1678
45.000000	70.771	-167.9985
45.500000	70.733	-168.3612
46.200001	70.711	-168.4831
46.799999	70.720	-168.5646
47.500000	70.707	-168.6817
48.200001	70.675	-168.4782
48.700001	70.678	-168.2029
49.400002	70.708	-168.0334
50.000000	70.714	-168.0634
50.799999	70.722	-167.9390
51.500000	70.799	-167.9957
52.200001	70.886	-168.6969
53.000000	70.905	-169.7912
53.799999	70.899	-170.6370
54.500000	70.889	-171.4168
55.200001	70.817	-171.9834
56.000000	70.735	-171.6811
57.000000	70.827	-170.9601
58.000000	70.922	-171.2526
59.000000	70.908	-171.4371
60.000000	70.898	-171.6122
60.799999	70.850	-171.9060
61.500000	70.794	-171.9815
62.200001	70.770	-171.9823
63.000000	70.769	-172.1719
64.000000	70.753	-172.4846
65.000000	70.763	-172.5315
66.000000	70.816	-172.6529
67.000000	70.846	-172.8547
68.000000	70.863	-172.8530
69.000000	70.888	-172.8949
