* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:00:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.906	-150.4298
20.600000	71.889	-150.3268
20.900000	71.871	-150.1013
21.200001	71.895	-149.8095
21.400000	71.935	-149.6643
21.799999	72.052	-149.6476
22.000000	72.114	-149.8229
22.400000	72.213	-150.5125
22.700001	72.252	-151.1877
23.000000	72.260	-151.8408
23.299999	72.251	-152.3834
23.600000	72.240	-152.8090
24.000000	72.241	-153.2703
24.299999	72.256	-153.6296
24.700001	72.279	-154.1936
25.000000	72.288	-154.6547
25.400000	72.284	-155.2252
25.799999	72.272	-155.6533
26.200001	72.270	-155.9463
26.500000	72.278	-156.1353
26.900000	72.298	-156.4202
27.200001	72.311	-156.6784
27.600000	72.318	-157.0549
28.000000	72.312	-157.3990
28.500000	72.299	-157.7112
29.000000	72.299	-157.9344
29.500000	72.317	-158.2086
30.000000	72.338	-158.6456
30.400000	72.340	-159.0843
30.700001	72.328	-159.4074
31.100000	72.302	-159.7439
31.500000	72.279	-159.9392
32.000000	72.279	-160.0774
32.500000	72.312	-160.3184
33.000000	72.347	-160.7766
33.500000	72.356	-161.3021
34.000000	72.348	-161.6519
34.500000	72.359	-161.8025
35.000000	72.406	-161.9812
35.500000	72.462	-162.4019
36.000000	72.484	-162.9902
36.500000	72.465	-163.4777
37.000000	72.437	-163.6977
37.500000	72.435	-163.7594
38.200001	72.467	-163.9922
38.700001	72.481	-164.3291
39.500000	72.472	-164.8349
40.000000	72.468	-165.0775
40.599998	72.470	-165.3956
41.200001	72.465	-165.7367
41.799999	72.459	-165.9917
42.500000	72.478	-166.2233
43.099998	72.512	-166.5572
43.700001	72.531	-167.0379
44.400002	72.517	-167.5581
45.000000	72.490	-167.8222
45.500000	72.473	-167.9347
46.200001	72.459	-167.9908
46.799999	72.464	-167.9557
47.500000	72.508	-167.9705
48.200001	72.566	-168.3640
48.700001	72.571	-168.8326
49.400002	72.510	-169.2023
50.000000	72.475	-168.9604
50.799999	72.565	-168.5878
51.500000	72.681	-169.0510
52.200001	72.705	-169.8974
53.000000	72.653	-170.4364
53.799999	72.617	-170.5576
54.500000	72.604	-170.5940
55.200001	72.606	-170.5917
56.000000	72.630	-170.7010
57.000000	72.629	-171.0581
58.000000	72.606	-171.1832
59.000000	72.618	-171.2814
60.000000	72.627	-171.5874
60.799999	72.620	-171.8477
