* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 10:59:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.618	-152.7284
20.600000	70.619	-152.6793
20.900000	70.630	-152.5800
21.200001	70.659	-152.4744
21.400000	70.686	-152.4453
21.799999	70.748	-152.5451
22.000000	70.776	-152.6840
22.400000	70.813	-153.0970
22.700001	70.822	-153.4542
23.000000	70.819	-153.7916
23.299999	70.810	-154.0869
23.600000	70.804	-154.3433
24.000000	70.808	-154.6565
24.299999	70.822	-154.9111
24.700001	70.856	-155.3368
25.000000	70.885	-155.7556
25.400000	70.917	-156.4557
25.799999	70.924	-157.2407
26.200001	70.899	-157.9431
26.500000	70.869	-158.3119
26.900000	70.837	-158.5481
27.200001	70.836	-158.5976
27.600000	70.877	-158.6733
28.000000	70.949	-158.9722
28.500000	71.024	-159.7342
29.000000	71.036	-160.6146
29.500000	71.001	-161.2199
30.000000	70.974	-161.4801
30.400000	70.977	-161.6217
30.700001	70.988	-161.7838
31.100000	70.994	-162.0880
31.500000	70.978	-162.3983
32.000000	70.936	-162.6007
32.500000	70.907	-162.5477
33.000000	70.920	-162.4516
33.500000	70.964	-162.5661
34.000000	70.999	-162.9525
34.500000	70.999	-163.4340
35.000000	70.970	-163.7871
35.500000	70.949	-163.9266
36.000000	70.965	-163.9926
36.500000	71.013	-164.2143
37.000000	71.061	-164.6886
37.500000	71.078	-165.2691
38.200001	71.068	-165.8646
38.700001	71.069	-166.1360
39.500000	71.065	-166.6210
40.000000	71.027	-166.7047
40.599998	71.004	-166.1907
41.200001	71.116	-165.4415
41.799999	71.329	-165.4735
42.500000	71.491	-166.8503
43.099998	71.449	-168.2318
43.700001	71.298	-168.9051
44.400002	71.128	-168.6293
45.000000	71.081	-167.9285
45.500000	71.122	-167.4982
46.200001	71.215	-167.5690
46.799999	71.243	-168.0087
47.500000	71.239	-168.3005
48.200001	71.275	-168.5466
48.700001	71.298	-168.9692
49.400002	71.254	-169.5703
50.000000	71.188	-169.6129
50.799999	71.172	-169.3239
51.500000	71.193	-169.3023
52.200001	71.206	-169.3683
53.000000	71.240	-169.5744
53.799999	71.252	-170.1638
54.500000	71.220	-170.6882
55.200001	71.189	-171.1081
56.000000	71.156	-171.6639
57.000000	71.086	-172.1406
58.000000	71.062	-172.1872
59.000000	71.092	-172.2307
60.000000	71.129	-172.3620
60.799999	71.142	-172.4903
61.500000	71.141	-172.5151
62.200001	71.145	-172.4663
