* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:21:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.831	-148.9687
20.600000	71.853	-149.2458
20.900000	71.889	-149.7349
21.200001	71.910	-150.1809
21.400000	71.915	-150.4458
21.799999	71.917	-150.9164
22.000000	71.918	-151.1307
22.400000	71.924	-151.5326
22.700001	71.935	-151.8414
23.000000	71.951	-152.1884
23.299999	71.968	-152.5792
23.600000	71.983	-152.9988
24.000000	72.002	-153.5656
24.299999	72.016	-153.9759
24.700001	72.040	-154.5133
25.000000	72.060	-154.9329
25.400000	72.079	-155.5218
25.799999	72.079	-156.0666
26.200001	72.064	-156.4209
26.500000	72.056	-156.5043
26.900000	72.076	-156.4191
27.200001	72.124	-156.3357
27.600000	72.227	-156.4152
28.000000	72.339	-156.8803
28.500000	72.427	-157.9290
29.000000	72.417	-159.0350
29.500000	72.336	-159.7294
30.000000	72.257	-159.8844
30.400000	72.230	-159.7912
30.700001	72.234	-159.7193
31.100000	72.259	-159.7340
31.500000	72.289	-159.8983
32.000000	72.312	-160.2304
32.500000	72.320	-160.5771
33.000000	72.327	-160.8988
33.500000	72.338	-161.2400
34.000000	72.346	-161.6135
34.500000	72.345	-161.9612
35.000000	72.347	-162.2469
35.500000	72.360	-162.5229
36.000000	72.381	-162.8583
36.500000	72.398	-163.2378
37.000000	72.412	-163.5965
37.500000	72.430	-163.9364
38.200001	72.448	-164.4632
38.700001	72.439	-164.7708
39.500000	72.436	-164.7024
40.000000	72.505	-164.4936
40.599998	72.654	-164.6898
41.200001	72.768	-165.6373
41.799999	72.763	-166.8206
42.500000	72.643	-167.5904
43.099998	72.549	-167.6141
43.700001	72.504	-167.4978
44.400002	72.469	-167.5085
45.000000	72.425	-167.4837
45.500000	72.399	-167.3144
46.200001	72.421	-167.0549
46.799999	72.480	-167.1509
47.500000	72.529	-167.6753
48.200001	72.531	-168.2394
48.700001	72.524	-168.5235
49.400002	72.525	-168.8345
50.000000	72.525	-169.0803
50.799999	72.521	-169.2815
51.500000	72.529	-169.3302
52.200001	72.552	-169.3651
53.000000	72.587	-169.4512
53.799999	72.625	-169.6774
54.500000	72.642	-170.0357
55.200001	72.628	-170.4067
56.000000	72.595	-170.6928
57.000000	72.559	-170.9172
58.000000	72.533	-171.0208
59.000000	72.541	-171.1312
60.000000	72.550	-171.5173
60.799999	72.526	-171.8393
61.500000	72.503	-171.9776
62.200001	72.498	-172.0466
63.000000	72.512	-172.1945
64.000000	72.530	-172.4697
65.000000	72.556	-172.7274
66.000000	72.583	-173.0612
67.000000	72.584	-173.3707
68.000000	72.571	-173.4932
69.000000	72.564	-173.5168
70.000000	72.563	-173.5911
71.000000	72.558	-173.8002
72.000000	72.543	-174.1089
73.000000	72.530	-174.4694
74.000000	72.518	-174.9506
75.000000	72.474	-175.3758
76.199997	72.437	-175.3173
77.500000	72.496	-175.2090
78.800003	72.540	-175.4513
80.000000	72.549	-175.5862
81.199997	72.562	-175.7388
82.500000	72.552	-176.0627
83.800003	72.528	-176.2136
85.000000	72.529	-176.3497
86.199997	72.530	-176.5058
87.500000	72.546	-176.7015
88.500000	72.550	-176.9627
90.000000	72.538	-177.3093
91.199997	72.530	-177.5802
92.500000	72.513	-177.8401
93.800003	72.499	-177.9537
95.000000	72.499	-177.9910
96.199997	72.507	-178.0484
97.500000	72.511	-178.1996
98.800003	72.497	-178.4025
100.000000	72.481	-178.5267
101.500000	72.483	-178.6664
103.000000	72.494	-178.9779
104.400002	72.481	-179.2592
106.000000	72.467	-179.3948
107.500000	72.467	-179.4930
109.000000	72.472	-179.5970
110.599998	72.475	-179.7276
112.000000	72.473	-179.8527
113.800003	72.454	179.9022
115.000000	72.431	179.7157
117.199997	72.407	179.2415
118.000000	72.399	178.9810
120.599998	72.341	178.6089
122.000000	72.359	178.7840
124.099998	72.408	178.7972
125.000000	72.415	178.7371
126.500000	72.410	178.6071
128.000000	72.395	178.4308
131.500000	72.339	177.9984
132.000000	72.330	177.9593
134.000000	72.306	177.8878
136.000000	72.309	177.7819
138.000000	72.316	177.5405
140.000000	72.308	177.3199
143.000000	72.285	177.1948
145.000000	72.274	177.1024
147.500000	72.256	176.8856
150.000000	72.234	176.6010
152.500000	72.212	176.4136
155.000000	72.210	176.2551
157.500000	72.211	176.1119
160.000000	72.203	175.9400
162.500000	72.172	175.7431
165.000000	72.147	175.5729
167.500000	72.137	175.2978
170.000000	72.115	175.0384
172.500000	72.089	174.8910
175.000000	72.071	174.7914
177.500000	72.059	174.7377
180.000000	72.051	174.6776
182.500000	72.029	174.4777
185.000000	72.004	174.2180
187.500000	71.988	174.0039
190.000000	71.973	173.9296
192.500000	71.946	173.8806
195.000000	71.904	173.8026
197.500000	71.872	173.7482
200.000000	71.857	173.7049
203.000000	71.838	173.5831
206.000000	71.808	173.3496
209.000000	71.775	173.1536
212.000000	71.752	173.0496
214.000000	71.738	172.9759
218.000000	71.707	172.8161
220.000000	71.690	172.7515
224.000000	71.650	172.5772
227.000000	71.626	172.3260
230.000000	71.594	171.9992
233.000000	71.547	171.7900
236.000000	71.509	171.7191
240.000000	71.481	171.6532
243.000000	71.449	171.6219
247.000000	71.394	171.5794
250.000000	71.359	171.5310
254.000000	71.322	171.3844
258.000000	71.260	171.2043
262.000000	71.178	171.0426
265.000000	71.114	170.9070
269.000000	71.040	170.7346
272.000000	70.983	170.6637
276.000000	70.896	170.6872
280.000000	70.788	170.7982
285.000000	70.633	171.1332
290.000000	70.507	171.7044
295.000000	70.443	172.5568
300.000000	70.422	173.6049
304.000000	70.449	174.3511
307.000000	70.489	174.7486
311.000000	70.551	175.0109
315.000000	70.606	175.0890
320.000000	70.648	174.9907
325.000000	70.672	174.6695
330.000000	70.685	174.4523
335.000000	70.682	174.4283
340.000000	70.662	174.4125
345.000000	70.627	174.2829
350.000000	70.593	174.1517
355.000000	70.551	174.0686
360.000000	70.503	173.9807
365.000000	70.464	173.9305
370.000000	70.431	173.9199
375.000000	70.404	173.9611
382.000000	70.350	174.0911
387.000000	70.297	174.1916
395.000000	70.223	174.3135
400.000000	70.176	174.3839
406.000000	70.116	174.4968
412.000000	70.059	174.5797
418.000000	70.007	174.6835
425.000000	69.952	174.8118
431.000000	69.905	175.0081
437.000000	69.861	175.2906
444.000000	69.796	175.5880
450.000000	69.749	175.8069
455.000000	69.715	175.9383
462.000000	69.669	176.1026
468.000000	69.626	176.2892
475.000000	69.575	176.6063
482.000000	69.535	176.8461
487.000000	69.502	176.8726
494.000000	69.446	176.8992
500.000000	69.401	177.0561
508.000000	69.342	177.4108
515.000000	69.288	177.7217
522.000000	69.233	177.9856
530.000000	69.193	178.3769
538.000000	69.149	178.7967
545.000000	69.106	179.0967
552.000000	69.061	179.3977
560.000000	69.006	179.8120
570.000000	68.946	-179.6864
580.000000	68.862	-179.2281
590.000000	68.794	-178.6815
600.000000	68.724	-178.2036
608.000000	68.674	-177.8058
615.000000	68.638	-177.3875
622.000000	68.610	-176.9183
630.000000	68.572	-176.4052
640.000000	68.512	-175.8180
650.000000	68.459	-175.1553
660.000000	68.411	-174.4949
670.000000	68.356	-173.8205
680.000000	68.307	-173.0963
690.000000	68.261	-172.4575
700.000000	68.223	-171.7969
710.000000	68.185	-171.1103
720.000000	68.146	-170.4831
730.000000	68.119	-169.7988
740.000000	68.094	-168.9962
750.000000	68.061	-168.1952
762.000000	68.021	-167.2922
775.000000	67.982	-166.3940
788.000000	67.964	-165.5015
800.000000	67.955	-164.5355
812.000000	67.944	-163.5348
825.000000	67.939	-162.5323
838.000000	67.936	-161.5327
850.000000	67.925	-160.6574
862.000000	67.936	-159.7255
875.000000	67.957	-158.6630
885.000000	67.966	-157.9008
900.000000	67.983	-156.8082
912.000000	68.007	-155.9410
925.000000	68.041	-154.9988
938.000000	68.088	-154.0165
950.000000	68.138	-153.1406
962.000000	68.184	-152.3333
975.000000	68.230	-151.5359
988.000000	68.267	-150.7390
1000.000000	68.312	-150.0232
1015.000000	68.403	-149.2035
1030.000000	68.493	-148.4120
1044.000000	68.576	-147.6178
1060.000000	68.667	-146.7468
1075.000000	68.745	-146.0317
1090.000000	68.813	-145.3498
1106.000000	68.903	-144.6527
1120.000000	69.005	-144.0571
1138.000000	69.140	-143.3089
1150.000000	69.212	-142.8519
1172.000000	69.334	-142.0931
1180.000000	69.383	-141.8264
1206.000000	69.538	-140.9826
1220.000000	69.609	-140.5779
1241.000000	69.726	-139.9331
1250.000000	69.779	-139.6221
1265.000000	69.863	-139.1046
1280.000000	69.940	-138.6545
1315.000000	70.120	-137.6014
1320.000000	70.147	-137.4309
1340.000000	70.252	-136.7325
1360.000000	70.347	-136.0390
1380.000000	70.453	-135.3870
1400.000000	70.567	-134.7088
1430.000000	70.744	-133.7314
1450.000000	70.862	-133.1177
1475.000000	71.021	-132.3113
1500.000000	71.192	-131.4879
1525.000000	71.369	-130.6595
1550.000000	71.558	-129.9338
1575.000000	71.753	-129.2223
1600.000000	71.955	-128.5715
1625.000000	72.167	-128.0374
1650.000000	72.375	-127.5710
1675.000000	72.591	-127.1994
1700.000000	72.815	-126.9132
1725.000000	73.040	-126.6985
1750.000000	73.258	-126.5405
1775.000000	73.465	-126.4836
1800.000000	73.666	-126.5145
1825.000000	73.860	-126.5940
1850.000000	74.046	-126.7022
1875.000000	74.225	-126.8602
1900.000000	74.401	-127.0747
1925.000000	74.568	-127.3300
1950.000000	74.727	-127.6007
1975.000000	74.880	-127.8573
2000.000000	75.029	-128.1062
2030.000000	75.198	-128.4152
2060.000000	75.363	-128.7265
2090.000000	75.525	-129.0546
2120.000000	75.682	-129.3995
2140.000000	75.785	-129.6347
2180.000000	75.985	-130.0997
2200.000000	76.085	-130.3229
2240.000000	76.282	-130.7869
2270.000000	76.425	-131.1620
2300.000000	76.567	-131.5560
2330.000000	76.710	-131.9678
2360.000000	76.851	-132.4129
2400.000000	77.038	-133.0337
2430.000000	77.177	-133.5164
2470.000000	77.359	-134.2100
2500.000000	77.491	-134.7571
2540.000000	77.663	-135.5448
2580.000000	77.830	-136.3815
2620.000000	77.989	-137.2563
2650.000000	78.102	-137.9531
2690.000000	78.247	-138.9223
2720.000000	78.350	-139.6633
2760.000000	78.479	-140.6850
2800.000000	78.598	-141.7591
2850.000000	78.731	-143.1151
