* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:23:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.593	-151.9804
20.600000	70.610	-151.9347
20.900000	70.653	-151.8926
21.200001	70.709	-151.9821
21.400000	70.745	-152.1561
21.799999	70.791	-152.7421
22.000000	70.793	-153.1038
22.400000	70.752	-153.7907
22.700001	70.695	-154.1438
23.000000	70.638	-154.2967
23.299999	70.605	-154.3044
23.600000	70.609	-154.2886
24.000000	70.670	-154.4740
24.299999	70.735	-154.9231
24.700001	70.803	-155.9592
25.000000	70.810	-156.9106
25.400000	70.749	-158.0610
25.799999	70.647	-158.6951
26.200001	70.575	-158.7389
26.500000	70.578	-158.5947
26.900000	70.654	-158.5603
27.200001	70.732	-158.8520
27.600000	70.805	-159.6500
28.000000	70.802	-160.5547
28.500000	70.717	-161.1877
29.000000	70.651	-161.0997
29.500000	70.669	-160.8159
30.000000	70.728	-160.8717
30.400000	70.754	-161.1291
30.700001	70.755	-161.3151
31.100000	70.746	-161.4417
31.500000	70.746	-161.4631
32.000000	70.767	-161.5313
32.500000	70.789	-161.7448
33.000000	70.796	-161.9677
33.500000	70.811	-162.0879
34.000000	70.854	-162.2310
34.500000	70.909	-162.5930
35.000000	70.942	-163.1546
35.500000	70.940	-163.6956
36.000000	70.924	-164.0665
36.500000	70.917	-164.3187
37.000000	70.916	-164.5569
37.500000	70.908	-164.7549
38.200001	70.903	-164.7866
38.700001	70.935	-164.7069
39.500000	71.039	-164.9556
40.000000	71.087	-165.4112
40.599998	71.098	-165.9850
41.200001	71.085	-166.3364
41.799999	71.084	-166.5195
42.500000	71.098	-166.7596
43.099998	71.099	-167.0153
43.700001	71.078	-167.1542
44.400002	71.058	-167.0333
45.000000	71.078	-166.8200
45.500000	71.121	-166.7913
46.200001	71.175	-167.1762
46.799999	71.163	-167.7328
47.500000	71.084	-168.1102
48.200001	71.028	-168.0169
48.700001	71.040	-167.9422
49.400002	71.093	-168.2876
50.000000	71.109	-168.9385
50.799999	71.072	-169.7255
51.500000	71.045	-170.2106
52.200001	71.022	-170.7195
53.000000	70.967	-171.1312
53.799999	70.928	-171.0583
54.500000	70.951	-170.8573
55.200001	71.008	-170.8074
56.000000	71.081	-171.0148
57.000000	71.119	-171.6096
58.000000	71.074	-171.8900
59.000000	71.075	-171.6684
60.000000	71.131	-171.7812
60.799999	71.149	-172.1025
61.500000	71.142	-172.3435
62.200001	71.128	-172.5047
63.000000	71.108	-172.6021
64.000000	71.088	-172.6160
65.000000	71.089	-172.6191
66.000000	71.102	-172.7881
67.000000	71.099	-173.0748
68.000000	71.092	-173.2863
69.000000	71.103	-173.5019
70.000000	71.109	-173.7942
71.000000	71.098	-173.9825
72.000000	71.090	-174.0115
73.000000	71.084	-173.9742
74.000000	71.093	-173.7836
75.000000	71.150	-173.8096
76.199997	71.176	-174.4328
77.500000	71.131	-174.9868
