* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:14:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.580	-153.1113
20.600000	70.569	-153.2040
20.900000	70.553	-153.3369
21.200001	70.558	-153.3936
21.400000	70.574	-153.4345
21.799999	70.625	-153.6291
22.000000	70.653	-153.8173
22.400000	70.696	-154.3714
22.700001	70.707	-154.8666
23.000000	70.697	-155.3238
23.299999	70.674	-155.6547
23.600000	70.655	-155.8310
24.000000	70.660	-155.8800
24.299999	70.696	-155.9014
24.700001	70.780	-156.0923
25.000000	70.851	-156.4279
25.400000	70.928	-157.1016
25.799999	70.971	-157.8805
26.200001	70.982	-158.6104
26.500000	70.977	-159.0901
26.900000	70.959	-159.6533
27.200001	70.935	-160.0300
27.600000	70.888	-160.4458
28.000000	70.827	-160.6805
28.500000	70.762	-160.6407
29.000000	70.751	-160.3848
29.500000	70.804	-160.2590
30.000000	70.882	-160.5219
30.400000	70.931	-160.9898
30.700001	70.950	-161.4177
31.100000	70.952	-161.9826
31.500000	70.935	-162.4634
32.000000	70.905	-162.8901
32.500000	70.882	-163.1379
33.000000	70.881	-163.2875
33.500000	70.903	-163.4398
34.000000	70.932	-163.6579
34.500000	70.953	-163.9073
35.000000	70.961	-164.0934
35.500000	70.971	-164.1568
36.000000	70.997	-164.1554
36.500000	71.041	-164.2229
37.000000	71.085	-164.4551
37.500000	71.106	-164.8103
38.200001	71.094	-165.2496
38.700001	71.081	-165.4367
39.500000	71.085	-165.8454
40.000000	71.072	-166.3008
40.599998	71.006	-166.7806
41.200001	70.927	-166.7751
41.799999	70.925	-166.4390
42.500000	71.030	-166.5156
43.099998	71.091	-167.2713
43.700001	71.054	-168.0126
44.400002	70.974	-168.1538
45.000000	70.969	-167.9409
45.500000	70.994	-167.9326
46.200001	71.004	-168.1068
46.799999	70.996	-168.0904
47.500000	71.030	-168.0878
48.200001	71.056	-168.5319
48.700001	71.027	-168.9025
49.400002	70.970	-169.0010
50.000000	70.988	-168.9252
50.799999	71.082	-169.4831
51.500000	71.116	-170.5875
52.200001	71.075	-171.6721
53.000000	70.992	-172.4956
53.799999	70.922	-172.8591
54.500000	70.893	-172.9421
55.200001	70.884	-172.8885
56.000000	70.902	-172.5937
57.000000	71.001	-172.2624
58.000000	71.083	-172.4385
59.000000	71.097	-172.6086
60.000000	71.091	-172.6792
60.799999	71.084	-172.7138
61.500000	71.090	-172.7866
62.200001	71.098	-172.9964
63.000000	71.088	-173.2944
64.000000	71.070	-173.5323
65.000000	71.067	-173.7145
66.000000	71.074	-173.8302
67.000000	71.103	-173.9994
68.000000	71.115	-174.3445
69.000000	71.101	-174.5994
70.000000	71.099	-174.7500
71.000000	71.108	-174.9521
72.000000	71.112	-175.1396
73.000000	71.119	-175.2574
74.000000	71.127	-175.2914
75.000000	71.152	-175.2612
76.199997	71.190	-175.5520
77.500000	71.145	-176.0567
78.800003	71.078	-176.2350
80.000000	71.047	-176.3569
81.199997	71.044	-176.5480
82.500000	71.047	-176.8251
83.800003	71.047	-176.9734
85.000000	71.059	-176.9381
86.199997	71.098	-177.0165
87.500000	71.100	-177.4232
88.500000	71.061	-177.6337
90.000000	71.021	-177.7117
91.199997	71.012	-177.7915
92.500000	71.022	-177.9275
93.800003	71.037	-178.1937
95.000000	71.034	-178.4863
96.199997	71.019	-178.6841
97.500000	71.011	-178.7299
98.800003	71.029	-178.7302
100.000000	71.058	-178.8188
101.500000	71.075	-179.0810
103.000000	71.041	-179.3627
104.400002	70.983	-179.3886
106.000000	70.961	-179.3147
107.500000	70.965	-179.5150
109.000000	70.964	-179.7829
110.599998	70.966	179.9897
112.000000	70.970	179.8633
113.800003	70.980	179.6753
115.000000	70.977	179.5493
117.199997	70.966	179.5152
118.000000	70.972	179.5496
120.599998	70.998	179.2582
122.000000	70.964	178.9860
124.099998	70.912	178.7719
125.000000	70.899	178.6572
126.500000	70.883	178.4426
128.000000	70.870	178.2552
131.500000	70.864	177.9679
132.000000	70.867	177.9009
134.000000	70.858	177.5395
136.000000	70.827	177.3504
138.000000	70.811	177.2903
140.000000	70.793	177.2105
143.000000	70.755	176.8879
145.000000	70.697	176.6287
147.500000	70.651	176.6847
150.000000	70.677	176.5414
152.500000	70.682	176.1161
155.000000	70.662	175.8020
157.500000	70.629	175.5956
160.000000	70.598	175.4386
162.500000	70.561	175.1064
165.000000	70.502	174.7483
167.500000	70.433	174.3582
170.000000	70.344	173.9117
172.500000	70.244	173.5838
175.000000	70.151	173.3939
177.500000	70.041	173.2921
180.000000	69.886	173.3574
182.500000	69.716	173.7510
185.000000	69.569	174.4952
187.500000	69.461	175.6429
190.000000	69.418	177.0074
192.500000	69.447	178.2612
195.000000	69.552	179.2908
197.500000	69.711	179.9753
200.000000	69.865	-179.7375
203.000000	70.009	-179.7935
206.000000	70.124	179.9019
209.000000	70.206	179.4615
212.000000	70.243	179.0316
214.000000	70.256	178.7809
218.000000	70.265	178.3031
220.000000	70.261	178.1019
224.000000	70.256	177.7809
227.000000	70.256	177.5202
230.000000	70.237	177.2897
233.000000	70.221	177.1446
236.000000	70.220	176.9623
240.000000	70.200	176.6434
243.000000	70.163	176.5807
247.000000	70.123	176.6119
250.000000	70.098	176.4390
254.000000	70.062	176.1575
258.000000	70.020	176.0770
262.000000	69.984	176.0079
265.000000	69.957	175.9201
269.000000	69.922	175.9268
272.000000	69.897	175.9142
276.000000	69.869	175.7872
280.000000	69.847	175.6075
285.000000	69.816	175.5414
290.000000	69.779	175.4402
295.000000	69.749	175.3228
300.000000	69.720	175.3907
304.000000	69.673	175.4354
307.000000	69.628	175.4638
311.000000	69.589	175.4278
315.000000	69.565	175.3398
320.000000	69.510	175.3076
325.000000	69.455	175.4456
330.000000	69.413	175.5587
335.000000	69.367	175.6343
340.000000	69.334	175.7485
345.000000	69.294	175.8489
350.000000	69.230	176.0611
355.000000	69.175	176.2846
360.000000	69.135	176.4591
365.000000	69.106	176.7093
370.000000	69.096	176.8957
375.000000	69.096	177.0198
382.000000	69.066	177.0779
387.000000	69.020	177.0612
395.000000	68.950	177.0306
400.000000	68.908	177.1628
406.000000	68.854	177.4117
412.000000	68.793	177.6284
418.000000	68.735	177.7365
425.000000	68.667	177.9399
431.000000	68.608	178.1162
437.000000	68.552	178.3320
444.000000	68.497	178.7060
450.000000	68.471	179.0320
455.000000	68.443	179.2574
462.000000	68.387	179.4842
468.000000	68.349	179.6939
475.000000	68.316	179.9004
482.000000	68.272	-179.8475
487.000000	68.236	-179.5970
494.000000	68.196	-179.2567
