* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:11:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.178	-150.4432
20.600000	72.171	-150.5962
20.900000	72.158	-150.8154
21.200001	72.154	-150.8938
21.400000	72.161	-150.9109
21.799999	72.194	-151.0012
22.000000	72.216	-151.1303
22.400000	72.254	-151.5975
22.700001	72.266	-152.0828
23.000000	72.257	-152.5957
23.299999	72.234	-153.0532
23.600000	72.208	-153.4225
24.000000	72.188	-153.8022
24.299999	72.190	-154.0781
24.700001	72.207	-154.5279
25.000000	72.218	-154.9286
25.400000	72.219	-155.4482
25.799999	72.211	-155.7869
26.200001	72.224	-155.8899
26.500000	72.263	-155.9030
26.900000	72.356	-156.0337
27.200001	72.438	-156.3368
27.600000	72.531	-157.0430
28.000000	72.575	-157.9290
28.500000	72.558	-158.8926
29.000000	72.510	-159.4302
29.500000	72.485	-159.6732
30.000000	72.490	-159.9467
30.400000	72.494	-160.2873
30.700001	72.487	-160.5827
31.100000	72.462	-160.9421
31.500000	72.427	-161.1973
32.000000	72.390	-161.3570
32.500000	72.378	-161.4267
33.000000	72.394	-161.5380
33.500000	72.431	-161.7857
34.000000	72.469	-162.1967
34.500000	72.490	-162.7010
35.000000	72.489	-163.1748
35.500000	72.479	-163.5172
36.000000	72.476	-163.7298
36.500000	72.490	-163.8980
37.000000	72.516	-164.1251
37.500000	72.538	-164.4529
38.200001	72.535	-164.9704
38.700001	72.508	-165.2229
39.500000	72.479	-165.2865
40.000000	72.493	-165.2784
40.599998	72.535	-165.4419
41.200001	72.574	-165.8183
41.799999	72.602	-166.3102
42.500000	72.622	-166.9970
43.099998	72.616	-167.6617
43.700001	72.580	-168.2365
44.400002	72.523	-168.6255
45.000000	72.482	-168.7283
45.500000	72.460	-168.6652
46.200001	72.472	-168.3647
46.799999	72.547	-168.1528
47.500000	72.672	-168.4703
48.200001	72.727	-169.3574
48.700001	72.700	-169.9582
49.400002	72.619	-170.3474
50.000000	72.562	-170.3379
50.799999	72.531	-170.1592
51.500000	72.545	-170.0108
52.200001	72.593	-170.0707
53.000000	72.638	-170.4809
53.799999	72.649	-170.9278
54.500000	72.658	-171.2350
55.200001	72.668	-171.5651
56.000000	72.665	-171.8743
57.000000	72.677	-172.0602
58.000000	72.704	-172.3525
59.000000	72.703	-172.6995
60.000000	72.685	-172.9909
60.799999	72.666	-173.2037
61.500000	72.651	-173.3819
62.200001	72.638	-173.5620
63.000000	72.628	-173.7551
64.000000	72.631	-174.0061
65.000000	72.641	-174.3226
66.000000	72.647	-174.6297
67.000000	72.647	-174.8589
68.000000	72.649	-175.0040
69.000000	72.656	-175.1981
70.000000	72.646	-175.4376
71.000000	72.634	-175.6207
72.000000	72.630	-175.8902
73.000000	72.618	-176.1746
74.000000	72.618	-176.4218
75.000000	72.621	-176.7846
76.199997	72.592	-177.1762
77.500000	72.555	-177.2611
78.800003	72.557	-177.2938
80.000000	72.555	-177.4969
81.199997	72.548	-177.6513
82.500000	72.562	-177.9082
83.800003	72.566	-178.2747
85.000000	72.569	-178.5464
86.199997	72.572	-178.8444
87.500000	72.561	-179.1164
88.500000	72.551	-179.2732
90.000000	72.532	-179.4908
91.199997	72.519	-179.5933
92.500000	72.526	-179.7556
93.800003	72.527	179.9292
95.000000	72.515	179.6360
96.199997	72.499	179.3736
97.500000	72.477	179.1069
98.800003	72.452	178.8799
100.000000	72.425	178.7207
101.500000	72.405	178.6691
103.000000	72.420	178.5090
104.400002	72.420	178.1328
106.000000	72.384	177.7813
107.500000	72.351	177.6601
109.000000	72.342	177.6111
110.599998	72.347	177.3610
112.000000	72.336	177.0273
113.800003	72.314	176.5854
115.000000	72.303	176.3447
117.199997	72.322	176.0580
118.000000	72.344	175.9216
120.599998	72.338	175.1354
122.000000	72.273	175.0499
124.099998	72.215	175.1078
125.000000	72.196	175.0451
126.500000	72.162	174.8411
128.000000	72.126	174.5193
131.500000	72.041	173.7684
132.000000	72.034	173.6613
134.000000	71.999	173.1943
136.000000	71.942	172.8623
138.000000	71.877	172.6436
140.000000	71.809	172.4191
143.000000	71.674	171.8803
145.000000	71.553	171.5229
147.500000	71.375	171.1801
150.000000	71.180	171.2675
152.500000	71.009	171.5306
155.000000	70.794	171.8309
157.500000	70.551	172.7529
160.000000	70.368	174.5792
162.500000	70.269	177.0035
165.000000	70.270	179.5136
167.500000	70.404	-178.4696
170.000000	70.659	-177.1165
172.500000	70.950	-176.3787
175.000000	71.206	-176.1367
177.500000	71.421	-176.4150
180.000000	71.592	-177.0513
182.500000	71.714	-177.7554
185.000000	71.792	-178.4165
187.500000	71.840	-179.1008
190.000000	71.866	-179.6964
192.500000	71.888	179.8662
195.000000	71.909	179.4352
197.500000	71.924	178.9183
200.000000	71.934	178.3629
203.000000	71.940	177.7864
206.000000	71.934	177.3436
209.000000	71.916	176.9744
212.000000	71.908	176.6293
214.000000	71.908	176.3982
218.000000	71.892	176.0396
220.000000	71.871	175.8504
224.000000	71.826	175.3962
227.000000	71.830	175.1307
230.000000	71.825	174.9245
233.000000	71.774	174.7573
236.000000	71.720	174.5159
240.000000	71.686	174.2137
243.000000	71.671	174.1803
247.000000	71.641	174.1632
250.000000	71.615	174.0547
254.000000	71.567	173.7778
258.000000	71.520	173.5001
262.000000	71.474	173.2702
265.000000	71.430	173.1397
269.000000	71.384	173.0440
272.000000	71.366	173.0252
276.000000	71.342	172.9972
280.000000	71.315	172.9070
285.000000	71.275	172.7786
290.000000	71.242	172.6457
295.000000	71.215	172.6124
300.000000	71.167	172.5798
304.000000	71.126	172.3978
307.000000	71.096	172.2942
311.000000	71.060	172.2856
315.000000	71.022	172.2699
320.000000	70.966	172.2032
325.000000	70.929	172.2005
330.000000	70.889	172.1760
335.000000	70.841	172.1391
340.000000	70.806	172.1422
345.000000	70.751	172.1681
350.000000	70.691	172.2253
355.000000	70.655	172.2439
360.000000	70.623	172.1803
365.000000	70.577	172.1663
370.000000	70.517	172.1936
375.000000	70.462	172.3242
382.000000	70.406	172.5599
387.000000	70.355	172.6230
395.000000	70.288	172.6478
400.000000	70.241	172.7207
406.000000	70.181	172.8753
412.000000	70.126	173.0421
418.000000	70.068	173.2450
425.000000	70.007	173.4497
431.000000	69.960	173.5612
437.000000	69.921	173.6899
444.000000	69.877	173.8769
450.000000	69.839	174.0203
455.000000	69.807	174.1754
462.000000	69.754	174.3456
468.000000	69.702	174.4599
475.000000	69.653	174.6733
482.000000	69.605	174.9838
487.000000	69.548	175.1675
494.000000	69.477	175.3278
500.000000	69.438	175.5172
508.000000	69.383	175.8528
515.000000	69.326	176.1144
522.000000	69.285	176.3269
530.000000	69.243	176.5408
538.000000	69.175	176.9252
545.000000	69.121	177.3894
552.000000	69.076	177.7861
560.000000	69.032	178.1040
570.000000	68.977	178.5038
580.000000	68.914	179.0605
590.000000	68.845	179.5558
