* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:02:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_T
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.846	-149.5712
20.600000	71.863	-149.6210
20.900000	71.899	-149.7370
21.200001	71.939	-149.9278
21.400000	71.964	-150.1077
21.799999	72.001	-150.5635
22.000000	72.013	-150.8139
22.400000	72.025	-151.2930
22.700001	72.033	-151.6159
23.000000	72.046	-151.9293
23.299999	72.066	-152.2686
23.600000	72.088	-152.6462
24.000000	72.114	-153.1901
24.299999	72.130	-153.5864
24.700001	72.152	-154.0547
25.000000	72.173	-154.3654
25.400000	72.210	-154.7729
25.799999	72.249	-155.2243
26.200001	72.278	-155.7043
26.500000	72.289	-156.0343
26.900000	72.293	-156.3782
27.200001	72.297	-156.5618
27.600000	72.311	-156.7645
28.000000	72.334	-157.0202
28.500000	72.354	-157.4883
29.000000	72.343	-158.0108
29.500000	72.307	-158.3998
30.000000	72.279	-158.6166
30.400000	72.277	-158.7788
30.700001	72.285	-158.9634
31.100000	72.296	-159.3241
31.500000	72.292	-159.7635
32.000000	72.266	-160.2594
32.500000	72.238	-160.5638
33.000000	72.239	-160.7295
33.500000	72.275	-160.9293
34.000000	72.328	-161.2771
34.500000	72.372	-161.7370
35.000000	72.400	-162.2143
35.500000	72.414	-162.6475
36.000000	72.417	-163.0069
36.500000	72.411	-163.2486
37.000000	72.409	-163.3522
37.500000	72.424	-163.3974
38.200001	72.463	-163.6285
38.700001	72.476	-163.9536
39.500000	72.457	-164.4208
40.000000	72.448	-164.6173
40.599998	72.452	-164.9137
41.200001	72.450	-165.3366
41.799999	72.434	-165.7219
42.500000	72.431	-166.0045
43.099998	72.463	-166.2602
43.700001	72.511	-166.6867
44.400002	72.548	-167.4044
45.000000	72.534	-168.0294
45.500000	72.491	-168.3069
46.200001	72.451	-168.1171
46.799999	72.506	-167.7769
47.500000	72.629	-168.0110
48.200001	72.670	-168.8760
48.700001	72.624	-169.3541
49.400002	72.542	-169.4082
50.000000	72.524	-169.1871
50.799999	72.555	-169.1189
51.500000	72.581	-169.2860
52.200001	72.600	-169.5138
53.000000	72.619	-169.8244
53.799999	72.631	-170.1387
54.500000	72.642	-170.3795
55.200001	72.657	-170.6210
56.000000	72.671	-170.9206
57.000000	72.672	-171.2605
58.000000	72.659	-171.4755
59.000000	72.646	-171.5878
60.000000	72.639	-171.7017
60.799999	72.636	-171.8562
61.500000	72.631	-172.0298
62.200001	72.624	-172.2077
63.000000	72.621	-172.4062
64.000000	72.628	-172.7082
65.000000	72.630	-173.0861
66.000000	72.620	-173.4285
67.000000	72.603	-173.6701
68.000000	72.587	-173.7842
69.000000	72.586	-173.8607
70.000000	72.592	-174.0141
71.000000	72.597	-174.2490
72.000000	72.600	-174.5207
73.000000	72.604	-174.8627
74.000000	72.587	-175.2477
75.000000	72.554	-175.3737
76.199997	72.563	-175.3213
77.500000	72.591	-175.5075
78.800003	72.592	-175.7714
80.000000	72.575	-175.9877
81.199997	72.563	-176.1425
82.500000	72.567	-176.3876
83.800003	72.568	-176.7360
85.000000	72.558	-176.9988
86.199997	72.554	-177.1176
87.500000	72.567	-177.2368
88.500000	72.570	-177.3977
90.000000	72.557	-177.5774
91.199997	72.558	-177.6693
92.500000	72.571	-177.8921
93.800003	72.575	-178.2163
95.000000	72.565	-178.4871
96.199997	72.548	-178.6443
97.500000	72.536	-178.7426
98.800003	72.523	-178.8380
100.000000	72.512	-178.9116
101.500000	72.507	-179.0542
103.000000	72.504	-179.3128
104.400002	72.497	-179.5742
106.000000	72.491	-179.8296
107.500000	72.495	179.9578
109.000000	72.499	179.7017
110.599998	72.485	179.5150
112.000000	72.478	179.4501
113.800003	72.474	179.3535
115.000000	72.471	179.2487
117.199997	72.443	178.9160
118.000000	72.424	178.8047
120.599998	72.383	178.5916
122.000000	72.377	178.4111
124.099998	72.369	178.1917
125.000000	72.370	178.1100
126.500000	72.377	177.9668
128.000000	72.388	177.7962
131.500000	72.382	177.3290
132.000000	72.376	177.2905
134.000000	72.358	177.2266
136.000000	72.352	177.0671
138.000000	72.340	176.8080
140.000000	72.323	176.5461
143.000000	72.300	176.3666
145.000000	72.300	176.1863
147.500000	72.275	175.7516
150.000000	72.240	175.4391
152.500000	72.224	175.3500
155.000000	72.224	175.2661
157.500000	72.204	175.0237
160.000000	72.176	174.7676
162.500000	72.157	174.5161
