* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오전 11:31:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.537	-151.0776
20.600000	70.547	-151.4656
20.900000	70.552	-152.1144
21.200001	70.521	-152.5869
21.400000	70.492	-152.7627
21.799999	70.449	-152.8775
22.000000	70.446	-152.8941
22.400000	70.483	-153.0475
22.700001	70.527	-153.3743
23.000000	70.564	-153.8806
23.299999	70.583	-154.4599
23.600000	70.587	-155.0080
24.000000	70.585	-155.5798
24.299999	70.597	-155.8915
24.700001	70.640	-156.2542
25.000000	70.689	-156.5744
25.400000	70.759	-157.1213
25.799999	70.816	-157.7563
26.200001	70.850	-158.3637
26.500000	70.865	-158.7444
26.900000	70.877	-159.1351
27.200001	70.885	-159.3626
27.600000	70.897	-159.6246
28.000000	70.906	-159.8728
28.500000	70.905	-160.1512
29.000000	70.894	-160.3411
29.500000	70.884	-160.4390
30.000000	70.884	-160.5221
30.400000	70.891	-160.6378
30.700001	70.897	-160.7662
31.100000	70.900	-160.9800
31.500000	70.898	-161.2124
32.000000	70.892	-161.4821
32.500000	70.897	-161.7288
33.000000	70.923	-162.0499
33.500000	70.961	-162.5793
34.000000	70.977	-163.3457
34.500000	70.942	-164.1498
35.000000	70.861	-164.6868
35.500000	70.783	-164.8001
36.000000	70.751	-164.6638
36.500000	70.769	-164.5868
37.000000	70.798	-164.7021
37.500000	70.814	-164.8781
38.200001	70.838	-164.9711
38.700001	70.884	-165.0250
39.500000	70.978	-165.4975
40.000000	71.009	-166.0058
40.599998	70.996	-166.5833
41.200001	70.941	-166.7941
41.799999	70.905	-166.4385
42.500000	70.994	-165.7210
43.099998	71.167	-165.7328
43.700001	71.288	-166.6130
44.400002	71.254	-167.7794
45.000000	71.151	-168.0290
45.500000	71.108	-167.8625
46.200001	71.110	-167.8824
46.799999	71.069	-168.2443
47.500000	70.946	-168.2369
48.200001	70.882	-167.5462
48.700001	70.919	-167.1192
49.400002	71.012	-167.1803
50.000000	71.049	-167.6605
50.799999	71.038	-168.2428
51.500000	71.031	-168.5728
52.200001	71.043	-168.9550
53.000000	71.052	-169.4894
53.799999	71.057	-170.0178
54.500000	71.062	-170.5478
55.200001	71.041	-171.1024
56.000000	70.992	-171.4553
57.000000	70.980	-171.4982
58.000000	71.015	-171.7425
59.000000	71.016	-172.0975
60.000000	70.998	-172.2244
60.799999	71.000	-172.2480
61.500000	71.006	-172.3354
62.200001	71.001	-172.4530
63.000000	70.987	-172.5010
64.000000	70.986	-172.5359
65.000000	70.984	-172.6274
66.000000	71.001	-172.6577
67.000000	71.048	-172.9311
68.000000	71.071	-173.4664
69.000000	71.060	-173.9995
70.000000	71.024	-174.3329
71.000000	71.009	-174.3442
72.000000	71.041	-174.3980
73.000000	71.060	-174.6459
74.000000	71.055	-174.7271
75.000000	71.075	-174.7622
76.199997	71.075	-175.0975
77.500000	71.021	-175.2951
78.800003	70.981	-175.3536
80.000000	70.976	-175.4175
81.199997	70.997	-175.7666
82.500000	70.980	-176.2249
83.800003	70.967	-176.3506
85.000000	70.985	-176.3817
86.199997	71.005	-176.4976
87.500000	71.010	-176.5780
88.500000	71.018	-176.6262
90.000000	71.022	-176.8221
91.199997	71.009	-177.0023
92.500000	70.976	-177.1324
93.800003	70.946	-177.1375
95.000000	70.929	-177.1361
96.199997	70.929	-177.1778
97.500000	70.942	-177.4432
98.800003	70.933	-177.7848
100.000000	70.930	-177.9087
101.500000	70.953	-178.0874
103.000000	70.943	-178.2102
104.400002	70.943	-178.0994
106.000000	70.966	-178.2606
107.500000	70.958	-178.6437
109.000000	70.939	-178.9503
110.599998	70.924	-179.1673
112.000000	70.908	-179.2281
113.800003	70.884	-179.2160
115.000000	70.868	-179.2214
117.199997	70.882	-179.5584
118.000000	70.893	-179.8747
120.599998	70.849	179.4177
122.000000	70.859	179.6686
124.099998	70.908	179.8613
125.000000	70.905	179.8636
126.500000	70.878	179.8639
128.000000	70.852	179.7881
131.500000	70.863	179.3647
132.000000	70.869	179.2964
134.000000	70.884	179.1044
136.000000	70.872	179.0000
138.000000	70.845	178.8376
140.000000	70.806	178.5660
143.000000	70.767	178.2456
145.000000	70.766	178.2120
147.500000	70.792	178.1396
150.000000	70.791	178.0334
152.500000	70.774	177.9483
155.000000	70.743	177.8619
157.500000	70.728	177.7464
160.000000	70.711	177.5341
162.500000	70.689	177.4057
165.000000	70.675	177.2770
167.500000	70.650	177.2144
170.000000	70.629	177.1830
172.500000	70.606	177.0397
175.000000	70.594	176.8799
177.500000	70.590	176.7448
180.000000	70.579	176.6508
182.500000	70.562	176.6173
185.000000	70.541	176.5560
187.500000	70.496	176.4530
190.000000	70.452	176.2901
192.500000	70.427	175.9775
195.000000	70.408	175.8148
197.500000	70.410	175.9308
200.000000	70.418	175.9473
203.000000	70.395	175.7579
206.000000	70.356	175.5899
209.000000	70.330	175.5399
212.000000	70.333	175.4628
214.000000	70.336	175.3629
218.000000	70.315	175.2626
220.000000	70.301	175.3021
224.000000	70.289	175.2770
227.000000	70.286	175.1493
230.000000	70.290	175.0089
233.000000	70.267	174.8278
236.000000	70.212	174.8004
240.000000	70.164	174.9623
243.000000	70.131	174.9444
247.000000	70.065	174.7253
250.000000	70.017	174.5416
254.000000	69.966	174.3360
258.000000	69.908	174.1641
262.000000	69.847	174.0574
265.000000	69.832	173.9650
269.000000	69.836	173.7903
272.000000	69.825	173.7468
276.000000	69.774	173.7764
280.000000	69.697	173.7728
285.000000	69.616	173.6837
290.000000	69.518	173.5577
295.000000	69.419	173.6185
300.000000	69.335	173.7521
304.000000	69.256	173.8770
307.000000	69.186	173.9251
311.000000	69.081	174.0728
315.000000	68.991	174.5013
320.000000	68.908	175.2313
325.000000	68.854	176.0782
330.000000	68.852	177.0587
335.000000	68.914	177.9339
340.000000	68.985	178.3854
345.000000	69.047	178.6082
350.000000	69.098	178.6888
355.000000	69.116	178.6553
360.000000	69.113	178.6004
365.000000	69.100	178.3948
370.000000	69.082	178.1755
375.000000	69.072	178.0621
382.000000	69.043	178.0603
387.000000	68.996	178.1361
395.000000	68.918	178.3338
400.000000	68.879	178.4228
406.000000	68.835	178.3646
412.000000	68.776	178.4922
418.000000	68.709	178.8899
425.000000	68.665	179.0966
431.000000	68.627	179.2655
437.000000	68.570	179.5303
444.000000	68.531	179.8895
450.000000	68.511	-179.9068
455.000000	68.496	-179.7384
462.000000	68.458	-179.6239
468.000000	68.410	-179.5282
475.000000	68.358	-179.3508
482.000000	68.308	-179.1148
487.000000	68.272	-178.8467
494.000000	68.215	-178.4258
500.000000	68.179	-178.0787
508.000000	68.151	-177.6235
515.000000	68.107	-177.2735
522.000000	68.062	-177.0273
530.000000	68.023	-176.6756
538.000000	67.975	-176.2449
545.000000	67.927	-175.8218
552.000000	67.876	-175.3503
560.000000	67.833	-174.8436
570.000000	67.792	-174.3900
580.000000	67.737	-173.9369
590.000000	67.699	-173.3195
600.000000	67.652	-172.6353
608.000000	67.619	-172.2226
615.000000	67.595	-171.8445
622.000000	67.567	-171.4390
630.000000	67.534	-170.9548
640.000000	67.508	-170.2533
650.000000	67.467	-169.5098
660.000000	67.420	-168.8640
670.000000	67.380	-168.2740
680.000000	67.345	-167.5888
690.000000	67.312	-166.9056
700.000000	67.289	-166.3063
710.000000	67.265	-165.5745
720.000000	67.239	-164.7819
730.000000	67.223	-164.0425
740.000000	67.200	-163.3745
750.000000	67.174	-162.6251
762.000000	67.144	-161.6331
775.000000	67.116	-160.6313
788.000000	67.118	-159.6472
800.000000	67.117	-158.7514
812.000000	67.104	-157.7826
