* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 9:03:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.496	-176.4533
20.600000	95.487	-176.6967
20.900000	95.470	-177.1217
21.200001	95.454	-177.5071
21.400000	95.445	-177.7583
21.799999	95.426	-178.2927
22.000000	95.414	-178.5859
22.400000	95.382	-179.2036
22.700001	95.354	-179.6709
23.000000	95.324	179.8712
23.299999	95.295	179.4227
23.600000	95.269	178.9765
24.000000	95.242	178.3706
24.299999	95.225	177.9004
24.700001	95.206	177.2529
25.000000	95.191	176.7586
25.400000	95.170	176.0997
25.799999	95.147	175.4553
26.200001	95.120	174.8410
26.500000	95.098	174.4091
26.900000	95.065	173.8789
27.200001	95.040	173.5144
27.600000	95.009	173.0611
28.000000	94.981	172.6231
28.500000	94.949	172.0658
29.000000	94.914	171.4877
29.500000	94.873	170.9079
30.000000	94.827	170.3536
30.400000	94.790	169.9358
30.700001	94.763	169.6342
31.100000	94.728	169.2383
31.500000	94.695	168.8407
32.000000	94.653	168.3373
32.500000	94.609	167.8383
33.000000	94.565	167.3606
33.500000	94.524	166.9082
34.000000	94.485	166.4722
34.500000	94.447	166.0457
35.000000	94.408	165.6300
35.500000	94.370	165.2260
36.000000	94.331	164.8275
36.500000	94.292	164.4307
37.000000	94.252	164.0400
37.500000	94.212	163.6577
38.200001	94.156	163.1142
38.700001	94.113	162.7083
39.500000	94.037	162.0771
40.000000	93.989	161.7225
40.599998	93.938	161.3162
41.200001	93.890	160.8907
41.799999	93.838	160.4512
42.500000	93.774	159.9663
43.099998	93.717	159.5958
43.700001	93.662	159.2715
44.400002	93.602	158.9419
45.000000	93.557	158.6596
45.500000	93.521	158.3958
46.200001	93.464	158.0039
46.799999	93.411	157.6965
47.500000	93.351	157.3748
48.200001	93.296	157.0446
48.700001	93.256	156.8033
49.400002	93.198	156.4857
50.000000	93.151	156.2270
50.799999	93.087	155.8738
51.500000	93.028	155.5821
52.200001	92.971	155.3210
53.000000	92.911	155.0052
53.799999	92.847	154.6581
54.500000	92.788	154.3729
55.200001	92.731	154.0954
56.000000	92.667	153.7552
57.000000	92.580	153.3742
58.000000	92.505	153.0643
59.000000	92.433	152.6949
60.000000	92.347	152.3607
60.799999	92.283	152.1691
61.500000	92.233	151.9969
62.200001	92.183	151.8111
63.000000	92.122	151.6248
64.000000	92.051	151.4185
65.000000	91.979	151.1995
66.000000	91.902	151.0146
67.000000	91.829	150.8529
68.000000	91.756	150.6626
69.000000	91.677	150.4655
70.000000	91.599	150.2902
71.000000	91.526	150.1054
72.000000	91.453	149.9102
73.000000	91.381	149.7302
74.000000	91.310	149.5615
75.000000	91.238	149.4157
76.199997	91.153	149.2642
77.500000	91.061	149.1202
78.800003	90.969	148.9659
80.000000	90.883	148.8254
81.199997	90.798	148.7089
82.500000	90.711	148.6066
83.800003	90.628	148.5217
85.000000	90.551	148.4553
86.199997	90.476	148.4122
87.500000	90.398	148.3621
88.500000	90.337	148.3145
90.000000	90.248	148.2590
91.199997	90.180	148.2231
92.500000	90.113	148.1661
93.800003	90.046	148.0771
95.000000	89.979	147.9958
96.199997	89.909	147.9492
97.500000	89.834	147.9402
98.800003	89.764	147.9523
100.000000	89.704	147.9493
101.500000	89.627	147.8983
103.000000	89.546	147.8600
104.400002	89.475	147.8817
106.000000	89.405	147.9034
107.500000	89.335	147.9357
109.000000	89.263	148.0233
110.599998	89.189	148.1172
112.000000	89.126	148.1403
113.800003	89.040	148.1113
115.000000	88.981	148.1143
117.199997	88.868	148.2337
118.000000	88.828	148.3375
120.599998	88.730	148.6134
122.000000	88.678	148.6216
124.099998	88.593	148.6190
125.000000	88.557	148.6528
126.500000	88.500	148.7780
128.000000	88.447	148.9166
131.500000	88.286	149.1439
132.000000	88.262	149.1868
134.000000	88.178	149.3363
136.000000	88.104	149.4355
138.000000	88.027	149.5778
140.000000	87.949	149.7537
143.000000	87.838	150.0186
145.000000	87.771	150.1928
147.500000	87.693	150.4465
150.000000	87.613	150.7136
152.500000	87.532	150.9706
155.000000	87.449	151.1805
157.500000	87.369	151.4031
160.000000	87.296	151.6030
162.500000	87.221	151.8054
165.000000	87.146	152.0627
167.500000	87.082	152.3279
170.000000	87.019	152.5386
172.500000	86.953	152.7509
175.000000	86.888	153.0140
177.500000	86.825	153.3017
180.000000	86.763	153.5994
182.500000	86.702	153.8815
185.000000	86.641	154.1596
187.500000	86.585	154.4218
190.000000	86.534	154.6703
192.500000	86.490	154.9288
195.000000	86.447	155.1960
197.500000	86.399	155.4694
200.000000	86.350	155.7434
203.000000	86.292	156.0534
206.000000	86.236	156.3651
209.000000	86.184	156.6725
212.000000	86.130	156.9662
214.000000	86.092	157.1560
218.000000	86.016	157.5354
220.000000	85.981	157.7451
224.000000	85.916	158.1899
227.000000	85.867	158.5202
230.000000	85.821	158.8626
233.000000	85.778	159.2048
