* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 30 오후 10:49:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Double
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.676	-151.9837
20.600000	69.709	-151.8253
20.900000	69.766	-151.6389
21.200001	69.793	-151.6903
21.400000	69.794	-151.7812
21.799999	69.776	-151.9544
22.000000	69.768	-152.0170
22.400000	69.776	-152.2184
22.700001	69.796	-152.5824
23.000000	69.807	-153.1750
23.299999	69.794	-153.8902
23.600000	69.756	-154.5854
24.000000	69.687	-155.2943
24.299999	69.645	-155.6268
24.700001	69.625	-155.9071
25.000000	69.635	-156.0917
25.400000	69.669	-156.3564
25.799999	69.714	-156.6038
26.200001	69.772	-156.8145
26.500000	69.822	-156.9886
26.900000	69.882	-157.2940
27.200001	69.909	-157.5503
27.600000	69.911	-157.7903
28.000000	69.893	-157.7316
28.500000	69.906	-157.2565
29.000000	70.002	-156.8700
29.500000	70.125	-157.1213
30.000000	70.182	-157.9686
30.400000	70.154	-158.7093
30.700001	70.105	-159.1337
31.100000	70.034	-159.4785
31.500000	69.982	-159.6773
32.000000	69.951	-159.9540
32.500000	69.936	-160.3646
33.000000	69.927	-160.8255
33.500000	69.929	-161.2711
34.000000	69.946	-161.7326
34.500000	69.962	-162.2124
35.000000	69.968	-162.6134
35.500000	69.973	-162.8395
36.000000	69.993	-162.9196
36.500000	70.030	-162.9606
37.000000	70.070	-163.0360
37.500000	70.103	-163.1447
38.200001	70.126	-163.3014
38.700001	70.126	-163.3754
39.500000	70.125	-163.3769
40.000000	70.137	-163.3999
40.599998	70.156	-163.6016
41.200001	70.148	-163.9193
41.799999	70.121	-164.0912
42.500000	70.123	-164.0558
43.099998	70.168	-164.1263
43.700001	70.214	-164.4066
44.400002	70.243	-164.7714
45.000000	70.267	-165.0269
45.500000	70.286	-165.2948
46.200001	70.286	-165.7652
46.799999	70.251	-166.0608
47.500000	70.208	-166.1439
48.200001	70.194	-166.1567
48.700001	70.192	-166.2276
49.400002	70.188	-166.3759
50.000000	70.187	-166.4975
50.799999	70.196	-166.7084
51.500000	70.201	-166.9183
52.200001	70.208	-167.0412
53.000000	70.239	-167.1719
53.799999	70.266	-167.4686
54.500000	70.261	-167.7020
55.200001	70.251	-167.7572
56.000000	70.262	-167.7750
57.000000	70.280	-167.9599
58.000000	70.284	-168.1989
59.000000	70.277	-168.4262
60.000000	70.271	-168.5329
60.799999	70.284	-168.6077
61.500000	70.300	-168.7449
62.200001	70.306	-168.9018
63.000000	70.305	-169.0352
64.000000	70.299	-169.1315
65.000000	70.293	-169.1632
66.000000	70.295	-169.1945
67.000000	70.299	-169.2890
68.000000	70.301	-169.4194
69.000000	70.299	-169.5828
70.000000	70.293	-169.7179
71.000000	70.293	-169.8390
72.000000	70.287	-169.9818
73.000000	70.279	-170.0524
74.000000	70.282	-170.1204
75.000000	70.286	-170.2601
76.199997	70.284	-170.4513
77.500000	70.278	-170.6359
78.800003	70.277	-170.7643
80.000000	70.280	-170.8752
81.199997	70.277	-170.9776
82.500000	70.267	-170.9860
83.800003	70.266	-170.9542
85.000000	70.264	-170.9817
86.199997	70.255	-171.0486
87.500000	70.238	-171.1432
88.500000	70.224	-171.1884
