* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 30 오후 10:47:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Double
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.078	-148.2073
20.600000	69.079	-148.2670
20.900000	69.085	-148.3439
21.200001	69.106	-148.3559
21.400000	69.128	-148.3738
21.799999	69.186	-148.5253
22.000000	69.215	-148.6865
22.400000	69.259	-149.1660
22.700001	69.275	-149.6034
23.000000	69.276	-150.0420
23.299999	69.269	-150.4394
23.600000	69.261	-150.7849
24.000000	69.259	-151.1865
24.299999	69.267	-151.4847
24.700001	69.289	-151.9278
25.000000	69.306	-152.3045
25.400000	69.323	-152.8390
25.799999	69.331	-153.3473
26.200001	69.332	-153.7721
26.500000	69.332	-154.0231
26.900000	69.335	-154.2775
27.200001	69.342	-154.4252
27.600000	69.358	-154.5899
28.000000	69.382	-154.7471
28.500000	69.422	-154.9842
29.000000	69.462	-155.3203
29.500000	69.487	-155.7518
30.000000	69.487	-156.1797
30.400000	69.475	-156.4359
30.700001	69.467	-156.5603
31.100000	69.465	-156.6691
31.500000	69.477	-156.7822
32.000000	69.505	-157.0304
32.500000	69.529	-157.4086
33.000000	69.542	-157.8217
33.500000	69.551	-158.1907
34.000000	69.566	-158.5303
34.500000	69.583	-158.8946
35.000000	69.591	-159.2701
35.500000	69.588	-159.5658
36.000000	69.588	-159.7205
36.500000	69.606	-159.7841
37.000000	69.643	-159.8827
37.500000	69.686	-160.0981
38.200001	69.721	-160.5438
38.700001	69.723	-160.8501
39.500000	69.709	-161.1764
40.000000	69.704	-161.3098
40.599998	69.705	-161.4817
41.200001	69.701	-161.7060
41.799999	69.686	-161.9185
42.500000	69.668	-162.0267
43.099998	69.676	-162.0374
43.700001	69.708	-162.1589
44.400002	69.740	-162.5419
45.000000	69.737	-162.9145
45.500000	69.724	-163.1181
46.200001	69.718	-163.2817
46.799999	69.727	-163.4641
47.500000	69.728	-163.7282
48.200001	69.728	-163.9066
48.700001	69.742	-164.0229
49.400002	69.770	-164.3284
50.000000	69.776	-164.6846
50.799999	69.759	-165.0041
51.500000	69.761	-165.0812
52.200001	69.796	-165.1909
53.000000	69.840	-165.5580
53.799999	69.837	-165.9914
54.500000	69.808	-166.0890
55.200001	69.808	-165.9276
56.000000	69.853	-165.8506
57.000000	69.887	-166.0580
58.000000	69.894	-166.0795
59.000000	69.932	-166.1400
60.000000	69.946	-166.5141
60.799999	69.915	-166.7592
61.500000	69.886	-166.7657
62.200001	69.887	-166.6900
63.000000	69.913	-166.7771
64.000000	69.923	-167.1382
65.000000	69.905	-167.3987
66.000000	69.896	-167.5231
67.000000	69.900	-167.6265
68.000000	69.907	-167.7743
69.000000	69.905	-167.9222
70.000000	69.899	-168.0046
71.000000	69.899	-168.0711
72.000000	69.900	-168.1950
73.000000	69.891	-168.3506
74.000000	69.882	-168.4576
75.000000	69.885	-168.5833
76.199997	69.889	-168.7901
77.500000	69.899	-168.9612
78.800003	69.910	-169.1482
80.000000	69.908	-169.2402
81.199997	69.907	-169.2328
82.500000	69.916	-169.2135
83.800003	69.925	-169.3270
85.000000	69.920	-169.4706
86.199997	69.914	-169.5786
87.500000	69.912	-169.6460
88.500000	69.919	-169.6807
90.000000	69.923	-169.8128
91.199997	69.910	-169.8768
92.500000	69.903	-169.9374
93.800003	69.891	-170.1262
95.000000	69.872	-170.2545
96.199997	69.874	-170.3010
97.500000	69.900	-170.4009
98.800003	69.922	-170.5268
100.000000	69.931	-170.5831
101.500000	69.923	-170.5412
103.000000	69.909	-170.4248
104.400002	69.900	-170.3843
106.000000	69.894	-170.4684
107.500000	69.894	-170.6143
109.000000	69.896	-170.7464
110.599998	69.899	-170.8171
112.000000	69.898	-170.8934
113.800003	69.880	-171.0029
115.000000	69.869	-171.0447
117.199997	69.880	-171.0552
118.000000	69.891	-171.0700
120.599998	69.901	-171.0138
122.000000	69.888	-170.8941
124.099998	69.861	-170.7506
125.000000	69.855	-170.7377
126.500000	69.864	-170.8246
128.000000	69.884	-171.0445
131.500000	69.900	-171.2349
132.000000	69.902	-171.2139
134.000000	69.895	-171.1552
136.000000	69.868	-171.1190
138.000000	69.850	-171.0605
140.000000	69.848	-171.0424
143.000000	69.850	-171.0380
145.000000	69.846	-171.0461
147.500000	69.843	-170.9874
150.000000	69.847	-170.9698
152.500000	69.839	-170.9590
155.000000	69.834	-170.9160
157.500000	69.834	-170.8448
160.000000	69.840	-170.7124
162.500000	69.850	-170.6794
165.000000	69.848	-170.7301
167.500000	69.842	-170.7335
170.000000	69.839	-170.6595
172.500000	69.830	-170.5869
175.000000	69.820	-170.4939
177.500000	69.820	-170.4435
180.000000	69.812	-170.3876
182.500000	69.800	-170.2840
185.000000	69.789	-170.2493
187.500000	69.775	-170.2794
190.000000	69.771	-170.2500
192.500000	69.776	-170.1726
195.000000	69.774	-170.0441
197.500000	69.769	-169.8728
200.000000	69.768	-169.7411
203.000000	69.772	-169.6516
206.000000	69.777	-169.6492
209.000000	69.775	-169.6286
212.000000	69.778	-169.4770
214.000000	69.782	-169.3467
218.000000	69.782	-169.1875
220.000000	69.777	-169.1437
224.000000	69.769	-169.0725
227.000000	69.770	-169.0353
230.000000	69.775	-168.9334
233.000000	69.775	-168.7354
236.000000	69.769	-168.5322
240.000000	69.762	-168.3848
243.000000	69.750	-168.2669
247.000000	69.733	-168.0146
250.000000	69.734	-167.8798
254.000000	69.736	-167.7559
258.000000	69.727	-167.6468
262.000000	69.715	-167.5643
265.000000	69.711	-167.4118
269.000000	69.721	-167.1622
272.000000	69.732	-167.0129
276.000000	69.738	-166.8706
280.000000	69.731	-166.7147
285.000000	69.723	-166.4240
290.000000	69.722	-166.2202
295.000000	69.713	-166.0705
300.000000	69.712	-165.8827
304.000000	69.724	-165.7015
307.000000	69.732	-165.5575
311.000000	69.738	-165.3610
315.000000	69.741	-165.1735
320.000000	69.748	-164.9373
325.000000	69.757	-164.6917
330.000000	69.772	-164.4303
335.000000	69.786	-164.1223
340.000000	69.792	-163.8136
345.000000	69.783	-163.5880
350.000000	69.780	-163.4017
355.000000	69.779	-163.2037
360.000000	69.776	-162.9970
365.000000	69.783	-162.7890
370.000000	69.795	-162.5228
375.000000	69.793	-162.2228
382.000000	69.778	-161.8198
387.000000	69.775	-161.5327
395.000000	69.777	-161.1637
400.000000	69.783	-160.9037
406.000000	69.788	-160.5572
412.000000	69.779	-160.2821
418.000000	69.768	-160.0197
425.000000	69.768	-159.6465
431.000000	69.785	-159.3335
437.000000	69.804	-159.0667
444.000000	69.815	-158.6958
450.000000	69.818	-158.3856
455.000000	69.821	-158.1358
462.000000	69.829	-157.7726
468.000000	69.847	-157.4245
475.000000	69.858	-157.0482
482.000000	69.862	-156.7597
487.000000	69.869	-156.6012
494.000000	69.881	-156.3563
500.000000	69.884	-156.0400
508.000000	69.877	-155.4901
515.000000	69.876	-155.1138
522.000000	69.872	-154.8165
530.000000	69.875	-154.4191
538.000000	69.884	-153.9001
545.000000	69.886	-153.4030
552.000000	69.885	-152.9148
560.000000	69.886	-152.4077
570.000000	69.882	-151.7768
580.000000	69.886	-151.0943
590.000000	69.916	-150.3909
600.000000	69.943	-149.6818
608.000000	69.957	-149.1595
615.000000	69.968	-148.7056
622.000000	69.980	-148.2439
630.000000	69.999	-147.7030
640.000000	70.024	-147.0140
650.000000	70.050	-146.3188
660.000000	70.072	-145.6225
670.000000	70.104	-144.9332
680.000000	70.137	-144.2095
690.000000	70.161	-143.5175
700.000000	70.192	-142.8754
710.000000	70.229	-142.2051
720.000000	70.269	-141.4649
730.000000	70.314	-140.7283
740.000000	70.363	-140.0248
750.000000	70.407	-139.3039
762.000000	70.459	-138.4060
775.000000	70.526	-137.4538
788.000000	70.587	-136.5106
800.000000	70.638	-135.6323
812.000000	70.697	-134.8131
825.000000	70.787	-133.9295
838.000000	70.884	-132.9992
850.000000	70.962	-132.0981
862.000000	71.052	-131.2153
875.000000	71.160	-130.3034
885.000000	71.244	-129.5990
900.000000	71.376	-128.6263
912.000000	71.487	-127.8890
925.000000	71.608	-127.0711
938.000000	71.736	-126.2905
950.000000	71.865	-125.6092
962.000000	71.997	-124.9862
975.000000	72.136	-124.3322
988.000000	72.272	-123.6878
1000.000000	72.402	-123.1387
1015.000000	72.584	-122.5385
1030.000000	72.774	-121.9900
1044.000000	72.954	-121.5139
1060.000000	73.155	-121.0804
1075.000000	73.340	-120.7540
1090.000000	73.533	-120.5071
1106.000000	73.753	-120.3682
1120.000000	73.948	-120.3895
1138.000000	74.191	-120.6911
1150.000000	74.327	-121.1330
1172.000000	74.428	-122.2318
1180.000000	74.408	-122.4077
1206.000000	74.389	-121.0975
1220.000000	74.515	-120.0377
1241.000000	74.796	-119.0934
1250.000000	74.920	-118.8995
1265.000000	75.117	-118.7352
1280.000000	75.299	-118.6955
1315.000000	75.679	-118.7328
1320.000000	75.731	-118.7438
1340.000000	75.935	-118.8138
1360.000000	76.131	-118.9169
1380.000000	76.323	-119.0307
1400.000000	76.512	-119.1657
1430.000000	76.801	-119.4343
1450.000000	76.995	-119.6780
1475.000000	77.234	-120.0477
1500.000000	77.472	-120.5092
1525.000000	77.709	-121.1649
1550.000000	77.932	-122.0539
1575.000000	78.118	-123.1895
1600.000000	78.239	-124.4855
1625.000000	78.272	-125.6895
1650.000000	78.227	-126.4821
1675.000000	78.157	-126.6308
1700.000000	78.117	-126.1562
1725.000000	78.136	-125.3214
1750.000000	78.227	-124.3925
1775.000000	78.374	-123.5303
1800.000000	78.559	-122.8183
1825.000000	78.770	-122.3056
1850.000000	78.996	-121.9627
1875.000000	79.231	-121.7567
1900.000000	79.473	-121.6955
1925.000000	79.715	-121.7600
1950.000000	79.957	-121.9230
1975.000000	80.199	-122.1931
2000.000000	80.440	-122.5619
2030.000000	80.727	-123.1167
2060.000000	81.011	-123.8080
2090.000000	81.291	-124.6178
2120.000000	81.565	-125.5359
2140.000000	81.743	-126.2179
2180.000000	82.088	-127.7439
2200.000000	82.253	-128.5812
2240.000000	82.564	-130.4007
2270.000000	82.780	-131.8941
2300.000000	82.979	-133.4771
2330.000000	83.161	-135.1474
2360.000000	83.327	-136.8949
2400.000000	83.518	-139.3074
2430.000000	83.635	-141.1751
2470.000000	83.760	-143.7004
2500.000000	83.829	-145.5891
2540.000000	83.887	-148.0872
2580.000000	83.911	-150.5294
2620.000000	83.904	-152.8853
2650.000000	83.880	-154.5862
2690.000000	83.825	-156.7442
2720.000000	83.769	-158.2674
2760.000000	83.679	-160.1666
2800.000000	83.577	-161.9296
2850.000000	83.435	-163.9473
2900.000000	83.282	-165.7512
2950.000000	83.126	-167.3563
3000.000000	82.970	-168.7804
3040.000000	82.847	-169.8224
3070.000000	82.757	-170.5539
3110.000000	82.641	-171.4670
3150.000000	82.529	-172.3176
3200.000000	82.398	-173.3276
3250.000000	82.273	-174.2911
3300.000000	82.154	-175.2276
3350.000000	82.039	-176.1499
3400.000000	81.927	-177.0594
3450.000000	81.822	-177.9668
3500.000000	81.721	-178.9000
3550.000000	81.622	-179.8676
3600.000000	81.518	179.1011
